,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
0,1,은평서부충전소,37.6436336,126.9190242,신당동 공영주차장,127.014296,37.562026,1.0,1.882160045500309
1,1,은평서부충전소,37.6436336,126.9190242,서인사마당,126.98358586270001,37.5736815664,2.0,1.885395461880946
2,1,은평서부충전소,37.6436336,126.9190242,비봉,126.9565401309,37.612215534899995,3.0,1.3106279333285158
3,1,은평서부충전소,37.6436336,126.9190242,매바위공영주차장,126.920786,37.586576,4.0,1.2209098668626983
4,2,(주)삼표에너지 수색충전소,37.5777045,126.8991679,종묘,126.994045,37.574496,5.0,1.885395461880946
5,2,(주)삼표에너지 수색충전소,37.5777045,126.8991679,서신초교지하공영주차장,126.906839,37.59231079999999,6.0,1.0367150025335363
6,2,(주)삼표에너지 수색충전소,37.5777045,126.8991679,갈현1동 공영주차장,126.915337,37.626498,7.0,1.0634061162697843
7,2,(주)삼표에너지 수색충전소,37.5777045,126.8991679,응암3동 공영주차장,126.915289,37.593506,8.0,1.2209098668626983
8,3,(주)세지,37.5174334,126.88625829999998,대림운동장공영주차장,126.89481,37.499611,9.0,2.2687089407361443
9,3,(주)세지,37.5174334,126.88625829999998,새장골 공영주차장,126.923549,37.624469,10.0,1.2754858252246215
10,3,(주)세지,37.5174334,126.88625829999998,신길환승(5호선)공영주차장,126.914663,37.517666,11.0,2.500831077734249
11,3,(주)세지,37.5174334,126.88625829999998,영등포동제2 공영주차장,126.908556,37.523736,12.0,2.500831077734249
12,4,대흥에너지산업(주),37.52972379999999,126.8450293,신길6동공영주차장,126.91133700000002,37.50262100000001,13.0,2.009295786879326
13,4,대흥에너지산업(주),37.52972379999999,126.8450293,밝은빛,126.861236,37.516217,14.0,2.0209322912857126
14,4,대흥에너지산업(주),37.52972379999999,126.8450293,영등포본동제1 공영주차장,126.909151,37.514358,15.0,2.18783981658982
15,4,대흥에너지산업(주),37.52972379999999,126.8450293,당산1동 공영주차장,126.899427,37.523768,16.0,2.142320809927471
