,avg_clus,interval_1,sing_clus,sum_2,경도,동,동주소,수소충전소,업체명,위도,자치구,주차경도,주차구획수,주차급지구분,주차기본시간,주차기본요금,주차부제시행구분,주차요금정보,주차운영요일,주차위도,주차장구분,주차장명,주차장유형,토요일운영시작시각,토요일운영종료시각,평일운영시작시각,평일운영종료시각
0,,10,6.0,3.2832306112863323,37.5136307,논현2동,서울특별시  강남구 학동로 204,0,(주)상현상사,127.0291575,강남구,,,,,,,,,,,,,,,,
1,,10,3.0,2.8453399559960086,37.4977796,일원2동,서울특별시  강남구 남부순환로 3154,0,남서울가스(주),127.0733765,강남구,,,,,,,,,,,,,,,,
2,,10,4.0,4.51505097484219,37.4763295,세곡동,서울특별시  강남구 밤고개로 200,0,강남복지충전소,127.10327609999999,강남구,,,,,,,,,,,,,,,,
3,,8,13.0,2.0286584958317575,37.5252332,둔촌2동,서울특별시  강동구 동남로 563,0,둔촌충전소,127.1444095,강동구,,,,,,,,,,,,,,,,
4,,9,0.0,2.3923810299312604,37.565115899999995,가양1동,서울특별시  강서구 양천로 242,0,대영가스 충전소,126.80653889999999,강서구,,,,,,,,,,,,,,,,
5,,8,5.0,2.0247918133928167,37.5549768,공항동,서울특별시  강서구 벌말로 266,0,강서가스충전소,126.76673799999999,강서구,,,,,,,,,,,,,,,,
6,,10,2.0,2.7859427143781472,37.52972379999999,화곡1동,서울특별시  강서구 곰달래로24길 19,0,대흥에너지산업(주),126.84502930000001,강서구,,,,,,,,,,,,,,,,
7,,9,9.0,2.091835503166098,37.4842727,구로3동,서울특별시  구로구 시흥대로 573,0,동일석유(주)남부충전소,126.89976419999999,구로구,,,,,,,,,,,,,,,,
8,,8,10.0,1.9088657537827227,37.4868961,사당1동,서울특별시  서초구 동작대로 26,0,수도석유(주)방배충전소,126.973018,동작구,,,,,,,,,,,,,,,,
9,,9,8.0,2.4779512350046677,37.4994173,대방동,서울특별시  동작구 상도로 74,0,동일석유(주)동주충전소,126.9266463,동작구,,,,,,,,,,,,,,,,
10,,10,12.0,3.8686637211629633,37.5188926,잠원동,서울특별시  서초구 잠원로 181,0,(주)영동가스,127.00966609999999,서초구,,,,,,,,,,,,,,,,
11,,10,11.0,2.752582616181934,37.4730658,방배3동,서울특별시  서초구 남부순환로 2224,0,서초충전소,126.99327770000001,서초구,,,,,,,,,,,,,,,,
12,,10,15.0,2.5503296227429186,37.5061584,오금동,서울특별시  송파구 마천로 103,0,오금가스충전소,127.12940829999998,송파구,,,,,,,,,,,,,,,,
13,,10,1.0,2.5701354059298867,37.517433399999994,문래동,서울특별시  영등포구 선유로 37,0,(주)세지,126.88625829999998,영등포구,,,,,,,,,,,,,,,,
14,,10,14.0,0.9134064199105805,37.577704499999996,증산동,서울특별시  은평구 수색로 181,0,(주)삼표에너지 수색충전소,126.8991679,은평구,,,,,,,,,,,,,,,,
15,,8,7.0,1.8846894813503645,37.6436336,진관동,서울특별시  은평구 통일로 1186,0,은평서부충전소,126.91902420000001,은평구,,,,,,,,,,,,,,,,
0,7.0,10,,3.0602457661072195,,삼성1동,,0,,,강남구,127.066491114,926.0,4,5.0,100.0,요일제,유료,평일+토요일+공휴일,37.5141115358,공영,탄천주차장,노외,00:00,00:00,00:00,00:00
1,61.0,10,,3.0602457661072195,,삼성1동,,0,,,강남구,127.0521408548,45.0,2,5.0,300.0,요일제,유료,평일,37.5159099376,공영,삼성로별관 부설,부설,00:00,00:00,09:00,18:00
2,22.0,10,,4.999509946695874,,역삼1동,,0,,,강남구,127.0388718483,78.0,1,5.0,400.0,요일제,유료,평일+토요일+공휴일,37.4925934254,공영,도곡로21길7,노외,00:00,00:00,00:00,00:00
3,4.0,10,,4.999509946695874,,역삼1동,,0,,,강남구,127.03039046159999,59.0,2,5.0,300.0,요일제,유료,평일,37.5025141908,공영,역삼문화공원,노외,00:00,00:00,00:00,00:00
4,38.0,10,,4.165142987063744,,역삼2동,,0,,,강남구,127.0516657363,22.0,1,5.0,400.0,요일제,유료,평일+토요일+공휴일,37.4961565104,공영,도곡로327,노외,00:00,00:00,09:00,19:00
5,50.0,10,,2.6068168962577905,,개포1동,,0,,,강남구,127.0672849458,132.0,3,5.0,200.0,요일제,유료,평일,37.4760669787,공영,구룡산제2호,노외,00:00,00:00,09:00,19:00
