,Unnamed: 0,일자,지점번호,방향,시간,교통량
1922,1922,20190101,B-08,유입,0,
1953,1953,20190101,B-08,유출,0,
10292,10292,20190101,B-08,유입,1,945.0
10323,10323,20190101,B-08,유출,1,1324.0
18662,18662,20190101,B-08,유입,2,375.0
18693,18693,20190101,B-08,유출,2,585.0
27032,27032,20190101,B-08,유입,3,297.0
27063,27063,20190101,B-08,유출,3,389.0
35402,35402,20190101,B-08,유입,4,263.0
35433,35433,20190101,B-08,유출,4,412.0
43772,43772,20190101,B-08,유입,5,316.0
43803,43803,20190101,B-08,유출,5,478.0
52142,52142,20190101,B-08,유입,6,440.0
52173,52173,20190101,B-08,유출,6,669.0
60512,60512,20190101,B-08,유입,7,537.0
60543,60543,20190101,B-08,유출,7,753.0
68882,68882,20190101,B-08,유입,8,769.0
68913,68913,20190101,B-08,유출,8,1115.0
77252,77252,20190101,B-08,유입,9,1098.0
77283,77283,20190101,B-08,유출,9,1464.0
85622,85622,20190101,B-08,유입,10,1393.0
85653,85653,20190101,B-08,유출,10,1885.0
93992,93992,20190101,B-08,유입,11,1828.0
94023,94023,20190101,B-08,유출,11,2543.0
102362,102362,20190101,B-08,유입,12,2081.0
102393,102393,20190101,B-08,유출,12,2514.0
110732,110732,20190101,B-08,유입,13,2094.0
110763,110763,20190101,B-08,유출,13,2575.0
119102,119102,20190101,B-08,유입,14,2258.0
119133,119133,20190101,B-08,유출,14,2517.0
127472,127472,20190101,B-08,유입,15,2444.0
127503,127503,20190101,B-08,유출,15,2437.0
135842,135842,20190101,B-08,유입,16,2759.0
135873,135873,20190101,B-08,유출,16,2374.0
144212,144212,20190101,B-08,유입,17,2613.0
144243,144243,20190101,B-08,유출,17,2029.0
152582,152582,20190101,B-08,유입,18,2433.0
152613,152613,20190101,B-08,유출,18,1753.0
160952,160952,20190101,B-08,유입,19,2080.0
160983,160983,20190101,B-08,유출,19,1597.0
169322,169322,20190101,B-08,유입,20,1658.0
169353,169353,20190101,B-08,유출,20,1513.0
177692,177692,20190101,B-08,유입,21,1423.0
177723,177723,20190101,B-08,유출,21,1349.0
186062,186062,20190101,B-08,유입,22,1037.0
186093,186093,20190101,B-08,유출,22,966.0
194432,194432,20190101,B-08,유입,23,580.0
194463,194463,20190101,B-08,유출,23,581.0
1923,1923,20190102,B-08,유입,0,363.0
1954,1954,20190102,B-08,유출,0,369.0
10293,10293,20190102,B-08,유입,1,234.0
10324,10324,20190102,B-08,유출,1,243.0
18663,18663,20190102,B-08,유입,2,163.0
18694,18694,20190102,B-08,유출,2,206.0
27033,27033,20190102,B-08,유입,3,200.0
27064,27064,20190102,B-08,유출,3,263.0
35403,35403,20190102,B-08,유입,4,335.0
35434,35434,20190102,B-08,유출,4,435.0
43773,43773,20190102,B-08,유입,5,636.0
43804,43804,20190102,B-08,유출,5,1265.0
52143,52143,20190102,B-08,유입,6,1328.0
52174,52174,20190102,B-08,유출,6,2951.0
60513,60513,20190102,B-08,유입,7,2946.0
60544,60544,20190102,B-08,유출,7,3747.0
68883,68883,20190102,B-08,유입,8,3160.0
68914,68914,20190102,B-08,유출,8,3353.0
77253,77253,20190102,B-08,유입,9,3205.0
77284,77284,20190102,B-08,유출,9,2775.0
85623,85623,20190102,B-08,유입,10,2925.0
85654,85654,20190102,B-08,유출,10,2958.0
93993,93993,20190102,B-08,유입,11,2491.0
94024,94024,20190102,B-08,유출,11,2873.0
102363,102363,20190102,B-08,유입,12,2546.0
102394,102394,20190102,B-08,유출,12,2700.0
110733,110733,20190102,B-08,유입,13,2791.0
110764,110764,20190102,B-08,유출,13,2854.0
119103,119103,20190102,B-08,유입,14,2870.0
119134,119134,20190102,B-08,유출,14,2921.0
127473,127473,20190102,B-08,유입,15,2703.0
127504,127504,20190102,B-08,유출,15,2918.0
135843,135843,20190102,B-08,유입,16,3036.0
135874,135874,20190102,B-08,유출,16,3016.0
144213,144213,20190102,B-08,유입,17,3525.0
144244,144244,20190102,B-08,유출,17,2780.0
152583,152583,20190102,B-08,유입,18,3721.0
