,Unnamed: 0,일자,지점번호,방향,시간,교통량
336,336,20190201,A-07,혜화동로터리->이화사거리,0,415.0
364,364,20190201,A-07,이화사거리->혜화동로터리,0,630.0
7896,7896,20190201,A-07,혜화동로터리->이화사거리,1,361.0
7924,7924,20190201,A-07,이화사거리->혜화동로터리,1,551.0
15456,15456,20190201,A-07,혜화동로터리->이화사거리,2,275.0
15484,15484,20190201,A-07,이화사거리->혜화동로터리,2,470.0
23016,23016,20190201,A-07,혜화동로터리->이화사거리,3,215.0
23044,23044,20190201,A-07,이화사거리->혜화동로터리,3,394.0
30576,30576,20190201,A-07,혜화동로터리->이화사거리,4,201.0
30604,30604,20190201,A-07,이화사거리->혜화동로터리,4,353.0
38136,38136,20190201,A-07,혜화동로터리->이화사거리,5,294.0
38164,38164,20190201,A-07,이화사거리->혜화동로터리,5,386.0
45696,45696,20190201,A-07,혜화동로터리->이화사거리,6,470.0
45724,45724,20190201,A-07,이화사거리->혜화동로터리,6,621.0
53256,53256,20190201,A-07,혜화동로터리->이화사거리,7,786.0
53284,53284,20190201,A-07,이화사거리->혜화동로터리,7,977.0
60816,60816,20190201,A-07,혜화동로터리->이화사거리,8,885.0
60844,60844,20190201,A-07,이화사거리->혜화동로터리,8,1223.0
68376,68376,20190201,A-07,혜화동로터리->이화사거리,9,817.0
68404,68404,20190201,A-07,이화사거리->혜화동로터리,9,1248.0
75936,75936,20190201,A-07,혜화동로터리->이화사거리,10,827.0
75964,75964,20190201,A-07,이화사거리->혜화동로터리,10,1288.0
83496,83496,20190201,A-07,혜화동로터리->이화사거리,11,787.0
83524,83524,20190201,A-07,이화사거리->혜화동로터리,11,1391.0
91056,91056,20190201,A-07,혜화동로터리->이화사거리,12,697.0
91084,91084,20190201,A-07,이화사거리->혜화동로터리,12,1324.0
98616,98616,20190201,A-07,혜화동로터리->이화사거리,13,715.0
98644,98644,20190201,A-07,이화사거리->혜화동로터리,13,1534.0
106176,106176,20190201,A-07,혜화동로터리->이화사거리,14,767.0
106204,106204,20190201,A-07,이화사거리->혜화동로터리,14,1617.0
113736,113736,20190201,A-07,혜화동로터리->이화사거리,15,652.0
113764,113764,20190201,A-07,이화사거리->혜화동로터리,15,1496.0
121296,121296,20190201,A-07,혜화동로터리->이화사거리,16,655.0
121324,121324,20190201,A-07,이화사거리->혜화동로터리,16,1505.0
128856,128856,20190201,A-07,혜화동로터리->이화사거리,17,605.0
128884,128884,20190201,A-07,이화사거리->혜화동로터리,17,1390.0
136416,136416,20190201,A-07,혜화동로터리->이화사거리,18,508.0
136444,136444,20190201,A-07,이화사거리->혜화동로터리,18,1465.0
143976,143976,20190201,A-07,혜화동로터리->이화사거리,19,503.0
