,Unnamed: 0,일자,지점번호,방향,시간,교통량
6888,6888,20190201,D-43,논현역->신사역,0,1672.0
6916,6916,20190201,D-43,신사역->논현역,0,1307.0
14448,14448,20190201,D-43,논현역->신사역,1,1485.0
14476,14476,20190201,D-43,신사역->논현역,1,1061.0
22008,22008,20190201,D-43,논현역->신사역,2,1427.0
22036,22036,20190201,D-43,신사역->논현역,2,999.0
29568,29568,20190201,D-43,논현역->신사역,3,1077.0
29596,29596,20190201,D-43,신사역->논현역,3,867.0
37128,37128,20190201,D-43,논현역->신사역,4,965.0
37156,37156,20190201,D-43,신사역->논현역,4,697.0
44688,44688,20190201,D-43,논현역->신사역,5,1025.0
44716,44716,20190201,D-43,신사역->논현역,5,906.0
52248,52248,20190201,D-43,논현역->신사역,6,1129.0
52276,52276,20190201,D-43,신사역->논현역,6,1390.0
59808,59808,20190201,D-43,논현역->신사역,7,1521.0
59836,59836,20190201,D-43,신사역->논현역,7,1930.0
67368,67368,20190201,D-43,논현역->신사역,8,1688.0
67396,67396,20190201,D-43,신사역->논현역,8,1894.0
74928,74928,20190201,D-43,논현역->신사역,9,1738.0
74956,74956,20190201,D-43,신사역->논현역,9,1669.0
82488,82488,20190201,D-43,논현역->신사역,10,1777.0
82516,82516,20190201,D-43,신사역->논현역,10,1637.0
90048,90048,20190201,D-43,논현역->신사역,11,1405.0
90076,90076,20190201,D-43,신사역->논현역,11,1733.0
97608,97608,20190201,D-43,논현역->신사역,12,1561.0
97636,97636,20190201,D-43,신사역->논현역,12,1588.0
105168,105168,20190201,D-43,논현역->신사역,13,1497.0
105196,105196,20190201,D-43,신사역->논현역,13,1567.0
112728,112728,20190201,D-43,논현역->신사역,14,1686.0
112756,112756,20190201,D-43,신사역->논현역,14,1781.0
120288,120288,20190201,D-43,논현역->신사역,15,1874.0
120316,120316,20190201,D-43,신사역->논현역,15,1702.0
127848,127848,20190201,D-43,논현역->신사역,16,2129.0
127876,127876,20190201,D-43,신사역->논현역,16,1752.0
135408,135408,20190201,D-43,논현역->신사역,17,1780.0
135436,135436,20190201,D-43,신사역->논현역,17,1700.0
142968,142968,20190201,D-43,논현역->신사역,18,2193.0
142996,142996,20190201,D-43,신사역->논현역,18,1646.0
150528,150528,20190201,D-43,논현역->신사역,19,2241.0
150556,150556,20190201,D-43,신사역->논현역,19,2110.0
158088,158088,20190201,D-43,논현역->신사역,20,1999.0
158116,158116,20190201,D-43,신사역->논현역,20,1772.0
165648,165648,20190201,D-43,논현역->신사역,21,2053.0
165676,165676,20190201,D-43,신사역->논현역,21,1700.0
173208,173208,20190201,D-43,논현역->신사역,22,2184.0
173236,173236,20190201,D-43,신사역->논현역,22,1750.0
180768,180768,20190201,D-43,논현역->신사역,23,1979.0
180796,180796,20190201,D-43,신사역->논현역,23,1675.0
6889,6889,20190202,D-43,논현역->신사역,0,1943.0
6917,6917,20190202,D-43,신사역->논현역,0,1556.0
14449,14449,20190202,D-43,논현역->신사역,1,1647.0
14477,14477,20190202,D-43,신사역->논현역,1,1212.0
22009,22009,20190202,D-43,논현역->신사역,2,1406.0
22037,22037,20190202,D-43,신사역->논현역,2,1028.0
29569,29569,20190202,D-43,논현역->신사역,3,1250.0
29597,29597,20190202,D-43,신사역->논현역,3,960.0
37129,37129,20190202,D-43,논현역->신사역,4,1118.0
37157,37157,20190202,D-43,신사역->논현역,4,854.0
44689,44689,20190202,D-43,논현역->신사역,5,1087.0
44717,44717,20190202,D-43,신사역->논현역,5,899.0
52249,52249,20190202,D-43,논현역->신사역,6,1272.0
52277,52277,20190202,D-43,신사역->논현역,6,1073.0
59809,59809,20190202,D-43,논현역->신사역,7,1323.0
59837,59837,20190202,D-43,신사역->논현역,7,1238.0
67369,67369,20190202,D-43,논현역->신사역,8,1544.0
67397,67397,20190202,D-43,신사역->논현역,8,1361.0
74929,74929,20190202,D-43,논현역->신사역,9,1701.0
74957,74957,20190202,D-43,신사역->논현역,9,1665.0
82489,82489,20190202,D-43,논현역->신사역,10,1707.0
82517,82517,20190202,D-43,신사역->논현역,10,1727.0
90049,90049,20190202,D-43,논현역->신사역,11,1747.0
90077,90077,20190202,D-43,신사역->논현역,11,1665.0
97609,97609,20190202,D-43,논현역->신사역,12,1725.0
97637,97637,20190202,D-43,신사역->논현역,12,1700.0
105169,105169,20190202,D-43,논현역->신사역,13,1677.0
105197,105197,20190202,D-43,신사역->논현역,13,1823.0
112729,112729,20190202,D-43,논현역->신사역,14,1691.0
112757,112757,20190202,D-43,신사역->논현역,14,1810.0
120289,120289,20190202,D-43,논현역->신사역,15,1550.0
120317,120317,20190202,D-43,신사역->논현역,15,1628.0
127849,127849,20190202,D-43,논현역->신사역,16,1668.0
127877,127877,20190202,D-43,신사역->논현역,16,1547.0
135409,135409,20190202,D-43,논현역->신사역,17,1668.0
135437,135437,20190202,D-43,신사역->논현역,17,1638.0
142969,142969,20190202,D-43,논현역->신사역,18,1720.0
142997,142997,20190202,D-43,신사역->논현역,18,1515.0
150529,150529,20190202,D-43,논현역->신사역,19,1656.0
150557,150557,20190202,D-43,신사역->논현역,19,1582.0
158089,158089,20190202,D-43,논현역->신사역,20,1609.0
158117,158117,20190202,D-43,신사역->논현역,20,1519.0
165649,165649,20190202,D-43,논현역->신사역,21,1744.0
165677,165677,20190202,D-43,신사역->논현역,21,1660.0
173209,173209,20190202,D-43,논현역->신사역,22,1715.0
173237,173237,20190202,D-43,신사역->논현역,22,1505.0
180769,180769,20190202,D-43,논현역->신사역,23,1715.0
180797,180797,20190202,D-43,신사역->논현역,23,1382.0
6890,6890,20190203,D-43,논현역->신사역,0,1446.0
6918,6918,20190203,D-43,신사역->논현역,0,1332.0
14450,14450,20190203,D-43,논현역->신사역,1,1273.0
14478,14478,20190203,D-43,신사역->논현역,1,1073.0
22010,22010,20190203,D-43,논현역->신사역,2,1172.0
22038,22038,20190203,D-43,신사역->논현역,2,856.0
29570,29570,20190203,D-43,논현역->신사역,3,951.0
29598,29598,20190203,D-43,신사역->논현역,3,689.0
37130,37130,20190203,D-43,논현역->신사역,4,850.0
37158,37158,20190203,D-43,신사역->논현역,4,601.0
44690,44690,20190203,D-43,논현역->신사역,5,885.0
44718,44718,20190203,D-43,신사역->논현역,5,637.0
52250,52250,20190203,D-43,논현역->신사역,6,1006.0
52278,52278,20190203,D-43,신사역->논현역,6,811.0
59810,59810,20190203,D-43,논현역->신사역,7,1067.0
59838,59838,20190203,D-43,신사역->논현역,7,778.0
67370,67370,20190203,D-43,논현역->신사역,8,1068.0
67398,67398,20190203,D-43,신사역->논현역,8,888.0
74930,74930,20190203,D-43,논현역->신사역,9,1342.0
74958,74958,20190203,D-43,신사역->논현역,9,1107.0
82490,82490,20190203,D-43,논현역->신사역,10,1428.0
82518,82518,20190203,D-43,신사역->논현역,10,1240.0
90050,90050,20190203,D-43,논현역->신사역,11,1483.0
90078,90078,20190203,D-43,신사역->논현역,11,1214.0
97610,97610,20190203,D-43,논현역->신사역,12,1542.0
97638,97638,20190203,D-43,신사역->논현역,12,1350.0
105170,105170,20190203,D-43,논현역->신사역,13,1404.0
105198,105198,20190203,D-43,신사역->논현역,13,1451.0
112730,112730,20190203,D-43,논현역->신사역,14,1456.0
112758,112758,20190203,D-43,신사역->논현역,14,1528.0
120290,120290,20190203,D-43,논현역->신사역,15,1433.0
120318,120318,20190203,D-43,신사역->논현역,15,1366.0
127850,127850,20190203,D-43,논현역->신사역,16,1508.0
127878,127878,20190203,D-43,신사역->논현역,16,1384.0
135410,135410,20190203,D-43,논현역->신사역,17,1435.0
135438,135438,20190203,D-43,신사역->논현역,17,1303.0
142970,142970,20190203,D-43,논현역->신사역,18,1448.0
142998,142998,20190203,D-43,신사역->논현역,18,1274.0
150530,150530,20190203,D-43,논현역->신사역,19,1360.0
150558,150558,20190203,D-43,신사역->논현역,19,1197.0
158090,158090,20190203,D-43,논현역->신사역,20,1230.0
158118,158118,20190203,D-43,신사역->논현역,20,1232.0
165650,165650,20190203,D-43,논현역->신사역,21,1185.0
165678,165678,20190203,D-43,신사역->논현역,21,1181.0
173210,173210,20190203,D-43,논현역->신사역,22,1179.0
173238,173238,20190203,D-43,신사역->논현역,22,1133.0
180770,180770,20190203,D-43,논현역->신사역,23,1188.0
180798,180798,20190203,D-43,신사역->논현역,23,1045.0
6891,6891,20190204,D-43,논현역->신사역,0,1090.0
6919,6919,20190204,D-43,신사역->논현역,0,963.0
14451,14451,20190204,D-43,논현역->신사역,1,940.0
14479,14479,20190204,D-43,신사역->논현역,1,821.0
22011,22011,20190204,D-43,논현역->신사역,2,798.0
22039,22039,20190204,D-43,신사역->논현역,2,649.0
29571,29571,20190204,D-43,논현역->신사역,3,649.0
29599,29599,20190204,D-43,신사역->논현역,3,539.0
37131,37131,20190204,D-43,논현역->신사역,4,630.0
37159,37159,20190204,D-43,신사역->논현역,4,491.0
44691,44691,20190204,D-43,논현역->신사역,5,714.0
44719,44719,20190204,D-43,신사역->논현역,5,563.0
52251,52251,20190204,D-43,논현역->신사역,6,926.0
52279,52279,20190204,D-43,신사역->논현역,6,680.0
59811,59811,20190204,D-43,논현역->신사역,7,871.0
59839,59839,20190204,D-43,신사역->논현역,7,737.0
67371,67371,20190204,D-43,논현역->신사역,8,989.0
67399,67399,20190204,D-43,신사역->논현역,8,736.0
74931,74931,20190204,D-43,논현역->신사역,9,1043.0
74959,74959,20190204,D-43,신사역->논현역,9,911.0
82491,82491,20190204,D-43,논현역->신사역,10,1222.0
82519,82519,20190204,D-43,신사역->논현역,10,1007.0
90051,90051,20190204,D-43,논현역->신사역,11,1348.0
90079,90079,20190204,D-43,신사역->논현역,11,1160.0
97611,97611,20190204,D-43,논현역->신사역,12,1472.0
97639,97639,20190204,D-43,신사역->논현역,12,1137.0
105171,105171,20190204,D-43,논현역->신사역,13,1534.0
105199,105199,20190204,D-43,신사역->논현역,13,1084.0
112731,112731,20190204,D-43,논현역->신사역,14,1493.0
112759,112759,20190204,D-43,신사역->논현역,14,1175.0
120291,120291,20190204,D-43,논현역->신사역,15,1291.0
120319,120319,20190204,D-43,신사역->논현역,15,1137.0
127851,127851,20190204,D-43,논현역->신사역,16,1285.0
127879,127879,20190204,D-43,신사역->논현역,16,1180.0
135411,135411,20190204,D-43,논현역->신사역,17,1327.0
135439,135439,20190204,D-43,신사역->논현역,17,1136.0
142971,142971,20190204,D-43,논현역->신사역,18,1286.0
142999,142999,20190204,D-43,신사역->논현역,18,1145.0
150531,150531,20190204,D-43,논현역->신사역,19,1185.0
150559,150559,20190204,D-43,신사역->논현역,19,1087.0
158091,158091,20190204,D-43,논현역->신사역,20,1145.0
158119,158119,20190204,D-43,신사역->논현역,20,1151.0
165651,165651,20190204,D-43,논현역->신사역,21,1150.0
165679,165679,20190204,D-43,신사역->논현역,21,1166.0
173211,173211,20190204,D-43,논현역->신사역,22,992.0
173239,173239,20190204,D-43,신사역->논현역,22,983.0
180771,180771,20190204,D-43,논현역->신사역,23,968.0
180799,180799,20190204,D-43,신사역->논현역,23,916.0
6892,6892,20190205,D-43,논현역->신사역,0,980.0
6920,6920,20190205,D-43,신사역->논현역,0,830.0
14452,14452,20190205,D-43,논현역->신사역,1,707.0
14480,14480,20190205,D-43,신사역->논현역,1,641.0
22012,22012,20190205,D-43,논현역->신사역,2,641.0
22040,22040,20190205,D-43,신사역->논현역,2,471.0
29572,29572,20190205,D-43,논현역->신사역,3,534.0
29600,29600,20190205,D-43,신사역->논현역,3,390.0
37132,37132,20190205,D-43,논현역->신사역,4,437.0
37160,37160,20190205,D-43,신사역->논현역,4,358.0
44692,44692,20190205,D-43,논현역->신사역,5,524.0
44720,44720,20190205,D-43,신사역->논현역,5,432.0
52252,52252,20190205,D-43,논현역->신사역,6,692.0
52280,52280,20190205,D-43,신사역->논현역,6,473.0
59812,59812,20190205,D-43,논현역->신사역,7,900.0
59840,59840,20190205,D-43,신사역->논현역,7,633.0
67372,67372,20190205,D-43,논현역->신사역,8,1009.0
67400,67400,20190205,D-43,신사역->논현역,8,684.0
74932,74932,20190205,D-43,논현역->신사역,9,798.0
74960,74960,20190205,D-43,신사역->논현역,9,635.0
82492,82492,20190205,D-43,논현역->신사역,10,950.0
82520,82520,20190205,D-43,신사역->논현역,10,1109.0
90052,90052,20190205,D-43,논현역->신사역,11,1254.0
90080,90080,20190205,D-43,신사역->논현역,11,1653.0
97612,97612,20190205,D-43,논현역->신사역,12,1431.0
97640,97640,20190205,D-43,신사역->논현역,12,1766.0
105172,105172,20190205,D-43,논현역->신사역,13,1403.0
105200,105200,20190205,D-43,신사역->논현역,13,1733.0
112732,112732,20190205,D-43,논현역->신사역,14,1361.0
112760,112760,20190205,D-43,신사역->논현역,14,1655.0
120292,120292,20190205,D-43,논현역->신사역,15,1351.0
120320,120320,20190205,D-43,신사역->논현역,15,1481.0
127852,127852,20190205,D-43,논현역->신사역,16,1510.0
127880,127880,20190205,D-43,신사역->논현역,16,1558.0
135412,135412,20190205,D-43,논현역->신사역,17,1433.0
135440,135440,20190205,D-43,신사역->논현역,17,1546.0
142972,142972,20190205,D-43,논현역->신사역,18,1223.0
143000,143000,20190205,D-43,신사역->논현역,18,1469.0
150532,150532,20190205,D-43,논현역->신사역,19,1184.0
150560,150560,20190205,D-43,신사역->논현역,19,1184.0
158092,158092,20190205,D-43,논현역->신사역,20,1154.0
158120,158120,20190205,D-43,신사역->논현역,20,1232.0
165652,165652,20190205,D-43,논현역->신사역,21,1152.0
165680,165680,20190205,D-43,신사역->논현역,21,1304.0
173212,173212,20190205,D-43,논현역->신사역,22,1189.0
173240,173240,20190205,D-43,신사역->논현역,22,1106.0
180772,180772,20190205,D-43,논현역->신사역,23,1090.0
180800,180800,20190205,D-43,신사역->논현역,23,1058.0
6893,6893,20190206,D-43,논현역->신사역,0,1020.0
6921,6921,20190206,D-43,신사역->논현역,0,1055.0
14453,14453,20190206,D-43,논현역->신사역,1,850.0
14481,14481,20190206,D-43,신사역->논현역,1,825.0
22013,22013,20190206,D-43,논현역->신사역,2,799.0
22041,22041,20190206,D-43,신사역->논현역,2,732.0
29573,29573,20190206,D-43,논현역->신사역,3,682.0
29601,29601,20190206,D-43,신사역->논현역,3,577.0
37133,37133,20190206,D-43,논현역->신사역,4,568.0
37161,37161,20190206,D-43,신사역->논현역,4,430.0
44693,44693,20190206,D-43,논현역->신사역,5,689.0
44721,44721,20190206,D-43,신사역->논현역,5,559.0
52253,52253,20190206,D-43,논현역->신사역,6,830.0
52281,52281,20190206,D-43,신사역->논현역,6,661.0
59813,59813,20190206,D-43,논현역->신사역,7,968.0
59841,59841,20190206,D-43,신사역->논현역,7,705.0
67373,67373,20190206,D-43,논현역->신사역,8,873.0
67401,67401,20190206,D-43,신사역->논현역,8,675.0
74933,74933,20190206,D-43,논현역->신사역,9,993.0
74961,74961,20190206,D-43,신사역->논현역,9,751.0
82493,82493,20190206,D-43,논현역->신사역,10,1261.0
82521,82521,20190206,D-43,신사역->논현역,10,962.0
90053,90053,20190206,D-43,논현역->신사역,11,1331.0
90081,90081,20190206,D-43,신사역->논현역,11,1028.0
97613,97613,20190206,D-43,논현역->신사역,12,1412.0
97641,97641,20190206,D-43,신사역->논현역,12,1228.0
105173,105173,20190206,D-43,논현역->신사역,13,1454.0
105201,105201,20190206,D-43,신사역->논현역,13,1239.0
112733,112733,20190206,D-43,논현역->신사역,14,1492.0
112761,112761,20190206,D-43,신사역->논현역,14,1422.0
120293,120293,20190206,D-43,논현역->신사역,15,1479.0
120321,120321,20190206,D-43,신사역->논현역,15,1528.0
127853,127853,20190206,D-43,논현역->신사역,16,1421.0
127881,127881,20190206,D-43,신사역->논현역,16,1588.0
135413,135413,20190206,D-43,논현역->신사역,17,1434.0
135441,135441,20190206,D-43,신사역->논현역,17,1494.0
142973,142973,20190206,D-43,논현역->신사역,18,1520.0
143001,143001,20190206,D-43,신사역->논현역,18,1378.0
150533,150533,20190206,D-43,논현역->신사역,19,1426.0
150561,150561,20190206,D-43,신사역->논현역,19,1270.0
158093,158093,20190206,D-43,논현역->신사역,20,1349.0
158121,158121,20190206,D-43,신사역->논현역,20,1320.0
165653,165653,20190206,D-43,논현역->신사역,21,1387.0
165681,165681,20190206,D-43,신사역->논현역,21,1308.0
173213,173213,20190206,D-43,논현역->신사역,22,1312.0
173241,173241,20190206,D-43,신사역->논현역,22,1171.0
180773,180773,20190206,D-43,논현역->신사역,23,1187.0
180801,180801,20190206,D-43,신사역->논현역,23,1054.0
6894,6894,20190207,D-43,논현역->신사역,0,1084.0
6922,6922,20190207,D-43,신사역->논현역,0,943.0
14454,14454,20190207,D-43,논현역->신사역,1,905.0
14482,14482,20190207,D-43,신사역->논현역,1,812.0
22014,22014,20190207,D-43,논현역->신사역,2,698.0
22042,22042,20190207,D-43,신사역->논현역,2,596.0
29574,29574,20190207,D-43,논현역->신사역,3,575.0
29602,29602,20190207,D-43,신사역->논현역,3,480.0
37134,37134,20190207,D-43,논현역->신사역,4,548.0
37162,37162,20190207,D-43,신사역->논현역,4,435.0
44694,44694,20190207,D-43,논현역->신사역,5,698.0
44722,44722,20190207,D-43,신사역->논현역,5,689.0
52254,52254,20190207,D-43,논현역->신사역,6,969.0
52282,52282,20190207,D-43,신사역->논현역,6,1289.0
