,Unnamed: 0,일자,지점번호,방향,시간,교통량
4898,4898,20190301,C-20,유입,0,1069.0
4929,4929,20190301,C-20,유출,0,1142.0
13268,13268,20190301,C-20,유입,1,851.0
13299,13299,20190301,C-20,유출,1,916.0
21638,21638,20190301,C-20,유입,2,708.0
21669,21669,20190301,C-20,유출,2,794.0
30008,30008,20190301,C-20,유입,3,591.0
30039,30039,20190301,C-20,유출,3,558.0
38378,38378,20190301,C-20,유입,4,588.0
38409,38409,20190301,C-20,유출,4,651.0
46748,46748,20190301,C-20,유입,5,782.0
46779,46779,20190301,C-20,유출,5,1065.0
55118,55118,20190301,C-20,유입,6,993.0
55149,55149,20190301,C-20,유출,6,1659.0
63488,63488,20190301,C-20,유입,7,1098.0
63519,63519,20190301,C-20,유출,7,1906.0
71858,71858,20190301,C-20,유입,8,1325.0
71889,71889,20190301,C-20,유출,8,2020.0
80228,80228,20190301,C-20,유입,9,1503.0
80259,80259,20190301,C-20,유출,9,2598.0
88598,88598,20190301,C-20,유입,10,1661.0
88629,88629,20190301,C-20,유출,10,2842.0
96968,96968,20190301,C-20,유입,11,1728.0
96999,96999,20190301,C-20,유출,11,2725.0
105338,105338,20190301,C-20,유입,12,1809.0
105369,105369,20190301,C-20,유출,12,2795.0
113708,113708,20190301,C-20,유입,13,1780.0
113739,113739,20190301,C-20,유출,13,2652.0
122078,122078,20190301,C-20,유입,14,1933.0
122109,122109,20190301,C-20,유출,14,2647.0
130448,130448,20190301,C-20,유입,15,1855.0
130479,130479,20190301,C-20,유출,15,2527.0
138818,138818,20190301,C-20,유입,16,2082.0
138849,138849,20190301,C-20,유출,16,2560.0
147188,147188,20190301,C-20,유입,17,1957.0
147219,147219,20190301,C-20,유출,17,2302.0
155558,155558,20190301,C-20,유입,18,2063.0
155589,155589,20190301,C-20,유출,18,2212.0
163928,163928,20190301,C-20,유입,19,1952.0
163959,163959,20190301,C-20,유출,19,1904.0
172298,172298,20190301,C-20,유입,20,1894.0
172329,172329,20190301,C-20,유출,20,1640.0
180668,180668,20190301,C-20,유입,21,1603.0
180699,180699,20190301,C-20,유출,21,1618.0
189038,189038,20190301,C-20,유입,22,1495.0
189069,189069,20190301,C-20,유출,22,1486.0
197408,197408,20190301,C-20,유입,23,1092.0
197439,197439,20190301,C-20,유출,23,1210.0
4899,4899,20190302,C-20,유입,0,876.0
4930,4930,20190302,C-20,유출,0,984.0
13269,13269,20190302,C-20,유입,1,678.0
13300,13300,20190302,C-20,유출,1,729.0
21639,21639,20190302,C-20,유입,2,571.0
21670,21670,20190302,C-20,유출,2,549.0
30009,30009,20190302,C-20,유입,3,475.0
30040,30040,20190302,C-20,유출,3,452.0
38379,38379,20190302,C-20,유입,4,462.0
38410,38410,20190302,C-20,유출,4,501.0
46749,46749,20190302,C-20,유입,5,646.0
46780,46780,20190302,C-20,유출,5,837.0
55119,55119,20190302,C-20,유입,6,871.0
55150,55150,20190302,C-20,유출,6,1275.0
63489,63489,20190302,C-20,유입,7,1033.0
63520,63520,20190302,C-20,유출,7,1412.0
71859,71859,20190302,C-20,유입,8,1338.0
71890,71890,20190302,C-20,유출,8,1764.0
80229,80229,20190302,C-20,유입,9,1688.0
80260,80260,20190302,C-20,유출,9,2324.0
88599,88599,20190302,C-20,유입,10,1823.0
88630,88630,20190302,C-20,유출,10,2347.0
96969,96969,20190302,C-20,유입,11,1813.0
97000,97000,20190302,C-20,유출,11,2470.0
105339,105339,20190302,C-20,유입,12,1929.0
105370,105370,20190302,C-20,유출,12,2572.0
113709,113709,20190302,C-20,유입,13,2042.0
113740,113740,20190302,C-20,유출,13,2404.0
122079,122079,20190302,C-20,유입,14,2086.0
122110,122110,20190302,C-20,유출,14,2461.0
130449,130449,20190302,C-20,유입,15,2017.0
130480,130480,20190302,C-20,유출,15,2559.0
138819,138819,20190302,C-20,유입,16,2117.0
138850,138850,20190302,C-20,유출,16,2504.0
147189,147189,20190302,C-20,유입,17,2109.0
147220,147220,20190302,C-20,유출,17,2561.0
155559,155559,20190302,C-20,유입,18,1843.0
155590,155590,20190302,C-20,유출,18,2260.0
163929,163929,20190302,C-20,유입,19,1927.0
163960,163960,20190302,C-20,유출,19,2041.0
172299,172299,20190302,C-20,유입,20,1717.0
172330,172330,20190302,C-20,유출,20,1768.0
180669,180669,20190302,C-20,유입,21,1625.0
180700,180700,20190302,C-20,유출,21,1629.0
189039,189039,20190302,C-20,유입,22,1504.0
189070,189070,20190302,C-20,유출,22,1520.0
197409,197409,20190302,C-20,유입,23,1240.0
197440,197440,20190302,C-20,유출,23,1172.0
4900,4900,20190303,C-20,유입,0,976.0
4931,4931,20190303,C-20,유출,0,1002.0
13270,13270,20190303,C-20,유입,1,721.0
13301,13301,20190303,C-20,유출,1,669.0
21640,21640,20190303,C-20,유입,2,548.0
21671,21671,20190303,C-20,유출,2,543.0
30010,30010,20190303,C-20,유입,3,448.0
30041,30041,20190303,C-20,유출,3,453.0
38380,38380,20190303,C-20,유입,4,387.0
38411,38411,20190303,C-20,유출,4,419.0
46750,46750,20190303,C-20,유입,5,464.0
46781,46781,20190303,C-20,유출,5,511.0
55120,55120,20190303,C-20,유입,6,612.0
55151,55151,20190303,C-20,유출,6,794.0
63490,63490,20190303,C-20,유입,7,734.0
63521,63521,20190303,C-20,유출,7,927.0
71860,71860,20190303,C-20,유입,8,1037.0
71891,71891,20190303,C-20,유출,8,1297.0
80230,80230,20190303,C-20,유입,9,1326.0
80261,80261,20190303,C-20,유출,9,1651.0
88600,88600,20190303,C-20,유입,10,1712.0
88631,88631,20190303,C-20,유출,10,2039.0
96970,96970,20190303,C-20,유입,11,1666.0
97001,97001,20190303,C-20,유출,11,1949.0
105340,105340,20190303,C-20,유입,12,1706.0
105371,105371,20190303,C-20,유출,12,2001.0
113710,113710,20190303,C-20,유입,13,1943.0
113741,113741,20190303,C-20,유출,13,2326.0
122080,122080,20190303,C-20,유입,14,1912.0
122111,122111,20190303,C-20,유출,14,2355.0
130450,130450,20190303,C-20,유입,15,1938.0
130481,130481,20190303,C-20,유출,15,2505.0
138820,138820,20190303,C-20,유입,16,2011.0
138851,138851,20190303,C-20,유출,16,2522.0
147190,147190,20190303,C-20,유입,17,1842.0
147221,147221,20190303,C-20,유출,17,2380.0
155560,155560,20190303,C-20,유입,18,1836.0
155591,155591,20190303,C-20,유출,18,2140.0
163930,163930,20190303,C-20,유입,19,1759.0
163961,163961,20190303,C-20,유출,19,1900.0
172300,172300,20190303,C-20,유입,20,1550.0
172331,172331,20190303,C-20,유출,20,1614.0
180670,180670,20190303,C-20,유입,21,1368.0
180701,180701,20190303,C-20,유출,21,1537.0
189040,189040,20190303,C-20,유입,22,1180.0
189071,189071,20190303,C-20,유출,22,1289.0
197410,197410,20190303,C-20,유입,23,816.0
197441,197441,20190303,C-20,유출,23,873.0
4901,4901,20190304,C-20,유입,0,617.0
4932,4932,20190304,C-20,유출,0,713.0
13271,13271,20190304,C-20,유입,1,380.0
13302,13302,20190304,C-20,유출,1,456.0
21641,21641,20190304,C-20,유입,2,302.0
21672,21672,20190304,C-20,유출,2,361.0
30011,30011,20190304,C-20,유입,3,243.0
