,Unnamed: 0,일자,지점번호,방향,시간,교통량
7680,7680,20190401,F-03,유입,0,1549.0
7710,7710,20190401,F-03,유출,0,1229.0
15780,15780,20190401,F-03,유입,1,1017.0
15810,15810,20190401,F-03,유출,1,803.0
23880,23880,20190401,F-03,유입,2,706.0
23910,23910,20190401,F-03,유출,2,625.0
31980,31980,20190401,F-03,유입,3,671.0
32010,32010,20190401,F-03,유출,3,652.0
40080,40080,20190401,F-03,유입,4,990.0
40110,40110,20190401,F-03,유출,4,1297.0
48180,48180,20190401,F-03,유입,5,2529.0
48210,48210,20190401,F-03,유출,5,3213.0
56280,56280,20190401,F-03,유입,6,4007.0
56310,56310,20190401,F-03,유출,6,4713.0
64380,64380,20190401,F-03,유입,7,4124.0
64410,64410,20190401,F-03,유출,7,4309.0
72480,72480,20190401,F-03,유입,8,3860.0
72510,72510,20190401,F-03,유출,8,3273.0
80580,80580,20190401,F-03,유입,9,3803.0
80610,80610,20190401,F-03,유출,9,3909.0
88680,88680,20190401,F-03,유입,10,3886.0
88710,88710,20190401,F-03,유출,10,3842.0
96780,96780,20190401,F-03,유입,11,3776.0
96810,96810,20190401,F-03,유출,11,3830.0
104880,104880,20190401,F-03,유입,12,3532.0
104910,104910,20190401,F-03,유출,12,3688.0
112980,112980,20190401,F-03,유입,13,3762.0
113010,113010,20190401,F-03,유출,13,3678.0
121080,121080,20190401,F-03,유입,14,3832.0
121110,121110,20190401,F-03,유출,14,3703.0
129180,129180,20190401,F-03,유입,15,3935.0
129210,129210,20190401,F-03,유출,15,3732.0
137280,137280,20190401,F-03,유입,16,4021.0
137310,137310,20190401,F-03,유출,16,3981.0
145380,145380,20190401,F-03,유입,17,4202.0
145410,145410,20190401,F-03,유출,17,3928.0
153480,153480,20190401,F-03,유입,18,3795.0
153510,153510,20190401,F-03,유출,18,3846.0
161580,161580,20190401,F-03,유입,19,4008.0
161610,161610,20190401,F-03,유출,19,3387.0
169680,169680,20190401,F-03,유입,20,3936.0
169710,169710,20190401,F-03,유출,20,3341.0
177780,177780,20190401,F-03,유입,21,3714.0
177810,177810,20190401,F-03,유출,21,3058.0
185880,185880,20190401,F-03,유입,22,3573.0
185910,185910,20190401,F-03,유출,22,2810.0
193980,193980,20190401,F-03,유입,23,2669.0
194010,194010,20190401,F-03,유출,23,1878.0
7681,7681,20190402,F-03,유입,0,1904.0
7711,7711,20190402,F-03,유출,0,1308.0
15781,15781,20190402,F-03,유입,1,1290.0
15811,15811,20190402,F-03,유출,1,950.0
23881,23881,20190402,F-03,유입,2,988.0
23911,23911,20190402,F-03,유출,2,759.0
31981,31981,20190402,F-03,유입,3,729.0
32011,32011,20190402,F-03,유출,3,681.0
40081,40081,20190402,F-03,유입,4,966.0
40111,40111,20190402,F-03,유출,4,1033.0
48181,48181,20190402,F-03,유입,5,2223.0
48211,48211,20190402,F-03,유출,5,2741.0
56281,56281,20190402,F-03,유입,6,3501.0
56311,56311,20190402,F-03,유출,6,4466.0
64381,64381,20190402,F-03,유입,7,4110.0
64411,64411,20190402,F-03,유출,7,4418.0
72481,72481,20190402,F-03,유입,8,3920.0
72511,72511,20190402,F-03,유출,8,3870.0
80581,80581,20190402,F-03,유입,9,3759.0
80611,80611,20190402,F-03,유출,9,3642.0
88681,88681,20190402,F-03,유입,10,3787.0
88711,88711,20190402,F-03,유출,10,3916.0
