,일자,지점번호,방향,시간,교통량,null
372,20190501,A-07,유입,0,410.0,0
403,20190501,A-07,유출,0,700.0,0
8742,20190501,A-07,유입,1,358.0,0
8773,20190501,A-07,유출,1,554.0,0
17112,20190501,A-07,유입,2,323.0,0
17143,20190501,A-07,유출,2,460.0,0
25482,20190501,A-07,유입,3,268.0,0
25513,20190501,A-07,유출,3,457.0,0
33852,20190501,A-07,유입,4,187.0,0
33883,20190501,A-07,유출,4,372.0,0
42222,20190501,A-07,유입,5,230.0,0
42253,20190501,A-07,유출,5,411.0,0
50592,20190501,A-07,유입,6,324.0,0
50623,20190501,A-07,유출,6,507.0,0
58962,20190501,A-07,유입,7,453.0,0
58993,20190501,A-07,유출,7,786.0,0
67332,20190501,A-07,유입,8,561.0,0
67363,20190501,A-07,유출,8,860.0,0
75702,20190501,A-07,유입,9,567.0,0
75733,20190501,A-07,유출,9,959.0,0
84072,20190501,A-07,유입,10,634.0,0
84103,20190501,A-07,유출,10,1015.0,0
92442,20190501,A-07,유입,11,572.0,0
92473,20190501,A-07,유출,11,1142.0,0
100812,20190501,A-07,유입,12,619.0,0
100843,20190501,A-07,유출,12,1319.0,0
109182,20190501,A-07,유입,13,615.0,0
109213,20190501,A-07,유출,13,1365.0,0
117552,20190501,A-07,유입,14,641.0,0
117583,20190501,A-07,유출,14,1399.0,0
125922,20190501,A-07,유입,15,564.0,0
125953,20190501,A-07,유출,15,1402.0,0
134292,20190501,A-07,유입,16,569.0,0
134323,20190501,A-07,유출,16,1490.0,0
142662,20190501,A-07,유입,17,559.0,0
142693,20190501,A-07,유출,17,1522.0,0
151032,20190501,A-07,유입,18,534.0,0
151063,20190501,A-07,유출,18,1441.0,0
159402,20190501,A-07,유입,19,478.0,0
159433,20190501,A-07,유출,19,1190.0,0
167772,20190501,A-07,유입,20,503.0,0
167803,20190501,A-07,유출,20,1084.0,0
176142,20190501,A-07,유입,21,442.0,0
176173,20190501,A-07,유출,21,996.0,0
184512,20190501,A-07,유입,22,469.0,0
184543,20190501,A-07,유출,22,866.0,0
192882,20190501,A-07,유입,23,335.0,0
192913,20190501,A-07,유출,23,627.0,0
373,20190502,A-07,유입,0,244.0,0
404,20190502,A-07,유출,0,547.0,0
8743,20190502,A-07,유입,1,215.0,0
8774,20190502,A-07,유출,1,381.0,0
17113,20190502,A-07,유입,2,155.0,0
17144,20190502,A-07,유출,2,262.0,0
25483,20190502,A-07,유입,3,136.0,0
25514,20190502,A-07,유출,3,231.0,0
33853,20190502,A-07,유입,4,150.0,0
33884,20190502,A-07,유출,4,244.0,0
42223,20190502,A-07,유입,5,295.0,0
42254,20190502,A-07,유출,5,381.0,0
50593,20190502,A-07,유입,6,508.0,0
50624,20190502,A-07,유출,6,682.0,0
58963,20190502,A-07,유입,7,834.0,0
58994,20190502,A-07,유출,7,1035.0,0
67333,20190502,A-07,유입,8,927.0,0
67364,20190502,A-07,유출,8,1170.0,0
