,일자,지점번호,방향,시간,교통량,null
2542,20190501,B-18,유입,0,1123.0,0
2573,20190501,B-18,유출,0,998.0,0
10912,20190501,B-18,유입,1,903.0,0
10943,20190501,B-18,유출,1,614.0,0
19282,20190501,B-18,유입,2,710.0,0
19313,20190501,B-18,유출,2,487.0,0
27652,20190501,B-18,유입,3,560.0,0
27683,20190501,B-18,유출,3,418.0,0
36022,20190501,B-18,유입,4,537.0,0
36053,20190501,B-18,유출,4,459.0,0
44392,20190501,B-18,유입,5,744.0,0
44423,20190501,B-18,유출,5,705.0,0
52762,20190501,B-18,유입,6,1286.0,0
52793,20190501,B-18,유출,6,1110.0,0
61132,20190501,B-18,유입,7,1644.0,0
61163,20190501,B-18,유출,7,1563.0,0
69502,20190501,B-18,유입,8,1900.0,0
69533,20190501,B-18,유출,8,1667.0,0
77872,20190501,B-18,유입,9,2238.0,0
77903,20190501,B-18,유출,9,2008.0,0
86242,20190501,B-18,유입,10,2363.0,0
86273,20190501,B-18,유출,10,2112.0,0
94612,20190501,B-18,유입,11,2366.0,0
94643,20190501,B-18,유출,11,2171.0,0
102982,20190501,B-18,유입,12,2297.0,0
103013,20190501,B-18,유출,12,2137.0,0
111352,20190501,B-18,유입,13,2265.0,0
111383,20190501,B-18,유출,13,2081.0,0
119722,20190501,B-18,유입,14,2314.0,0
119753,20190501,B-18,유출,14,2073.0,0
128092,20190501,B-18,유입,15,2478.0,0
128123,20190501,B-18,유출,15,1966.0,0
136462,20190501,B-18,유입,16,2547.0,0
136493,20190501,B-18,유출,16,2086.0,0
144832,20190501,B-18,유입,17,2508.0,0
144863,20190501,B-18,유출,17,2239.0,0
153202,20190501,B-18,유입,18,2198.0,0
153233,20190501,B-18,유출,18,2001.0,0
161572,20190501,B-18,유입,19,1822.0,0
161603,20190501,B-18,유출,19,1553.0,0
169942,20190501,B-18,유입,20,1801.0,0
169973,20190501,B-18,유출,20,1432.0,0
178312,20190501,B-18,유입,21,1737.0,0
178343,20190501,B-18,유출,21,1480.0,0
186682,20190501,B-18,유입,22,1394.0,0
186713,20190501,B-18,유출,22,1193.0,0
195052,20190501,B-18,유입,23,999.0,0
195083,20190501,B-18,유출,23,764.0,0
2543,20190502,B-18,유입,0,615.0,0
2574,20190502,B-18,유출,0,547.0,0
10913,20190502,B-18,유입,1,513.0,0
10944,20190502,B-18,유출,1,352.0,0
19283,20190502,B-18,유입,2,290.0,0
19314,20190502,B-18,유출,2,251.0,0
27653,20190502,B-18,유입,3,300.0,0
27684,20190502,B-18,유출,3,217.0,0
36023,20190502,B-18,유입,4,444.0,0
36054,20190502,B-18,유출,4,405.0,0
44393,20190502,B-18,유입,5,1240.0,0
44424,20190502,B-18,유출,5,1446.0,0
52763,20190502,B-18,유입,6,2406.0,0
52794,20190502,B-18,유출,6,2009.0,0
61133,20190502,B-18,유입,7,2694.0,0
61164,20190502,B-18,유출,7,2750.0,0
69503,20190502,B-18,유입,8,2597.0,0
69534,20190502,B-18,유출,8,2560.0,0
77873,20190502,B-18,유입,9,2579.0,0
77904,20190502,B-18,유출,9,2425.0,0
86243,20190502,B-18,유입,10,2591.0,0
86274,20190502,B-18,유출,10,2279.0,0
94613,20190502,B-18,유입,11,2416.0,0
94644,20190502,B-18,유출,11,2258.0,0
102983,20190502,B-18,유입,12,2228.0,0
103014,20190502,B-18,유출,12,2152.0,0
111353,20190502,B-18,유입,13,2452.0,0
111384,20190502,B-18,유출,13,2290.0,0
119723,20190502,B-18,유입,14,2540.0,0
119754,20190502,B-18,유출,14,2294.0,0
128093,20190502,B-18,유입,15,2460.0,0
128124,20190502,B-18,유출,15,2408.0,0
136463,20190502,B-18,유입,16,2535.0,0
136494,20190502,B-18,유출,16,2439.0,0
144833,20190502,B-18,유입,17,2698.0,0
144864,20190502,B-18,유출,17,2730.0,0
153203,20190502,B-18,유입,18,2805.0,0
153234,20190502,B-18,유출,18,2949.0,0
161573,20190502,B-18,유입,19,2596.0,0
161604,20190502,B-18,유출,19,2584.0,0
169943,20190502,B-18,유입,20,2309.0,0
169974,20190502,B-18,유출,20,1870.0,0
178313,20190502,B-18,유입,21,1972.0,0
178344,20190502,B-18,유출,21,1638.0,0
186683,20190502,B-18,유입,22,1810.0,0
186714,20190502,B-18,유출,22,1346.0,0
195053,20190502,B-18,유입,23,1424.0,0
195084,20190502,B-18,유출,23,1052.0,0
