,일자,지점번호,방향,시간,교통량,null
3844,20190501,C-03,유입,0,1810.0,0
3875,20190501,C-03,유출,0,1558.0,0
12214,20190501,C-03,유입,1,1374.0,0
12245,20190501,C-03,유출,1,1145.0,0
20584,20190501,C-03,유입,2,1149.0,0
20615,20190501,C-03,유출,2,937.0,0
28954,20190501,C-03,유입,3,955.0,0
28985,20190501,C-03,유출,3,786.0,0
37324,20190501,C-03,유입,4,994.0,0
37355,20190501,C-03,유출,4,904.0,0
45694,20190501,C-03,유입,5,1596.0,0
45725,20190501,C-03,유출,5,1137.0,0
54064,20190501,C-03,유입,6,2415.0,0
54095,20190501,C-03,유출,6,1689.0,0
62434,20190501,C-03,유입,7,2584.0,0
62465,20190501,C-03,유출,7,2010.0,0
70804,20190501,C-03,유입,8,3190.0,0
70835,20190501,C-03,유출,8,2249.0,0
79174,20190501,C-03,유입,9,3542.0,0
79205,20190501,C-03,유출,9,2791.0,0
87544,20190501,C-03,유입,10,3510.0,0
87575,20190501,C-03,유출,10,2614.0,0
95914,20190501,C-03,유입,11,3535.0,0
95945,20190501,C-03,유출,11,2654.0,0
104284,20190501,C-03,유입,12,3418.0,0
104315,20190501,C-03,유출,12,2537.0,0
112654,20190501,C-03,유입,13,3489.0,0
112685,20190501,C-03,유출,13,2820.0,0
121024,20190501,C-03,유입,14,3555.0,0
121055,20190501,C-03,유출,14,3128.0,0
129394,20190501,C-03,유입,15,3380.0,0
129425,20190501,C-03,유출,15,3251.0,0
137764,20190501,C-03,유입,16,3291.0,0
137795,20190501,C-03,유출,16,3519.0,0
146134,20190501,C-03,유입,17,3507.0,0
146165,20190501,C-03,유출,17,3491.0,0
154504,20190501,C-03,유입,18,3213.0,0
154535,20190501,C-03,유출,18,3334.0,0
162874,20190501,C-03,유입,19,2590.0,0
162905,20190501,C-03,유출,19,2482.0,0
171244,20190501,C-03,유입,20,2448.0,0
171275,20190501,C-03,유출,20,2655.0,0
179614,20190501,C-03,유입,21,2571.0,0
179645,20190501,C-03,유출,21,2724.0,0
187984,20190501,C-03,유입,22,2294.0,0
188015,20190501,C-03,유출,22,2303.0,0
196354,20190501,C-03,유입,23,1661.0,0
196385,20190501,C-03,유출,23,1369.0,0
3845,20190502,C-03,유입,0,1041.0,0
3876,20190502,C-03,유출,0,1022.0,0
12215,20190502,C-03,유입,1,723.0,0
12246,20190502,C-03,유출,1,764.0,0
20585,20190502,C-03,유입,2,618.0,0
20616,20190502,C-03,유출,2,570.0,0
28955,20190502,C-03,유입,3,571.0,0
28986,20190502,C-03,유출,3,475.0,0
37325,20190502,C-03,유입,4,823.0,0
37356,20190502,C-03,유출,4,694.0,0
45695,20190502,C-03,유입,5,2244.0,0
45726,20190502,C-03,유출,5,1563.0,0
54065,20190502,C-03,유입,6,3547.0,0
54096,20190502,C-03,유출,6,2826.0,0
62435,20190502,C-03,유입,7,3484.0,0
62466,20190502,C-03,유출,7,2707.0,0
70805,20190502,C-03,유입,8,3899.0,0
70836,20190502,C-03,유출,8,2830.0,0
79175,20190502,C-03,유입,9,3619.0,0
79206,20190502,C-03,유출,9,2945.0,0
87545,20190502,C-03,유입,10,3617.0,0
87576,20190502,C-03,유출,10,2983.0,0
95915,20190502,C-03,유입,11,3591.0,0
95946,20190502,C-03,유출,11,3240.0,0
104285,20190502,C-03,유입,12,3576.0,0
104316,20190502,C-03,유출,12,2989.0,0
112655,20190502,C-03,유입,13,3578.0,0
112686,20190502,C-03,유출,13,3316.0,0
121025,20190502,C-03,유입,14,3542.0,0
121056,20190502,C-03,유출,14,3252.0,0
129395,20190502,C-03,유입,15,3308.0,0
129426,20190502,C-03,유출,15,3331.0,0
137765,20190502,C-03,유입,16,3650.0,0
137796,20190502,C-03,유출,16,3537.0,0
146135,20190502,C-03,유입,17,3686.0,0
146166,20190502,C-03,유출,17,3613.0,0
154505,20190502,C-03,유입,18,3977.0,0
154536,20190502,C-03,유출,18,3494.0,0
162875,20190502,C-03,유입,19,3225.0,0
162906,20190502,C-03,유출,19,2927.0,0
171245,20190502,C-03,유입,20,2780.0,0
171276,20190502,C-03,유출,20,2669.0,0
179615,20190502,C-03,유입,21,2936.0,0
179646,20190502,C-03,유출,21,2318.0,0
187985,20190502,C-03,유입,22,2745.0,0
188016,20190502,C-03,유출,22,2428.0,0
196355,20190502,C-03,유입,23,2105.0,0
196386,20190502,C-03,유출,23,1806.0,0
3846,20190503,C-03,유입,0,1520.0,0
3877,20190503,C-03,유출,0,1444.0,0
12216,20190503,C-03,유입,1,1037.0,0
12247,20190503,C-03,유출,1,940.0,0
20586,20190503,C-03,유입,2,789.0,0
20617,20190503,C-03,유출,2,746.0,0
28956,20190503,C-03,유입,3,719.0,0
28987,20190503,C-03,유출,3,598.0,0
37326,20190503,C-03,유입,4,971.0,0
37357,20190503,C-03,유출,4,761.0,0
45696,20190503,C-03,유입,5,2208.0,0
45727,20190503,C-03,유출,5,1463.0,0
54066,20190503,C-03,유입,6,3506.0,0
54097,20190503,C-03,유출,6,2804.0,0
62436,20190503,C-03,유입,7,3409.0,0
62467,20190503,C-03,유출,7,2882.0,0
70806,20190503,C-03,유입,8,3932.0,0
70837,20190503,C-03,유출,8,2909.0,0
79176,20190503,C-03,유입,9,3746.0,0
79207,20190503,C-03,유출,9,2767.0,0
87546,20190503,C-03,유입,10,3560.0,0
87577,20190503,C-03,유출,10,2892.0,0
95916,20190503,C-03,유입,11,3444.0,0
95947,20190503,C-03,유출,11,3030.0,0
104286,20190503,C-03,유입,12,3498.0,0
104317,20190503,C-03,유출,12,3050.0,0
112656,20190503,C-03,유입,13,3726.0,0
112687,20190503,C-03,유출,13,3320.0,0
121026,20190503,C-03,유입,14,3719.0,0
121057,20190503,C-03,유출,14,3054.0,0
129396,20190503,C-03,유입,15,3538.0,0
129427,20190503,C-03,유출,15,3196.0,0
137766,20190503,C-03,유입,16,3613.0,0
137797,20190503,C-03,유출,16,3154.0,0
146136,20190503,C-03,유입,17,3600.0,0
146167,20190503,C-03,유출,17,3458.0,0
154506,20190503,C-03,유입,18,3845.0,0
154537,20190503,C-03,유출,18,3267.0,0
162876,20190503,C-03,유입,19,3324.0,0
162907,20190503,C-03,유출,19,3510.0,0
