,일자,지점번호,방향,시간,교통량,null
5766,20190501,D-13,유입,0,621.0,0
5797,20190501,D-13,유출,0,409.0,0
14136,20190501,D-13,유입,1,424.0,0
14167,20190501,D-13,유출,1,370.0,0
22506,20190501,D-13,유입,2,348.0,0
22537,20190501,D-13,유출,2,304.0,0
30876,20190501,D-13,유입,3,252.0,0
30907,20190501,D-13,유출,3,226.0,0
39246,20190501,D-13,유입,4,242.0,0
39277,20190501,D-13,유출,4,203.0,0
47616,20190501,D-13,유입,5,292.0,0
47647,20190501,D-13,유출,5,215.0,0
55986,20190501,D-13,유입,6,527.0,0
56017,20190501,D-13,유출,6,353.0,0
64356,20190501,D-13,유입,7,894.0,0
64387,20190501,D-13,유출,7,750.0,0
72726,20190501,D-13,유입,8,1004.0,0
72757,20190501,D-13,유출,8,860.0,0
81096,20190501,D-13,유입,9,1091.0,0
81127,20190501,D-13,유출,9,1010.0,0
89466,20190501,D-13,유입,10,1231.0,0
89497,20190501,D-13,유출,10,1302.0,0
97836,20190501,D-13,유입,11,1243.0,0
97867,20190501,D-13,유출,11,1372.0,0
106206,20190501,D-13,유입,12,1230.0,0
106237,20190501,D-13,유출,12,1098.0,0
114576,20190501,D-13,유입,13,1324.0,0
114607,20190501,D-13,유출,13,1033.0,0
122946,20190501,D-13,유입,14,1379.0,0
122977,20190501,D-13,유출,14,1046.0,0
131316,20190501,D-13,유입,15,1458.0,0
131347,20190501,D-13,유출,15,1114.0,0
139686,20190501,D-13,유입,16,1423.0,0
139717,20190501,D-13,유출,16,1153.0,0
148056,20190501,D-13,유입,17,1402.0,0
148087,20190501,D-13,유출,17,1160.0,0
156426,20190501,D-13,유입,18,1414.0,0
156457,20190501,D-13,유출,18,1134.0,0
164796,20190501,D-13,유입,19,1224.0,0
164827,20190501,D-13,유출,19,915.0,0
173166,20190501,D-13,유입,20,991.0,0
173197,20190501,D-13,유출,20,871.0,0
181536,20190501,D-13,유입,21,854.0,0
181567,20190501,D-13,유출,21,849.0,0
189906,20190501,D-13,유입,22,609.0,0
189937,20190501,D-13,유출,22,593.0,0
198276,20190501,D-13,유입,23,413.0,0
198307,20190501,D-13,유출,23,415.0,0
5767,20190502,D-13,유입,0,336.0,0
5798,20190502,D-13,유출,0,299.0,0
14137,20190502,D-13,유입,1,222.0,0
14168,20190502,D-13,유출,1,236.0,0
22507,20190502,D-13,유입,2,159.0,0
22538,20190502,D-13,유출,2,202.0,0
30877,20190502,D-13,유입,3,147.0,0
30908,20190502,D-13,유출,3,135.0,0
39247,20190502,D-13,유입,4,196.0,0
39278,20190502,D-13,유출,4,139.0,0
47617,20190502,D-13,유입,5,460.0,0
47648,20190502,D-13,유출,5,198.0,0
55987,20190502,D-13,유입,6,983.0,0
56018,20190502,D-13,유출,6,435.0,0
64357,20190502,D-13,유입,7,1416.0,0
64388,20190502,D-13,유출,7,1144.0,0
72727,20190502,D-13,유입,8,1438.0,0
72758,20190502,D-13,유출,8,1245.0,0
81097,20190502,D-13,유입,9,1452.0,0
81128,20190502,D-13,유출,9,1084.0,0
89467,20190502,D-13,유입,10,1340.0,0
89498,20190502,D-13,유출,10,1127.0,0
97837,20190502,D-13,유입,11,1191.0,0
97868,20190502,D-13,유출,11,1179.0,0
106207,20190502,D-13,유입,12,1157.0,0
106238,20190502,D-13,유출,12,1094.0,0
114577,20190502,D-13,유입,13,1283.0,0
114608,20190502,D-13,유출,13,1003.0,0
122947,20190502,D-13,유입,14,1378.0,0
122978,20190502,D-13,유출,14,1205.0,0
131317,20190502,D-13,유입,15,1369.0,0
131348,20190502,D-13,유출,15,1179.0,0
139687,20190502,D-13,유입,16,1409.0,0
139718,20190502,D-13,유출,16,1201.0,0
148057,20190502,D-13,유입,17,1378.0,0
148088,20190502,D-13,유출,17,1141.0,0
156427,20190502,D-13,유입,18,1370.0,0
156458,20190502,D-13,유출,18,1214.0,0
164797,20190502,D-13,유입,19,1204.0,0
164828,20190502,D-13,유출,19,1015.0,0
173167,20190502,D-13,유입,20,942.0,0
173198,20190502,D-13,유출,20,948.0,0
181537,20190502,D-13,유입,21,819.0,0
181568,20190502,D-13,유출,21,837.0,0
189907,20190502,D-13,유입,22,750.0,0
189938,20190502,D-13,유출,22,709.0,0
198277,20190502,D-13,유입,23,529.0,0
198308,20190502,D-13,유출,23,575.0,0
5768,20190503,D-13,유입,0,457.0,0
5799,20190503,D-13,유출,0,362.0,0
14138,20190503,D-13,유입,1,326.0,0
14169,20190503,D-13,유출,1,317.0,0
22508,20190503,D-13,유입,2,249.0,0
22539,20190503,D-13,유출,2,225.0,0
30878,20190503,D-13,유입,3,191.0,0
30909,20190503,D-13,유출,3,171.0,0
39248,20190503,D-13,유입,4,221.0,0
39279,20190503,D-13,유출,4,190.0,0
47618,20190503,D-13,유입,5,399.0,0
47649,20190503,D-13,유출,5,232.0,0
55988,20190503,D-13,유입,6,922.0,0
56019,20190503,D-13,유출,6,404.0,0
64358,20190503,D-13,유입,7,1356.0,0
64389,20190503,D-13,유출,7,1233.0,0
72728,20190503,D-13,유입,8,1454.0,0
72759,20190503,D-13,유출,8,1392.0,0
81098,20190503,D-13,유입,9,1424.0,0
81129,20190503,D-13,유출,9,1096.0,0
89468,20190503,D-13,유입,10,1379.0,0
89499,20190503,D-13,유출,10,1106.0,0
97838,20190503,D-13,유입,11,1323.0,0
97869,20190503,D-13,유출,11,1296.0,0
106208,20190503,D-13,유입,12,1249.0,0
106239,20190503,D-13,유출,12,1103.0,0
114578,20190503,D-13,유입,13,1369.0,0
114609,20190503,D-13,유출,13,1076.0,0
122948,20190503,D-13,유입,14,1446.0,0
122979,20190503,D-13,유출,14,1202.0,0
131318,20190503,D-13,유입,15,1439.0,0
131349,20190503,D-13,유출,15,1260.0,0
139688,20190503,D-13,유입,16,1497.0,0
139719,20190503,D-13,유출,16,1347.0,0
148058,20190503,D-13,유입,17,1461.0,0
148089,20190503,D-13,유출,17,1284.0,0
