,일자,지점번호,방향,시간,교통량,null
8060,20190501,F-05,유입,0,2069.0,0
8091,20190501,F-05,유출,0,3753.0,0
16430,20190501,F-05,유입,1,1666.0,0
16461,20190501,F-05,유출,1,2980.0,0
24800,20190501,F-05,유입,2,1294.0,0
24831,20190501,F-05,유출,2,2454.0,0
33170,20190501,F-05,유입,3,1036.0,0
33201,20190501,F-05,유출,3,1815.0,0
41540,20190501,F-05,유입,4,1202.0,0
41571,20190501,F-05,유출,4,1629.0,0
49910,20190501,F-05,유입,5,2274.0,0
49941,20190501,F-05,유출,5,1714.0,0
58280,20190501,F-05,유입,6,3094.0,0
58311,20190501,F-05,유출,6,2270.0,0
66650,20190501,F-05,유입,7,2888.0,0
66681,20190501,F-05,유출,7,2670.0,0
75020,20190501,F-05,유입,8,3326.0,0
75051,20190501,F-05,유출,8,3156.0,0
83390,20190501,F-05,유입,9,4062.0,0
83421,20190501,F-05,유출,9,3561.0,0
91760,20190501,F-05,유입,10,3960.0,0
91791,20190501,F-05,유출,10,3474.0,0
100130,20190501,F-05,유입,11,3831.0,0
100161,20190501,F-05,유출,11,3760.0,0
108500,20190501,F-05,유입,12,3781.0,0
108531,20190501,F-05,유출,12,3639.0,0
116870,20190501,F-05,유입,13,3757.0,0
116901,20190501,F-05,유출,13,3527.0,0
125240,20190501,F-05,유입,14,3581.0,0
125271,20190501,F-05,유출,14,4111.0,0
133610,20190501,F-05,유입,15,3204.0,0
133641,20190501,F-05,유출,15,4395.0,0
141980,20190501,F-05,유입,16,2921.0,0
142011,20190501,F-05,유출,16,4499.0,0
150350,20190501,F-05,유입,17,2719.0,0
150381,20190501,F-05,유출,17,4557.0,0
158720,20190501,F-05,유입,18,2660.0,0
158751,20190501,F-05,유출,18,4339.0,0
167090,20190501,F-05,유입,19,2503.0,0
167121,20190501,F-05,유출,19,3704.0,0
175460,20190501,F-05,유입,20,3054.0,0
175491,20190501,F-05,유출,20,3712.0,0
183830,20190501,F-05,유입,21,3174.0,0
183861,20190501,F-05,유출,21,4174.0,0
192200,20190501,F-05,유입,22,2795.0,0
192231,20190501,F-05,유출,22,3934.0,0
200570,20190501,F-05,유입,23,2073.0,0
200601,20190501,F-05,유출,23,2924.0,0
8061,20190502,F-05,유입,0,1432.0,0
8092,20190502,F-05,유출,0,2145.0,0
16431,20190502,F-05,유입,1,993.0,0
16462,20190502,F-05,유출,1,1587.0,0
24801,20190502,F-05,유입,2,716.0,0
24832,20190502,F-05,유출,2,1136.0,0
33171,20190502,F-05,유입,3,751.0,0
33202,20190502,F-05,유출,3,867.0,0
41541,20190502,F-05,유입,4,1460.0,0
41572,20190502,F-05,유출,4,1022.0,0
49911,20190502,F-05,유입,5,3872.0,0
49942,20190502,F-05,유출,5,1887.0,0
58281,20190502,F-05,유입,6,5183.0,0
58312,20190502,F-05,유출,6,2776.0,0
66651,20190502,F-05,유입,7,4292.0,0
66682,20190502,F-05,유출,7,3192.0,0
75021,20190502,F-05,유입,8,3081.0,0
75052,20190502,F-05,유출,8,3254.0,0
83391,20190502,F-05,유입,9,3004.0,0
83422,20190502,F-05,유출,9,3312.0,0
91761,20190502,F-05,유입,10,3326.0,0
91792,20190502,F-05,유출,10,3300.0,0
100131,20190502,F-05,유입,11,3393.0,0
100162,20190502,F-05,유출,11,3473.0,0
108501,20190502,F-05,유입,12,3561.0,0
108532,20190502,F-05,유출,12,3752.0,0
116871,20190502,F-05,유입,13,3557.0,0
116902,20190502,F-05,유출,13,4028.0,0
125241,20190502,F-05,유입,14,3202.0,0
125272,20190502,F-05,유출,14,3950.0,0
133611,20190502,F-05,유입,15,3108.0,0
133642,20190502,F-05,유출,15,4334.0,0
141981,20190502,F-05,유입,16,3151.0,0
142012,20190502,F-05,유출,16,4524.0,0
150351,20190502,F-05,유입,17,2713.0,0
150382,20190502,F-05,유출,17,4154.0,0
158721,20190502,F-05,유입,18,2168.0,0
158752,20190502,F-05,유출,18,3950.0,0
167091,20190502,F-05,유입,19,1969.0,0
167122,20190502,F-05,유출,19,4366.0,0
175461,20190502,F-05,유입,20,2717.0,0
175492,20190502,F-05,유출,20,4508.0,0
183831,20190502,F-05,유입,21,2853.0,0
183862,20190502,F-05,유출,21,4536.0,0
192201,20190502,F-05,유입,22,2642.0,0
192232,20190502,F-05,유출,22,4637.0,0
200571,20190502,F-05,유입,23,2235.0,0
200602,20190502,F-05,유출,23,4334.0,0
8062,20190503,F-05,유입,0,1798.0,0
8093,20190503,F-05,유출,0,3259.0,0
16432,20190503,F-05,유입,1,1298.0,0
16463,20190503,F-05,유출,1,2312.0,0
24802,20190503,F-05,유입,2,927.0,0
24833,20190503,F-05,유출,2,1668.0,0
33172,20190503,F-05,유입,3,843.0,0
33203,20190503,F-05,유출,3,1307.0,0
41542,20190503,F-05,유입,4,1373.0,0
41573,20190503,F-05,유출,4,1235.0,0
49912,20190503,F-05,유입,5,3496.0,0
49943,20190503,F-05,유출,5,2018.0,0
58282,20190503,F-05,유입,6,4960.0,0
58313,20190503,F-05,유출,6,2774.0,0
66652,20190503,F-05,유입,7,4431.0,0
66683,20190503,F-05,유출,7,3149.0,0
75022,20190503,F-05,유입,8,3308.0,0
75053,20190503,F-05,유출,8,3152.0,0
83392,20190503,F-05,유입,9,3592.0,0
83423,20190503,F-05,유출,9,3224.0,0
91762,20190503,F-05,유입,10,3348.0,0
91793,20190503,F-05,유출,10,3501.0,0
100132,20190503,F-05,유입,11,3621.0,0
100163,20190503,F-05,유출,11,3735.0,0
108502,20190503,F-05,유입,12,3447.0,0
108533,20190503,F-05,유출,12,3998.0,0
116872,20190503,F-05,유입,13,3697.0,0
116903,20190503,F-05,유출,13,3968.0,0
125242,20190503,F-05,유입,14,3265.0,0
125273,20190503,F-05,유출,14,4155.0,0
133612,20190503,F-05,유입,15,3204.0,0
133643,20190503,F-05,유출,15,4370.0,0
141982,20190503,F-05,유입,16,3045.0,0
142013,20190503,F-05,유출,16,4269.0,0
150352,20190503,F-05,유입,17,2493.0,0
150383,20190503,F-05,유출,17,4246.0,0
158722,20190503,F-05,유입,18,1876.0,0
158753,20190503,F-05,유출,18,3907.0,0
167092,20190503,F-05,유입,19,1872.0,0
167123,20190503,F-05,유출,19,4016.0,0
175462,20190503,F-05,유입,20,2400.0,0
175493,20190503,F-05,유출,20,4421.0,0
183832,20190503,F-05,유입,21,2939.0,0
183863,20190503,F-05,유출,21,4453.0,0
192202,20190503,F-05,유입,22,2810.0,0
192233,20190503,F-05,유출,22,4508.0,0
200572,20190503,F-05,유입,23,2673.0,0
