,자치구,동,edu_percent,동별_친환경자동차수,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,총_점수,총_점수_interval,총_점수_interval_10
0,종로구,사직동,1,1,5,4,1,4,5,21,3,6
1,종로구,삼청동,1,1,1,4,1,4,3,15,1,2
2,종로구,부암동,1,1,1,1,1,4,5,14,1,2
3,종로구,평창동,2,3,1,1,1,4,5,17,2,3
4,종로구,무악동,1,1,1,4,1,4,4,16,2,3
5,종로구,교남동,1,1,1,5,1,5,4,18,2,4
6,종로구,가회동,1,1,1,4,1,4,4,16,2,3
7,종로구,종로1.2.3.4가동,1,1,5,2,1,4,5,19,3,5
8,종로구,종로5.6가동,1,1,5,2,1,4,4,18,2,4
9,종로구,이화동,1,1,3,4,1,3,5,18,2,4
10,종로구,창신1동,1,1,4,2,1,3,5,17,2,3
11,종로구,창신2동,1,1,1,2,1,4,5,15,1,2
12,종로구,창신3동,1,1,1,2,1,4,4,14,1,2
13,종로구,숭인1동,1,1,1,3,1,4,5,16,2,3
14,종로구,숭인2동,1,1,4,3,1,4,5,19,3,5
15,종로구,청운효자동,1,2,2,4,1,4,5,19,3,5
16,종로구,혜화동,2,3,4,3,1,3,5,21,3,6
17,중구,소공동,1,1,5,5,1,5,1,19,3,5
18,중구,회현동,1,1,5,4,1,4,3,19,3,5
19,중구,명동,1,1,5,2,1,5,1,16,2,3
20,중구,필동,1,1,5,2,1,4,3,17,2,3
21,중구,장충동,1,1,1,2,1,4,3,13,1,1
22,중구,광희동,1,1,5,1,1,4,3,16,2,3
23,중구,을지로동,1,1,5,2,1,4,1,15,1,2
24,중구,신당5동,1,2,3,4,1,4,4,19,3,5
25,중구,황학동,1,3,4,3,1,5,4,21,3,6
26,중구,중림동,1,3,2,5,1,5,4,21,3,6
27,중구,신당동,1,2,5,3,1,4,4,20,3,5
28,중구,다산동,1,3,3,3,1,5,5,21,3,6
29,중구,약수동,1,4,1,3,1,5,5,20,3,5
30,중구,청구동,1,3,1,3,1,5,5,19,3,5
31,중구,동화동,1,2,2,3,1,5,4,18,2,4
32,용산구,후암동,2,3,1,4,1,5,3,19,3,5
33,용산구,용산2가동,1,1,1,5,1,5,2,16,2,3
34,용산구,남영동,1,1,4,4,1,4,2,17,2,3
35,용산구,원효로2동,1,2,2,4,1,5,3,18,2,4
36,용산구,효창동,1,1,1,5,1,5,2,16,2,3
37,용산구,용문동,1,2,1,4,1,5,2,16,2,3
38,용산구,이촌1동,4,4,1,5,1,5,4,24,4,7
39,용산구,이촌2동,1,1,1,5,1,5,1,15,1,2
40,용산구,이태원1동,1,1,3,5,1,5,2,18,2,4
41,용산구,이태원2동,1,1,1,5,1,5,2,16,2,3
42,용산구,서빙고동,1,2,1,5,1,5,2,17,2,3
43,용산구,보광동,2,2,1,5,1,5,3,19,3,5
44,용산구,청파동,2,3,4,5,1,5,4,24,4,7
45,용산구,원효로1동,2,2,4,4,1,5,3,21,3,6
46,용산구,한강로동,2,3,5,5,1,5,3,24,4,7
47,용산구,한남동,3,4,4,5,1,5,4,26,4,8
48,성동구,왕십리2동,2,3,1,4,1,5,3,19,3,5
49,성동구,마장동,3,4,5,3,1,4,4,24,4,7
50,성동구,사근동,1,2,2,1,1,4,3,14,1,2
51,성동구,행당1동,2,3,3,4,1,4,3,20,3,5
52,성동구,행당2동,3,4,1,4,1,5,4,22,3,6
53,성동구,응봉동,2,3,1,4,1,5,3,19,3,5
54,성동구,금호1가동,1,3,1,4,1,5,2,17,2,3
55,성동구,금호4가동,1,2,1,5,1,5,3,18,2,4
56,성동구,성수1가1동,2,3,3,5,1,4,3,21,3,6
57,성동구,성수1가2동,1,2,4,5,1,4,3,20,3,5
58,성동구,성수2가1동,2,3,5,4,1,4,4,23,4,7
59,성동구,성수2가3동,1,2,5,4,1,4,3,20,3,5
60,성동구,송정동,1,2,1,2,1,4,3,14,1,2
61,성동구,용답동,1,2,4,1,1,4,3,16,2,3
62,성동구,왕십리도선동,4,4,4,4,1,5,4,26,4,8
63,성동구,금호2.3가동,3,4,2,4,1,5,4,23,4,7
64,성동구,옥수동,4,4,1,5,1,5,4,24,4,7
65,광진구,화양동,3,3,5,3,1,1,3,19,3,5
66,광진구,군자동,3,2,3,2,1,2,2,15,1,2
67,광진구,중곡1동,2,1,3,1,1,3,1,12,1,1
68,광진구,중곡2동,3,2,3,1,1,3,2,15,1,2
69,광진구,중곡3동,2,2,3,1,1,3,1,13,1,1
70,광진구,중곡4동,5,4,3,1,1,3,2,19,3,5
71,광진구,능동,1,1,1,4,1,2,1,11,1,1
72,광진구,구의1동,3,2,4,4,1,2,2,18,2,4
73,광진구,구의2동,4,3,3,4,1,3,2,20,3,5
74,광진구,구의3동,4,4,5,4,1,3,2,23,4,7
75,광진구,광장동,5,4,3,4,1,4,2,23,4,7
76,광진구,자양1동,3,3,4,4,1,3,2,20,3,5
77,광진구,자양2동,4,3,3,4,1,3,2,20,3,5
78,광진구,자양3동,4,4,3,4,1,3,2,21,3,6
79,광진구,자양4동,3,2,4,4,1,2,2,18,2,4
80,동대문구,회기동,1,1,2,2,1,1,2,10,1,1
81,동대문구,휘경1동,1,1,2,2,1,2,2,11,1,1
82,동대문구,휘경2동,3,2,2,2,1,2,3,15,1,2
83,동대문구,청량리동,2,2,4,3,1,2,3,17,2,3
84,동대문구,용신동,4,3,5,3,1,2,4,22,3,6
85,동대문구,제기동,3,2,5,2,2,2,3,19,3,5
86,동대문구,전농1동,4,3,4,4,2,2,3,22,3,6
87,동대문구,전농2동,2,1,2,4,2,3,2,16,2,3
88,동대문구,답십리1동,4,3,4,3,2,3,3,22,3,6
89,동대문구,답십리2동,4,3,4,3,2,3,3,22,3,6
90,동대문구,장안1동,5,4,5,2,2,3,4,25,4,8
91,동대문구,장안2동,4,3,5,2,2,3,3,22,3,6
92,동대문구,이문1동,3,2,3,2,2,1,4,17,2,3
93,동대문구,이문2동,2,2,1,2,2,2,2,13,1,1
94,중랑구,면목2동,2,2,4,1,2,1,2,14,1,2
95,중랑구,면목4동,1,1,2,1,2,1,1,9,1,1
96,중랑구,면목5동,1,1,1,1,2,1,1,8,1,1
97,중랑구,면목7동,2,1,3,1,2,1,2,12,1,1
98,중랑구,상봉1동,2,2,2,2,2,1,2,13,1,1
99,중랑구,상봉2동,1,1,4,2,2,1,1,12,1,1
100,중랑구,중화1동,2,1,2,1,2,1,1,10,1,1
101,중랑구,중화2동,3,2,4,1,2,1,2,15,1,2
102,중랑구,묵1동,4,3,3,1,2,2,2,17,2,3
103,중랑구,묵2동,1,1,4,1,2,1,1,11,1,1
104,중랑구,망우3동,1,1,2,1,2,1,1,9,1,1
