,자치구,동,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시
0,종로구,사직동,8319.397862917573,95.69517745635666,0.0,0.0,3544,756.0,1101053.0,0.14416865347686425,0.5694953893816949,1653814836.909091
1,종로구,삼청동,2603.9427207930025,29.95225914884742,0.0,0.0,753,716.0,1101054.0,0.1505559548951684,0.17068786625553495,1689369842.5333333
2,종로구,부암동,8928.650975917952,102.70320685044102,0.0,0.0,567,345.0,1101055.0,0.14720930160536125,0.5985766268687253,1597098098.1904762
3,종로구,평창동,16188.846625691609,186.21474488731857,0.0,0.0,739,421.0,1101056.0,0.16452438534618835,0.9710795130719432,1496235833.0
4,종로구,무악동,6999.208224454995,80.5094892839179,0.0,0.0,531,809.0,1101057.0,0.16463610202624546,0.4195589589209253,1654529068.0
5,종로구,교남동,9190.485763007126,105.71500251493626,0.0,0.0,347,1065.75,1101058.0,0.31877324895179804,0.2845284893831563,1771692127.764706
6,종로구,가회동,3852.1066087617933,44.309459840761605,0.0,0.0,747,716.0,1101060.0,0.13245433243777066,0.2870128162036564,1623939023.3
7,종로구,종로1.2.3.4가동,7170.375302099052,82.47836541410572,6.0,0.0,15851,511.0,1101061.0,0.11747440493338822,0.6023761855353724,1642308228.0
8,종로구,종로5.6가동,4742.683829573197,54.55346386465961,3.0,0.0,7613,511.0,1101063.0,0.11937485428342252,0.3920852270236303,1661424013.0
9,종로구,이화동,7305.105823610958,84.02812434826347,0.0,0.0,1289,729.0,1101064.0,0.1125548969443486,0.6405179090736384,1655888976.6666667
10,종로구,창신1동,5284.995362702882,60.79148724743292,1.0,0.0,2302,556.0,1101067.0,0.1145765954200178,0.4552163556386912,1627611831.6363635
11,종로구,창신2동,8486.328131709053,97.61531902886655,0.0,0.0,871,556.0,1101068.0,0.12085583526191855,0.6929810460477283,1634962077.6666667
12,종로구,창신3동,6303.524210862071,72.50727491320403,1.0,0.0,264,556.0,1101069.0,0.15252215837728894,0.4078680091773956,1243609324.090909
13,종로구,숭인1동,5696.813183173236,65.5284862537264,0.0,0.0,507,697.0,1101070.0,0.12777049460578954,0.4400181209721025,1281072306.375
14,종로구,숭인2동,8548.185540956658,98.32684357096413,1.0,0.0,1812,697.0,1101071.0,0.11728478725941227,0.7192856829706704,1367537575.7692306
15,종로구,청운효자동,11263.980015457657,129.56569504250857,0.0,0.0,1016,716.0,1101072.0,0.1499760738073519,0.7412062137397888,1591816737.0681818
16,종로구,혜화동,17257.369818311192,198.50560033368907,0.0,0.0,1737,614.0,1101073.0,0.10594763690788864,1.6075055897353459,1545883126.5
17,중구,소공동,2137.0005234714267,36.90753725125891,3.0,2.0,3918,921.0,1102052.0,0.3632333852007974,0.04784895870865461,2343115527.7058825
18,중구,회현동,4332.2299440401675,74.82072946849217,9.0,1.0,9425,794.0,1102054.0,0.1789699075876953,0.19687252287958493,2370680980.444445
19,중구,명동,2525.6784115959977,43.62028414913775,6.0,0.0,6770,531.0,1102055.0,0.1914399461110481,0.10729984867046193,2293992814.458333
20,중구,필동,3672.059823199369,63.419116291757895,0.0,0.0,3075,531.0,1102057.0,0.17210856132607014,0.17352453700367515,2445412244.115385
21,중구,장충동,4114.5994411389565,71.062094033163,0.0,0.0,855,534.0,1102058.0,0.15009162596748649,0.22295885277797794,2483201375.714286
22,중구,광희동,4408.655371480392,76.14065161133351,12.0,0.0,9253,473.0,1102059.0,0.18001857570809404,0.19917849679325506,2392885686.7297297
23,중구,을지로동,1383.6641672749258,23.896876128965665,2.0,0.0,9453,531.0,1102060.0,0.16267045077525386,0.06917921741010305,2418915424.285714
24,중구,신당5동,7053.703022125885,121.82252844071873,0.0,0.0,1305,788.0,1102065.0,0.1813434440960177,0.31635079628161705,2560009674.0
25,중구,황학동,9738.78303952578,168.19579305921127,3.0,0.0,1867,690.0,1102067.0,0.19088958738175132,0.4149311810910139,2330971385.315789
26,중구,중림동,9447.63855403921,163.16751822933946,0.0,0.0,982,941.0,1102068.0,0.2895934232019288,0.26533112344166604,2477984152.954545
27,중구,신당동,6855.7247719950155,118.40330155640586,16.0,0.0,12073,702.0,1102069.0,0.18550789327249448,0.3005692873099373,2448666975.315789
28,중구,다산동,11000.166522896348,189.9807937596308,0.0,0.0,1396,702.0,1102070.0,0.19453227635917056,0.4598976724075809,2450102612.0
29,중구,약수동,13081.849594125322,225.93295879321403,2.0,0.0,841,702.0,1102071.0,0.20319965539688653,0.5236002017727175,2497989750.75
