,자치구,동,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시,clus,pca1,pca2,pca3,pca,sum1,sum_clus,cluster,총_점수_interval_10,수소충전소,pca_clus,업체명,동주소,경도,위도,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도
0,종로구,사직동,8319.397862917573,95.69517745635666,0.0,0.0,3544,756.0,1101053.0,0.14416865347686425,0.5694953893816949,1653814836.909091,1,344952193.70180255,-601588216.829308,-890543402.4734282,-18401557896.947384,-1.4657369156373585,5,2,6,0,8,,,,,세종로,공영,노외,1270.0,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,300.0,126.975866,37.573397
1,종로구,삼청동,2603.9427207930025,29.95225914884742,0.0,0.0,753,716.0,1101054.0,0.1505559548951684,0.17068786625553495,1689369842.5333333,1,352365704.56919694,-614517525.8475627,-909690744.0996863,-18797211100.103832,-4.965972315068719,1,2,2,0,8,,,,,,,,,,,,,,,,,,,,
2,종로구,부암동,8928.650975917952,102.70320685044102,0.0,0.0,567,345.0,1101055.0,0.14720930160536125,0.5985766268687253,1597098098.1904762,1,333121918.5263459,-580957003.6856982,-860004963.4863622,-17770543717.43194,-4.027805714664354,2,2,2,0,8,,,,,,,,,,,,,,,,,,,,
3,종로구,평창동,16188.846625691609,186.21474488731857,0.0,0.0,739,421.0,1101056.0,0.16452438534618835,0.9710795130719432,1496235833.0,2,312086908.70793045,-544272070.9645693,-805693234.42652,-16648277003.602457,-1.3736395442176466,5,2,3,0,9,,,,,비봉,공영,노외,40.0,3,미시행,평일+토요일+공휴일,08:00,18:00,08:00,18:00,유료,5.0,150.0,126.9565401309,37.612215534899995
4,종로구,무악동,6999.208224454995,80.5094892839179,0.0,0.0,531,809.0,1101057.0,0.16463610202624546,0.4195589589209253,1654529068.0,1,345100233.49942875,-601846460.959192,-890930290.7495043,-18409553148.157497,-3.289966218010187,3,2,3,0,8,,,,,,,,,,,,,,,,,,,,
5,종로구,교남동,9190.485763007126,105.71500251493626,0.0,0.0,347,1065.75,1101058.0,0.31877324895179804,0.2845284893831563,1771692127.764706,1,369538635.6859681,-644466168.373457,-954020579.8708165,-19713200402.86756,-0.946906802780449,6,2,4,0,8,,,,,,,,,,,,,,,,,,,,
6,종로구,가회동,3852.1066087617933,44.30945984076161,0.0,0.0,747,716.0,1101060.0,0.13245433243777066,0.2870128162036564,1623939023.3,1,338718746.2177325,-590717476.7789683,-874457708.1192394,-18069178904.585052,-4.677921734534573,1,2,3,0,8,,,,,,,,,,,,,,,,,,,,
7,종로구,종로1.2.3.4가동,7170.375302099052,82.47836541410572,6.0,0.0,15851,511.0,1101061.0,0.11747440493338822,0.6023761855353724,1642308228.0,1,342553701.4433087,-597405259.6862398,-884337382.4581302,-18273321837.88865,3.894909093794329,9,6,5,0,8,,,,,서린노외,공영,노외,45.0,1,미시행,평일,09:00,18:00,00:00,00:00,유료,5.0,400.0,126.98148300000001,37.569835
8,종로구,종로1.2.3.4가동,7170.375302099052,82.47836541410572,6.0,0.0,15851,511.0,1101061.0,0.11747440493338822,0.6023761855353724,1642308228.0,1,342553701.4433087,-597405259.6862398,-884337382.4581302,-18273321837.88865,3.894909093794329,9,6,5,0,8,,,,,종묘,공영,노외,1323.0,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,400.0,126.994045,37.574496
9,종로구,종로1.2.3.4가동,7170.375302099052,82.47836541410572,6.0,0.0,15851,511.0,1101061.0,0.11747440493338822,0.6023761855353724,1642308228.0,1,342553701.4433087,-597405259.6862398,-884337382.4581302,-18273321837.88865,3.894909093794329,9,6,5,0,8,,,,,서인사마당,공영,노외,45.0,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,유료,5.0,400.0,126.98358586270001,37.5736815664
