,자치구,동,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,남자수,여자수,인구,면적,인구밀도,사용년수,세대수
0,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,0-5,2238
1,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,5-10,1626
2,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,10-15,1950
3,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,15-20,2088
4,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,20-30,3357
5,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,30-40,720
6,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,40-50,421
7,종로구,사직동,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544,99.0,756.0,495.0,9497.0,59.0,38.0,548,3819,4583,9818,1.23,7982,50-,221
8,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,0-5,2238
9,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,5-10,1626
10,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,10-15,1950
11,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,15-20,2088
12,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,20-30,3357
13,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,30-40,720
14,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,40-50,421
15,종로구,삼청동,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,34.0,716.0,442.0,9497.0,59.0,38.0,548,1198,1378,3073,1.49,2062,50-,221
16,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,0-5,2238
17,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,5-10,1626
18,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,10-15,1950
19,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,15-20,2088
20,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,20-30,3357
21,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,30-40,720
22,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,40-50,421
23,종로구,부암동,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,104.0,345.0,214.0,9497.0,59.0,38.0,548,4646,5118,10537,2.27,4642,50-,221
24,종로구,평창동,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,94.0,421.0,277.0,9497.0,59.0,38.0,548,8134,9076,19105,8.87,2154,0-5,2238
25,종로구,평창동,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,94.0,421.0,277.0,9497.0,59.0,38.0,548,8134,9076,19105,8.87,2154,5-10,1626
26,종로구,평창동,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,94.0,421.0,277.0,9497.0,59.0,38.0,548,8134,9076,19105,8.87,2154,10-15,1950
27,종로구,평창동,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,94.0,421.0,277.0,9497.0,59.0,38.0,548,8134,9076,19105,8.87,2154,15-20,2088
