,자치구,동,합계_사업체수,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,총_수급자_가구,수입차합계,수입화물차,수입특수차
0,종로구,사직동,3544,,,,,,,,99.0,9497.0,59.0,38.0
1,종로구,삼청동,753,,,,,,,,34.0,9497.0,59.0,38.0
2,종로구,부암동,567,,,,,,,,104.0,9497.0,59.0,38.0
3,종로구,평창동,739,,,,,,,,94.0,9497.0,59.0,38.0
4,종로구,무악동,531,,,,,,,,101.0,9497.0,59.0,38.0
5,종로구,교남동,347,,,,,,,,131.0,9497.0,59.0,38.0
6,종로구,가회동,747,,,,,,,,45.0,9497.0,59.0,38.0
7,종로구,종로1.2.3.4가동,15851,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,627.0,9497.0,59.0,38.0
8,종로구,종로5·6가동,7613,3.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,9497.0,59.0,38.0
9,종로구,이화동,1289,,,,,,,,150.0,9497.0,59.0,38.0
10,종로구,창신1동,2302,1.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,9497.0,59.0,38.0
11,종로구,창신2동,871,,,,,,,,280.0,9497.0,59.0,38.0
12,종로구,창신3동,264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,9497.0,59.0,38.0
13,종로구,숭인1동,507,,,,,,,,173.0,9497.0,59.0,38.0
14,종로구,숭인2동,1812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,9497.0,59.0,38.0
15,종로구,청운효자동,1016,,,,,,,,130.0,9497.0,59.0,38.0
16,종로구,혜화동,1737,,,,,,,,175.0,9497.0,59.0,38.0
17,중구,소공동,3918,3.0,2.0,125379.0,0.0,0.0,0.0,0.0,24.0,11403.0,144.0,50.0
18,중구,회현동,9425,9.0,1.0,131663.0,0.0,0.0,0.0,0.0,498.0,11403.0,144.0,50.0
19,중구,명동,6770,6.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,11403.0,144.0,50.0
20,중구,필동,3075,,,,,,,,66.0,11403.0,144.0,50.0
21,중구,장충동,855,,,,,,,,67.0,11403.0,144.0,50.0
