,주차장관리번호,주차장명,주차장구분,주차장유형,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도_x,데이터기준일자,제공기관코드,제공기관명,Unnamed: 33,도로명주소,행정구역
0,115-2-000001,화곡본-2,공영,노외,100,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-1570,37.5441208,126.8485531,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 초록마을로5길 46,화곡본동
1,115-2-000002,화곡2-1,공영,노외,60,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-1419,37.5359807,126.8502384,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 강서로18바길 16-11,화곡제8동
2,115-2-000003,화곡3-1,공영,노외,99,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2603-1573,37.5417019,126.8325455,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 양천구 월정로50길 22,신월5동
3,115-2-000004,화곡4-1,공영,노외,138,5,미시행,평일,07:00,23:00,09:00,15:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2645-1574,37.5417015,126.8259794,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 양천구 화곡로3길 27-8,신월5동
4,115-2-000006,화곡5-2,공영,노외,25,5,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2604-8688,37.5441769,126.8385479,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 강서로 200,우장산동
5,115-2-000007,화곡5-3,공영,노외,17,5,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2604-8688,37.5433295,126.83354409999998,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 강서로37길 71,화곡제3동
6,115-2-000008,화곡7-1,공영,노외,86,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2699-8671,37.5446015,126.834701,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 강서로45다길 74,화곡제3동
7,115-2-000009,등촌2-1,공영,노외,91,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2645-1578,37.549757,126.859126,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 등촌로51길 80,등촌제2동
8,115-2-000010,화곡6-1,공영,노외,300,4,미시행,평일+토요일,07:00,23:00,07:00,23:00,00:00,00:00,유료,5,100,5.0,100.0,8.0,5000.0,70000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.5529786,126.84626609999998,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 우장산로 92,화곡제6동
9,115-2-000014,화곡본-1,공영,노외,99,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2065-8751,37.5397032,126.847571,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 까치산로4길 75-20,화곡본동
