,자치구,동,업체명,동주소,경도,위도
79,성동구,성수1가2동,덕마가스충전소,서울특별시  성동구 왕십리로 124,37.5487108,127.0427275
81,성동구,성수2가3동,대성산업(주)동부충전소,서울특별시  성동구 광나루로 200,37.5504541,127.0501927
93,광진구,중곡1동,현대오일뱅크 중곡동충전소,서울특별시  광진구 동일로 323,37.5600492,127.0715211
94,광진구,중곡1동,한양에너지(주),서울특별시  광진구 동일로 381,37.5649577,127.0743513
103,광진구,자양1동,해양가스,서울특별시  광진구 자양로 77,37.5345877,127.081491
108,동대문구,휘경1동,수도에너지(주)동서울충전소,서울특별시  동대문구 망우로 57,37.5896355,127.0572487
111,동대문구,청량리동,(주)홍릉가스충전소,서울특별시  동대문구 회기로 44,37.591046,127.0390423
117,동대문구,답십리2동,복지장안충전소,서울특별시  동대문구 한천로 169,37.5761538,127.0650373
118,동대문구,장안1동,장안동가스충전소,서울특별시  동대문구 천호대로 353,37.5628972,127.0564677
126,중랑구,면목5동,(주)풍림에너지,서울특별시  중랑구 동일로 553,37.5796396,127.0770502
131,중랑구,중화2동,동일석유(주)황금충전소,서울특별시  중랑구 망우로 209,37.5941469,127.0736578
135,중랑구,신내1동,신내LPG충전소,서울특별시  중랑구 용마산로 691,37.6127083,127.0986253
142,중랑구,망우본동,망우충전소,서울특별시  중랑구 망우로 449,37.6005662,127.0997273
152,성북구,길음2동,우일에너지(주),서울특별시  성북구 종암로 201,37.6079111,127.0280595
157,성북구,장위3동,(주)장위가스,서울특별시  성북구 화랑로 291,37.6132323,127.0584353
163,강북구,번1동,서울와사공업(주),서울특별시  강북구 도봉로 318,37.6361977,127.0223295
166,강북구,번3동,(주)청학에너지,서울특별시  강북구 한천로 833,37.628133,127.0418651
167,강북구,수유1동,국제가스공업(주),서울특별시  강북구 덕릉로24길 6,37.6342897,127.0196568
168,강북구,수유1동,국제가스공업(주),서울특별시  강북구 덕릉로24길 6,37.6342897,127.0196568
169,강북구,수유1동,국제가스공업(주),서울특별시  강북구 덕릉로24길 6,37.6342897,127.0196568
170,강북구,수유1동,국제가스공업(주),서울특별시  강북구 덕릉로24길 6,37.6342897,127.0196568
190,도봉구,쌍문2동,케이와이에너지 (주)한영충전소,서울특별시  도봉구 도봉로 627,37.6605626,127.0391747
193,도봉구,방학1동,(주)에스케이행복에너지,서울특별시  도봉구 도봉로 690,37.6657713,127.0413803
197,도봉구,창2동,동원가스충전소,서울특별시  도봉구 도봉로 430,37.6442559,127.0303566
201,도봉구,도봉1동,(주)평안에너지 도봉충전소,서울특별시  도봉구 도봉로 983,37.6669495,127.0037197
206,노원구,공릉2동,복지공릉충전소,서울특별시  노원구 화랑로 826,37.6387974,127.1073596
212,노원구,상계1동,(주)노일가스,서울특별시  노원구 동일로 1601,37.6714118,127.0533609
213,노원구,상계1동,복지노원충전소,서울특별시  노원구 동일로 1778,37.6868658,127.0536446
221,노원구,중계2.3동,(주)평안에너지상계충전소,서울특별시  노원구 동일로210길 86,37.6491705,127.0648569
222,노원구,공릉1동,신성에너지주식회사,서울특별시  노원구 동일로 1113,37.6290624,127.06866
223,노원구,공릉1동,태능가스(주),서울특별시  노원구 화랑로 405,37.6169558,127.0703365
234,은평구,증산동,신흥에너지산업(주),서울특별시  은평구 수색로 199,37.5785883,126.8981881
235,은평구,증산동,(주)삼표에너지 수색충전소,서울특별시  은평구 수색로 181,37.5777045,126.8991679
237,은평구,진관동,은평서부충전소,서울특별시  은평구 통일로 1186,37.6436336,126.9190242
252,서대문구,북가좌1동,연일가스산업(주),서울특별시  서대문구 수색로 123,37.5736524,126.9040941
282,양천구,신월1동,(주)대흥가스,서울특별시  양천구 남부순환로 411,37.5310765,126.8297391
283,양천구,신월1동,(주)대흥가스,서울특별시  양천구 남부순환로 411,37.5310765,126.8297391
284,양천구,신월1동,(주)대흥가스,서울특별시  양천구 남부순환로 411,37.5310765,126.8297391
290,양천구,신월5동,비케이서비스산업(주),서울특별시  양천구 남부순환로 311,37.5389711,126.8244415
291,양천구,신월5동,비케이서비스산업(주),서울특별시  양천구 남부순환로 311,37.5389711,126.8244415
292,양천구,신월5동,비케이서비스산업(주),서울특별시  양천구 남부순환로 311,37.5389711,126.8244415
294,양천구,신월7동,(주)남양가스,서울특별시  양천구 남부순환로 538,37.5205794,126.8350239
295,양천구,신월7동,(주)남양가스,서울특별시  양천구 남부순환로 538,37.5205794,126.8350239
298,양천구,신정3동,수도에너지(주),서울특별시  양천구 신정로 146,37.5068869,126.8368141
302,양천구,신정7동,복지신정충전소,서울특별시  양천구 안양천로 669,37.5071347,126.8689771
303,양천구,신정7동,복지신정충전소,서울특별시  양천구 안양천로 669,37.5071347,126.8689771
304,양천구,신정7동,복지신정충전소,서울특별시  양천구 안양천로 669,37.5071347,126.8689771
313,양천구,신정4동,목동충전소,서울특별시  양천구 목동로 193,37.5256,126.8618748
316,강서구,등촌2동,공항로충전소,서울특별시  강서구 공항대로 468,37.55334,126.8564504
328,강서구,가양1동,복지마곡충전소,서울특별시  강서구 양천로 200,37.5651159,126.8065389
329,강서구,가양1동,대영가스 충전소,서울특별시  강서구 양천로 242,37.5651159,126.8065389
