gu,dong,count
강남구,개포1동,4916317314.5
강남구,개포2동,4918406412.142858
강남구,개포4동,4985703085.333333
강남구,논현1동,4983400832.5161295
강남구,논현2동,4894706916.512196
강남구,대치1동,4871840735.315789
강남구,대치2동,4971155613.62963
강남구,대치4동,4989787699.142858
강남구,도곡1동,4758632364.8125
강남구,도곡2동,4960176553.35
강남구,삼성1동,5073520212.928572
강남구,삼성2동,4878778864.171429
강남구,세곡동,5868893565.294118
강남구,수서동,4973733725.466666
강남구,신사동,4937691237.2
강남구,압구정동,4864617534.836735
강남구,역삼1동,4869778572.54902
강남구,역삼2동,4841370918.7
강남구,일원1동,5709119067.090909
강남구,일원2동,5234295593.277778
강남구,일원본동,4941516983.666667
강남구,청담동,4890461755.862069
강동구,강일동,4594622425.222222
강동구,고덕1동,4370610462.608696
강동구,고덕2동,4528935076.375
강동구,길동,4497643513.391304
강동구,둔촌1동,4556803492.888889
강동구,둔촌2동,4573944006.421053
강동구,명일1동,4504249913.0
강동구,명일2동,4454056166.105263
강동구,상일동,4492698858.0
강동구,성내1동,4548166499.413794
강동구,성내2동,4499929866.363636
강동구,성내3동,4413048314.714286
강동구,암사1동,4458016535.153846
강동구,암사2동,4406132592.0
강동구,암사3동,4371937056.3125
강동구,천호1동,4547780249.333333
강동구,천호2동,4586410241.285714
강동구,천호3동,4553218450.888889
강북구,미아동,325635468.84210527
강북구,번1동,506012732.5
강북구,번2동,433859265.625
강북구,번3동,458485960.85714287
강북구,삼각산동,538474057.65
강북구,삼양동,412509388.0
강북구,송중동,319775778.82758623
강북구,송천동,472084181.15789473
강북구,수유1동,447079231.6666667
강북구,수유2동,422626260.90909094
강북구,수유3동,408411263.2
강북구,우이동,490947932.27272725
강북구,인수동,386928508.5862069
강서구,가양1동,6155122843.40625
강서구,가양2동,6137729566.142858
강서구,가양3동,6121784414.75
강서구,공항동,6122905160.72
강서구,등촌1동,6162007324.72
강서구,등촌2동,6032830832.833333
강서구,등촌3동,6123163240.945946
강서구,발산1동,6094421100.829268
강서구,방화1동,6164047742.8918915
강서구,방화2동,6114514335.815789
강서구,방화3동,6162491895.458333
강서구,염창동,5998146986.043478
강서구,우장산동,6134513185.64
강서구,화곡1동,6005859191.914286
강서구,화곡2동,5982446250.0
강서구,화곡3동,6092376749.75
강서구,화곡4동,5953719157.5
강서구,화곡6동,6151058899.25
강서구,화곡8동,5934693861.64
강서구,화곡본동,6107008173.625
관악구,낙성대동,6411857323.6875
관악구,난곡동,6377391901.818182
관악구,난향동,6465485910.0
관악구,남현동,6092277946.555555
관악구,대학동,6397474810.538462
관악구,미성동,6353432680.45
관악구,보라매동,6429974583.615385
관악구,삼성동,6372489921.8
관악구,서림동,6373565328.05
관악구,서원동,6439439336.166667
관악구,성현동,6424560217.318182
관악구,신림동,6427229551.192307
관악구,신사동,6466098157.846154
관악구,신원동,6387954732.666667
