기간	자치구별	합계	승용차	승합차	화물차	특수차
2018.12	합계	483,823	478,139	1,652	3,210	822
2018.12	종로구	9,497	9,329	71	59	38
2018.12	중구	11,403	11,142	67	144	50
2018.12	용산구	22,513	22,317	59	131	6
2018.12	성동구	21,312	21,132	78	91	11
2018.12	광진구	14,410	14,281	51	75	3
2018.12	동대문구	11,743	11,572	49	115	7
2018.12	중랑구	8,490	8,316	46	114	14
2018.12	성북구	14,280	14,110	72	92	6
2018.12	강북구	5,915	5,846	19	45	5
2018.12	도봉구	7,211	7,098	38	66	9
2018.12	노원구	12,458	12,278	76	91	13
2018.12	은평구	12,155	12,000	44	105	6
2018.12	서대문구	11,512	11,349	47	92	24
2018.12	마포구	20,922	20,684	65	153	20
2018.12	양천구	19,507	19,107	55	132	213
2018.12	강서구	22,535	22,212	87	201	35
2018.12	구로구	12,047	11,811	41	157	38
2018.12	금천구	6,760	6,643	30	81	6
2018.12	영등포구	23,283	22,835	54	248	146
2018.12	동작구	14,276	14,172	39	58	7
2018.12	관악구	11,000	10,858	37	91	14
2018.12	서초구	55,436	54,951	152	274	59
2018.12	강남구	76,475	75,986	202	223	64
2018.12	송파구	43,447	43,096	101	237	13
2018.12	강동구	15,236	15,014	72	135	15
