기간	자치구	성별	연령	합계	재학	재학	재학	재학	재학	재학	재학	졸업	졸업	졸업	졸업	졸업	졸업	졸업	중퇴	중퇴	중퇴	중퇴	중퇴	중퇴	중퇴	수료	수료	수료	수료	안받았음(미취학포함)
기간	자치구	성별	연령	합계	계	초등학교	중학교	고등학교	대학	대학교	대학원	계	초등학교	중학교	고등학교	대학	대학교	대학원	계	초등학교	중학교	고등학교	대학	대학교	대학원	계	대학	대학교	대학원	안받았음(미취학포함)
2015	서울시	합계	계	9,088,251	1,754,482	447,272	281,085	362,340	122,465	450,698	90,622	6,686,256	466,321	508,046	2,166,267	810,372	2,265,321	469,929	349,369	48,163	42,364	53,815	78,292	110,158	16,577	114,107	16,888	23,831	73,388	184,037
2015	서울시	합계	6~9세	293,735	234,985	234,985	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58,750
2015	서울시	합계	10~14세	400,684	400,508	212,269	188,239	-	-	-	-	-	-	-	-	-	-	-	133	-	133	-	-	-	-	-	-	-	-	43
2015	서울시	합계	15~19세	543,220	490,791	-	76,996	304,621	39,658	69,516	-	47,916	-	1,440	46,476	-	-	-	4,466	-	664	3,018	485	299	-	-	-	-	-	47
2015	서울시	합계	20~24세	681,323	435,550	-	15,711	57,282	66,697	287,028	8,832	227,351	113	2,202	87,734	74,025	62,676	601	16,054	-	485	2,627	7,433	5,462	47	1,980	870	1,110	-	388
2015	서울시	합계	25~29세	721,164	114,805	-	22	60	8,847	71,316	34,560	563,469	9	1,681	74,579	125,115	337,710	24,375	31,144	-	420	2,102	13,735	14,000	887	11,405	1,651	5,464	4,290	341
2015	서울시	합계	30~34세	821,484	31,718	-	22	28	2,912	9,304	19,452	734,906	7	3,063	116,780	148,365	401,987	64,704	36,853	-	732	3,276	14,189	16,639	2,017	17,603	1,923	3,952	11,728	404
2015	서울시	합계	35~39세	765,387	17,365	-	8	26	1,691	4,524	11,116	695,371	12	4,474	151,281	131,416	332,117	76,071	35,021	-	871	3,319	11,708	15,554	3,569	17,209	2,068	2,537	12,604	421
2015	서울시	합계	40~44세	806,102	12,785	-	14	48	1,448	4,084	7,191	747,858	759	10,891	250,549	114,426	290,443	80,790	27,510	219	1,499	4,269	7,416	10,478	3,629	17,469	2,569	2,222	12,678	480
2015	서울시	합계	45~49세	787,835	8,990	-	18	59	1,163	3,192	4,558	738,984	7,250	27,945	302,183	79,522	255,306	66,778	24,856	591	1,998	4,577	6,161	9,259	2,270	14,452	2,212	2,144	10,096	553
2015	서울시	합계	50~54세	764,101	3,785	-	12	53	22	897	2,801	720,238	26,273	63,769	315,831	54,769	204,525	55,071	28,725	1,950	3,921	5,515	5,643	9,937	1,759	10,705	1,594	1,807	7,304	648
2015	서울시	합계	55~59세	746,284	2,310	-	15	86	8	697	1,504	703,445	56,115	103,364	313,568	40,313	145,895	44,190	30,687	3,865	6,750	7,217	4,135	7,570	1,150	8,796	1,496	1,361	5,939	1,046
2015	서울시	합계	60~64세	556,511	661	-	21	56	13	71	500	518,769	72,515	99,688	210,150	20,343	90,437	25,636	25,655	4,849	6,637	5,430	2,557	5,506	676	6,019	1,023	1,146	3,850	5,407
2015	서울시	합계	65~69세	434,319	182	16	7	21	4	54	80	392,376	84,220	81,124	139,338	10,768	62,615	14,311	25,577	7,070	5,976	4,860	2,050	5,334	287	3,960	777	991	2,192	12,224
2015	서울시	합계	70~74세	337,207	47	2	-	-	2	15	28	286,286	91,473	57,371	82,773	5,677	40,177	8,815	25,929	10,738	5,398	3,854	1,305	4,457	177	2,278	351	566	1,361	22,667
2015	서울시	합계	75~79세	225,924	-	-	-	-	-	-	-	176,869	68,007	31,046	44,384	2,890	25,270	5,272	20,891	10,259	4,076	2,248	850	3,394	64	1,272	159	314	799	26,892
2015	서울시	합계	80~84세	121,873	-	-	-	-	-	-	-	85,018	35,695	13,160	21,044	1,490	11,330	2,299	11,024	5,665	2,083	1,200	423	1,609	44	658	141	145	372	25,173
2015	서울시	합계	85세 이상	81,098	-	-	-	-	-	-	-	47,400	23,873	6,828	9,597	1,253	4,833	1,016	4,844	2,957	721	303	202	660	1	301	54	72	175	28,553
2015	서울시	남자	계	4,447,512	953,556	230,724	153,649	214,315	69,096	239,342	46,430	3,180,949	145,403	206,702	1,015,679	350,796	1,184,256	278,113	198,343	11,642	21,688	33,566	49,462	72,626	9,359	63,109	8,004	12,626	42,479	51,555
2015	서울시	남자	6~9세	150,975	121,174	121,174	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29,801
2015	서울시	남자	10~14세	207,422	207,362	109,544	97,818	-	-	-	-	-	-	-	-	-	-	-	41	-	41	-	-	-	-	-	-	-	-	19
2015	서울시	남자	15~19세	278,210	249,583	-	40,106	156,965	20,686	31,826	-	25,902	-	941	24,961	-	-	-	2,702	-	372	1,896	249	185	-	-	-	-	-	23
2015	서울시	남자	20~24세	340,249	252,636	-	15,665	57,155	38,244	138,977	2,595	77,216	111	1,426	47,390	18,233	9,948	108	9,776	-	335	1,870	4,204	3,354	13	410	268	142	-	211
