구,연료별,용도별,승용,승합,화물,특수,계
동작구,CNG,비사업용,16,0,6,0,22
동작구,CNG,사업용,0,56,0,0,56
동작구,경유,비사업용,25423,2604,6863,91,34981
동작구,경유,사업용,14,75,1001,280,1370
동작구,기타연료,비사업용,2,33,68,2,105
동작구,기타연료,사업용,0,0,5,0,5
동작구,수소,비사업용,3,0,0,0,3
동작구,엘피지,비사업용,5719,487,647,1,6854
동작구,엘피지,사업용,1116,0,136,0,1252
동작구,전기,비사업용,206,0,2,0,208
동작구,전기,사업용,12,0,0,0,12
동작구,하이브리드(LPG+전기),비사업용,76,0,0,0,76
동작구,하이브리드(LPG+전기),사업용,1,0,0,0,1
동작구,하이브리드(경유+전기),비사업용,2,0,0,0,2
동작구,하이브리드(휘발유+전기),비사업용,3000,0,0,0,3000
동작구,하이브리드(휘발유+전기),사업용,1,0,0,0,1
동작구,휘발유,비사업용,24352,14,24,0,24390
동작구,휘발유(무연),비사업용,33629,12,21,0,33662
동작구,휘발유(무연),사업용,12,0,0,0,12
동작구,휘발유(유연),비사업용,38,0,0,0,38
동작구,수소,사업용,0,0,0,0,0
서초구,CNG,비사업용,32,3,28,1,64
서초구,CNG,사업용,0,487,0,0,487
서초구,경유,비사업용,38776,3387,10782,166,53111
서초구,경유,사업용,2488,289,4828,168,7773
서초구,기타연료,비사업용,6,83,194,16,299
서초구,기타연료,사업용,0,0,89,0,89
서초구,수소,비사업용,28,0,0,0,28
서초구,수소,사업용,1,1,0,0,2
서초구,엘피지,비사업용,4681,608,753,1,6043
서초구,엘피지,사업용,1898,5,141,0,2044
서초구,전기,비사업용,731,1,10,0,742
서초구,전기,사업용,62,0,0,0,62
서초구,하이브리드(LPG+전기),비사업용,71,0,0,0,71
서초구,하이브리드(경유+전기),비사업용,3,0,0,0,3
서초구,하이브리드(휘발유+전기),비사업용,6671,0,0,0,6671
서초구,하이브리드(휘발유+전기),사업용,232,0,0,0,232
서초구,휘발유,비사업용,50027,48,69,1,50145
서초구,휘발유,사업용,1458,6,0,0,1464
서초구,휘발유(무연),비사업용,50851,33,49,1,50934
서초구,휘발유(무연),사업용,1404,0,0,0,1404
서초구,휘발유(유연),비사업용,71,0,0,0,71
양천구,CNG,비사업용,21,2,16,0,39
양천구,CNG,사업용,0,641,0,0,641
양천구,경유,비사업용,34454,3499,11592,144,49689
양천구,경유,사업용,65,139,2461,413,3078
양천구,기타연료,비사업용,2,50,144,3,199
양천구,기타연료,사업용,0,0,44,0,44
양천구,수소,비사업용,2,0,0,0,2
양천구,수소,사업용,1,0,0,0,1
양천구,엘피지,비사업용,8175,741,986,1,9903
양천구,엘피지,사업용,4496,5,209,0,4710
양천구,전기,비사업용,207,0,1,0,208
양천구,전기,사업용,28,0,1,0,29
양천구,하이브리드(LPG+전기),비사업용,92,0,0,0,92
양천구,하이브리드(LPG+전기),사업용,1,0,0,0,1
양천구,하이브리드(경유+전기),비사업용,2,0,0,0,2
양천구,하이브리드(휘발유+전기),비사업용,3441,0,0,0,3441
양천구,하이브리드(휘발유+전기),사업용,2,0,0,0,2
양천구,휘발유,비사업용,33028,14,38,0,33080
양천구,휘발유,사업용,11,0,0,0,11
양천구,휘발유(무연),비사업용,44569,21,40,0,44630
양천구,휘발유(무연),사업용,102,0,0,0,102
양천구,휘발유(유연),비사업용,36,0,0,0,36
광진구,CNG,사업용,0,42,0,0,42
광진구,경유,비사업용,23661,2441,9935,37,36074
광진구,경유,사업용,412,289,1283,181,2165
광진구,기타연료,비사업용,0,39,95,0,134
광진구,기타연료,사업용,0,0,4,0,4
광진구,수소,비사업용,1,0,0,0,1
광진구,수소,사업용,1,0,0,0,1
광진구,엘피지,비사업용,4734,542,752,1,6029
광진구,엘피지,사업용,2310,35,249,60,2654
광진구,전기,비사업용,153,0,0,0,153
광진구,전기,사업용,4,0,0,0,4
광진구,하이브리드(LPG+전기),비사업용,60,0,0,0,60
광진구,하이브리드(휘발유+전기),비사업용,2216,0,0,0,2216
광진구,하이브리드(휘발유+전기),사업용,20,0,0,0,20
광진구,휘발유,비사업용,20683,9,24,0,20716
광진구,휘발유,사업용,236,1,0,0,237
광진구,휘발유(무연),비사업용,28541,23,25,0,28589
광진구,휘발유(무연),사업용,369,0,0,0,369
광진구,휘발유(유연),비사업용,42,0,0,0,42
성동구,CNG,비사업용,17,4,16,0,37
성동구,CNG,사업용,0,455,0,0,455
성동구,경유,비사업용,25511,2269,8538,74,36392
성동구,경유,사업용,992,1811,1370,106,4279
성동구,기타연료,비사업용,2,61,87,2,152
성동구,기타연료,사업용,0,0,5,0,5
성동구,수소,비사업용,4,0,0,0,4
성동구,엘피지,비사업용,4350,497,791,0,5638
성동구,엘피지,사업용,2940,26,252,0,3218
성동구,전기,비사업용,227,0,2,0,229
성동구,전기,사업용,296,0,0,0,296
성동구,하이브리드(LPG+전기),비사업용,58,0,0,0,58
성동구,하이브리드(LPG+전기),사업용,10,0,0,0,10
성동구,하이브리드(휘발유+전기),비사업용,2577,0,0,0,2577
성동구,하이브리드(휘발유+전기),사업용,21,0,0,0,21
성동구,휘발유,비사업용,22024,7,30,0,22061
성동구,휘발유,사업용,367,8,0,0,375
성동구,휘발유(무연),비사업용,27802,17,6,0,27825
성동구,휘발유(무연),사업용,2399,0,0,0,2399
성동구,휘발유(유연),비사업용,42,0,0,0,42
강남구,CNG,비사업용,48,2,34,0,84
강남구,CNG,사업용,1,195,0,0,196
강남구,경유,비사업용,49967,4179,12779,214,67139
강남구,경유,사업용,2322,587,1639,165,4713
강남구,기타연료,비사업용,14,101,180,16,311
강남구,기타연료,사업용,0,1,296,0,297
강남구,수소,비사업용,27,0,0,0,27
강남구,수소,사업용,1,0,0,0,1
강남구,LPG,비사업용,6071,860,1012,1,7944
강남구,LPG,사업용,4386,66,78,0,4530
강남구,전기,비사업용,599,0,1,0,600
강남구,전기,사업용,4090,0,0,0,4090
강남구,하이브리드(LPG+전기),비사업용,106,0,0,0,106
강남구,하이브리드(경유+전기),비사업용,3,0,0,0,3
강남구,하이브리드(휘발유+전기),비사업용,9718,0,0,0,9718
강남구,하이브리드(휘발유+전기),사업용,1076,0,0,0,1076
강남구,휘발유,비사업용,66927,49,120,5,67101
강남구,휘발유,사업용,363,1,0,0,364
강남구,휘발유(무연),비사업용,61859,56,104,2,62021
강남구,휘발유(무연),사업용,3553,0,0,0,3553
강남구,휘발유(유연),비사업용,76,0,0,0,76
강남구,휘발유(유연),사업용,1,0,0,0,1
동대문구,CNG,비사업용,13.0,2.0,18.0,0.0,33
동대문구,CNG,사업용,0.0,21.0,0.0,0.0,21
동대문구,경유,비사업용,23504.0,2972.0,9672.0,79.0,36227
동대문구,경유,사업용,225.0,102.0,1800.0,94.0,2221
동대문구,기타연료,비사업용,3.0,38.0,115.0,3.0,159
동대문구,기타연료,사업용,0.0,0.0,7.0,0.0,7
동대문구,수소,비사업용,2.0,0.0,0.0,0.0,2
동대문구,엘피지,비사업용,5239.0,577.0,983.0,2.0,6801
동대문구,엘피지,사업용,2350.0,5.0,332.0,0.0,2687
동대문구,전기,비사업용,131.0,0.0,1.0,0.0,132
동대문구,전기,사업용,7.0,0.0,1.0,0.0,8
동대문구,하이브리드(LPG+전기),비사업용,66.0,0.0,0.0,0.0,66
동대문구,하이브리드(휘발유+전기),비사업용,1863.0,0.0,0.0,0.0,1863
동대문구,하이브리드(휘발유+전기),사업용,42.0,0.0,0.0,0.0,42
동대문구,휘발유,비사업용,19409.0,9.0,40.0,0.0,19458
동대문구,휘발유,사업용,137.0,0.0,0.0,0.0,137
동대문구,휘발유(무연),비사업용,27932.0,28.0,28.0,0.0,27988
동대문구,휘발유(무연),사업용,154.0,0.0,0.0,0.0,154
동대문구,휘발유(유연),비사업용,36.0,0.0,0.0,0.0,36
동대문구,수소,사업용,0.0,0.0,0.0,0.0,0
영등포구,CNG,비사업용,11,3,23,0,37
영등포구,CNG,사업용,1,84,0,0,85
영등포구,경유,비사업용,33368,4319,13972,546,52205
영등포구,경유,사업용,329,134,3753,628,4844
영등포구,기타연료,비사업용,4,43,133,3,183
영등포구,기타연료,사업용,0,0,208,2,210
영등포구,수소,비사업용,6,0,0,0,6
영등포구,엘피지,비사업용,5973,594,985,5,7557
영등포구,엘피지,사업용,2593,2,273,0,2868
영등포구,전기,비사업용,404,0,0,0,404
영등포구,전기,사업용,378,0,0,0,378
영등포구,하이브리드(LPG+전기),비사업용,84,0,0,0,84
영등포구,하이브리드(LPG+전기),사업용,25,0,0,0,25
영등포구,하이브리드(경유+전기),비사업용,1,0,0,0,1
영등포구,하이브리드(휘발유+전기),비사업용,3417,0,0,0,3417
영등포구,하이브리드(휘발유+전기),사업용,254,0,0,0,254
영등포구,휘발유,비사업용,29110,17,58,0,29185
영등포구,휘발유,사업용,42,0,0,0,42
영등포구,휘발유(무연),비사업용,39997,24,37,0,40058
영등포구,휘발유(무연),사업용,398,0,0,0,398
영등포구,휘발유(유연),비사업용,64,0,0,0,64
영등포구,휘발유(유연),사업용,1,0,0,0,1
영등포구,수소,사업용,0,0,0,0,0
중랑구,CNG,비사업용,19,2,11,0,32
중랑구,CNG,사업용,0,360,0,0,360
중랑구,경유,비사업용,26625,3385,11385,94,41489
중랑구,경유,사업용,227,202,2331,318,3078
중랑구,기타연료,비사업용,2,43,85,5,135
중랑구,기타연료,사업용,0,0,17,0,17
중랑구,수소,비사업용,2,0,0,0,2
중랑구,엘피지,비사업용,7065,754,1109,0,8928
중랑구,엘피지,사업용,5371,5,352,0,5728
중랑구,전기,비사업용,151,0,0,0,151
중랑구,전기,사업용,3,0,0,0,3
중랑구,하이브리드(LPG+전기),비사업용,62,0,0,0,62
중랑구,하이브리드(경유+전기),비사업용,1,0,0,0,1
중랑구,하이브리드(휘발유+전기),비사업용,1739,0,0,0,1739
중랑구,하이브리드(휘발유+전기),사업용,7,0,0,0,7
중랑구,휘발유,비사업용,19644,11,33,0,19688
중랑구,휘발유,사업용,24,0,0,0,24
중랑구,휘발유(무연),비사업용,31357,18,31,1,31407
중랑구,휘발유(무연),사업용,416,0,0,0,416
중랑구,휘발유(유연),비사업용,28,0,0,0,28
중랑구,수소,사업용,0,0,0,0,0
강서구,CNG,비사업용,39,6,13,0,58
강서구,CNG,사업용,2,391,0,0,393
강서구,경유,비사업용,46086,4924,16154,150,67314
강서구,경유,사업용,984,1093,3284,255,5616
강서구,기타연료,비사업용,4,70,181,3,258
강서구,기타연료,사업용,0,0,26,0,26
강서구,수소,비사업용,4,0,0,0,4
강서구,수소,사업용,0,0,0,0,0
강서구,엘피지,비사업용,11689,989,1409,0,14087
강서구,엘피지,사업용,8032,25,302,1,8360
강서구,전기,비사업용,265,0,1,0,266
강서구,전기,사업용,93,0,0,0,93
강서구,하이브리드(LPG+전기),비사업용,111,0,0,0,111
강서구,하이브리드(경유+전기),비사업용,2,0,0,0,2
강서구,하이브리드(휘발유+전기),비사업용,4452,0,0,0,4452
강서구,하이브리드(휘발유+전기),사업용,3021,0,0,0,3021
강서구,휘발유,비사업용,39684,21,52,0,39757
강서구,휘발유,사업용,118,2,0,0,120
강서구,휘발유(무연),비사업용,58900,29,37,1,58967
강서구,휘발유(무연),사업용,732,1,0,0,733
강서구,휘발유(유연),비사업용,78,0,0,0,78
마포구,계,계,101064,4202,12147,248,117661
