기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	합계	합계	822,863	5,119,913	19,446	58,913	112,751	422,939	223,179	1,187,226	270,348	2,084,648	197,139	1,366,187
2017	종로구	소계	40,490	268,702	781	2,073	5,137	16,841	10,588	47,548	13,590	109,445	10,394	92,795
2017	종로구	사직동	3,544	52,489	67	172	395	1,606	980	8,098	1,252	21,316	850	21,297
2017	종로구	삼청동	753	4,507	16	44	149	430	211	976	219	1,034	158	2,023
2017	종로구	부암동	567	4,147	17	47	75	247	144	589	185	1,546	146	1,718
2017	종로구	평창동	739	3,547	20	37	83	344	143	619	259	1,016	234	1,531
2017	종로구	무악동	531	1,457	9	25	37	68	99	158	178	470	208	736
2017	종로구	교남동	347	3,816	4	8	47	125	75	615	121	550	100	2,518
2017	종로구	가회동	747	13,681	16	67	136	412	186	841	219	1,756	190	10,605
2017	종로구	종로1.2.3.4가동	15,851	111,270	251	738	1,764	6,800	3,970	19,497	5,515	53,754	4,351	30,481
2017	종로구	종로5·6가동	7,613	23,581	124	261	1,063	2,414	2,141	5,396	2,474	10,183	1,811	5,327
2017	종로구	이화동	1,289	17,511	45	167	204	821	350	2,101	407	5,416	283	9,006
2017	종로구	창신1동	2,302	6,734	55	106	341	988	560	1,720	735	2,263	611	1,657
2017	종로구	창신2동	871	2,332	15	45	56	160	265	848	333	907	202	372
2017	종로구	창신3동	264	851	10	30	24	62	63	113	108	467	59	179
2017	종로구	숭인1동	507	1,433	6	15	52	114	166	460	182	638	101	206
2017	종로구	숭인2동	1,812	6,657	38	84	220	644	474	1,872	591	2,859	489	1,198
2017	종로구	청운효자동	1,016	5,891	28	64	166	477	257	1,526	311	2,660	254	1,164
2017	종로구	혜화동	1,737	8,798	60	163	325	1,129	504	2,119	501	2,610	347	2,777
2017	중구	소계	62,936	386,648	1,563	3,939	9,897	28,631	17,559	76,536	20,295	161,379	13,622	116,163
2017	중구	소공동	3,918	59,386	52	180	492	2,504	1,096	10,487	1,281	24,633	997	21,582
2017	중구	회현동	9,425	48,533	191	389	1,278	2,812	2,466	9,081	3,113	23,889	2,377	12,362
2017	중구	명동	6,770	107,800	152	574	835	4,356	1,787	15,667	2,301	48,881	1,695	38,322
2017	중구	필동	3,075	23,521	59	162	311	1,166	1,019	4,136	1,120	8,430	566	9,627
2017	중구	장충동	855	9,592	19	40	80	275	246	2,611	309	4,036	201	2,630
2017	중구	광희동	9,253	39,108	232	635	1,370	4,205	2,620	8,597	3,135	15,813	1,896	9,858
2017	중구	을지로동	9,453	32,444	113	261	739	1,863	2,357	7,342	3,638	15,238	2,606	7,740
2017	중구	신당5동	1,305	4,064	42	117	155	448	383	1,235	461	1,627	264	637
2017	중구	황학동	1,867	5,696	51	109	210	585	412	1,320	693	2,699	501	983
2017	중구	중림동	982	6,948	12	29	106	297	271	2,024	334	2,133	259	2,465
2017	중구	신당동	12,073	29,305	552	1,205	3,750	8,198	3,663	8,469	2,668	7,975	1,440	3,458
2017	중구	다산동	1,396	9,014	29	73	229	784	423	2,378	420	1,496	295	4,283
2017	중구	약수동	841	3,624	15	51	92	292	263	985	250	1,366	221	930
2017	중구	청구동	785	4,116	23	75	108	405	243	1,009	255	1,849	156	778
2017	중구	동화동	938	3,497	21	39	142	441	310	1,195	317	1,314	148	508
2017	용산구	소계	20,806	133,260	400	988	3,215	11,786	5,784	29,452	6,148	52,819	5,259	38,215
2017	용산구	후암동	859	5,156	16	24	124	344	195	638	256	1,810	268	2,340
2017	용산구	용산2가동	557	1,899	16	32	126	322	115	385	131	510	169	650
2017	용산구	남영동	1,714	17,940	26	74	218	1,182	459	4,250	504	8,562	507	3,872
2017	용산구	원효로2동	1,010	5,783	7	13	99	250	323	1,502	321	2,698	260	1,320
2017	용산구	효창동	462	2,249	4	8	40	114	127	468	146	833	145	826
2017	용산구	용문동	660	1,783	5	8	66	193	145	494	227	643	217	445
2017	용산구	이촌1동	813	3,701	13	88	83	307	210	813	242	1,522	265	971
2017	용산구	이촌2동	350	827	3	11	35	65	55	124	98	312	159	315
2017	용산구	이태원1동	1,652	7,557	56	129	340	1,280	501	2,146	438	1,711	317	2,291
2017	용산구	이태원2동	752	3,241	38	87	210	627	168	640	174	927	162	960
2017	용산구	서빙고동	385	4,555	5	13	37	498	90	1,392	118	1,382	135	1,270
2017	용산구	보광동	844	1,925	28	43	116	258	175	306	259	843	266	475
2017	용산구	청파동	1,881	9,383	35	98	242	681	459	1,670	632	2,936	513	3,998
2017	용산구	원효로1동	1,815	9,716	33	76	244	761	545	2,819	575	4,033	418	2,027
2017	용산구	한강로동	4,972	40,821	72	193	797	3,197	1,615	7,307	1,492	18,100	996	12,024
2017	용산구	한남동	2,080	16,724	43	91	438	1,707	602	4,498	535	5,997	462	4,431
2017	성동구	소계	27,278	167,308	693	2,166	3,833	16,351	7,573	44,331	9,011	65,964	6,168	38,496
2017	성동구	왕십리2동	803	2,718	12	34	81	260	228	880	270	842	212	702
2017	성동구	마장동	3,282	11,918	56	165	389	1,329	848	3,103	1,039	4,771	950	2,550
2017	성동구	사근동	1,106	11,748	46	167	208	794	264	964	333	2,374	255	7,449
2017	성동구	행당1동	1,459	9,210	57	238	298	1,439	410	3,673	409	3,029	285	831
2017	성동구	행당2동	592	2,046	9	25	97	336	170	547	177	733	139	405
2017	성동구	응봉동	379	1,053	4	6	41	99	79	192	138	482	117	274
2017	성동구	금호1가동	506	1,701	10	37	62	205	116	420	179	692	139	347
2017	성동구	금호4가동	635	1,894	18	46	92	218	141	444	208	665	176	521
2017	성동구	성수1가1동	1,601	8,806	28	106	194	930	476	2,387	588	3,751	315	1,632
2017	성동구	성수1가2동	2,346	17,723	59	162	392	1,859	710	5,335	769	7,480	416	2,887
2017	성동구	성수2가1동	2,605	18,333	72	165	326	1,351	728	5,383	943	8,437	536	2,997
2017	성동구	성수2가3동	5,203	47,180	98	343	699	3,861	1,649	13,185	1,763	18,495	994	11,296
2017	성동구	송정동	692	2,393	17	32	65	162	148	443	238	1,083	224	673
2017	성동구	용답동	2,089	13,476	59	168	250	1,077	546	2,430	732	7,235	502	2,566
2017	성동구	왕십리도선동	2,079	11,017	92	306	369	1,492	573	3,223	630	3,644	415	2,352
2017	성동구	금호2.3가동	1,034	2,867	25	75	116	321	219	806	369	1,164	305	501
2017	성동구	옥수동	867	3,225	31	91	154	618	268	916	226	1,087	188	513
2017	광진구	소계	24,688	125,170	753	2,129	3,654	13,104	6,763	29,750	8,284	51,280	5,234	28,907
2017	광진구	화양동	2,437	15,265	132	424	586	2,397	661	2,803	655	3,732	403	5,909
2017	광진구	군자동	1,580	9,700	48	151	245	1,101	454	1,766	487	3,802	346	2,880
2017	광진구	중곡1동	1,612	6,629	45	100	166	564	460	2,183	584	2,376	357	1,406
2017	광진구	중곡2동	1,622	6,496	42	111	187	763	427	1,882	636	2,961	330	779
2017	광진구	중곡3동	1,330	5,380	36	82	137	380	328	1,240	511	2,309	318	1,369
2017	광진구	중곡4동	1,563	4,891	50	173	149	406	377	1,160	573	1,989	414	1,163
2017	광진구	능동	783	5,705	23	73	122	447	225	1,504	255	2,617	158	1,064
2017	광진구	구의1동	1,846	7,159	53	122	273	728	519	1,893	618	2,936	383	1,480
2017	광진구	구의2동	1,297	5,167	38	86	144	497	318	1,450	443	1,951	354	1,183
2017	광진구	구의3동	2,652	14,918	80	210	473	1,552	869	3,682	814	5,805	416	3,669
2017	광진구	광장동	1,419	16,535	19	57	172	551	473	4,000	505	10,347	250	1,580
2017	광진구	자양1동	1,711	8,543	44	99	205	846	479	2,096	612	2,832	371	2,670
2017	광진구	자양2동	1,487	6,271	31	93	208	612	366	1,186	515	3,094	367	1,286
2017	광진구	자양3동	1,353	6,183	48	168	261	1,094	323	1,375	437	2,315	284	1,231
2017	광진구	자양4동	1,996	6,328	64	180	326	1,166	484	1,530	639	2,214	483	1,238
2017	동대문구	소계	32,411	142,842	709	1,971	3,780	12,309	7,699	29,767	10,742	59,050	9,481	39,745
2017	동대문구	회기동	997	8,922	65	201	230	665	268	851	269	4,065	165	3,140
2017	동대문구	휘경1동	977	3,825	24	72	131	436	242	967	318	1,243	262	1,107
2017	동대문구	휘경2동	1,210	5,204	23	51	116	467	241	645	351	1,675	479	2,366
2017	동대문구	청량리동	1,679	8,818	27	78	145	413	318	1,084	534	4,026	655	3,217
2017	동대문구	용신동	5,640	33,713	98	253	583	2,340	1,354	6,556	1,965	13,181	1,640	11,383
2017	동대문구	제기동	4,750	12,275	81	177	375	945	888	2,677	1,621	4,638	1,785	3,838
2017	동대문구	전농1동	2,199	8,492	75	189	372	1,028	523	1,647	665	3,983	564	1,645
2017	동대문구	전농2동	894	5,038	19	79	101	338	205	585	313	3,305	256	731
2017	동대문구	답십리1동	1,961	7,131	23	53	215	742	449	1,754	612	2,570	662	2,012
2017	동대문구	답십리2동	2,186	7,251	23	75	198	592	561	1,913	762	2,983	642	1,688
2017	동대문구	장안1동	4,572	21,603	106	370	598	2,088	1,280	6,591	1,596	8,191	992	4,363
2017	동대문구	장안2동	3,164	11,590	79	226	441	1,519	827	3,034	1,050	4,115	767	2,696
2017	동대문구	이문1동	1,477	6,698	51	115	219	601	370	896	456	4,157	381	929
2017	동대문구	이문2동	705	2,282	15	32	56	135	173	567	230	918	231	630
2017	중랑구	소계	28,045	102,758	597	1,878	2,930	9,648	6,645	25,703	10,148	41,909	7,725	23,620
2017	중랑구	면목2동	2,035	6,440	47	146	195	484	552	2,032	761	2,431	480	1,347
2017	중랑구	면목4동	1,166	3,785	27	46	121	344	240	791	469	1,951	309	653
2017	중랑구	면목5동	850	2,865	13	32	83	242	200	715	347	1,266	207	610
2017	중랑구	면목7동	1,485	4,426	38	96	165	425	345	1,165	512	1,790	425	950
2017	중랑구	상봉1동	1,148	6,397	29	79	146	639	303	1,673	380	2,351	290	1,655
2017	중랑구	상봉2동	2,102	9,120	54	166	263	868	518	2,466	742	3,511	525	2,109
2017	중랑구	중화1동	1,096	3,929	13	35	97	433	275	986	429	1,857	282	618
2017	중랑구	중화2동	2,175	7,441	54	148	231	772	501	1,863	801	3,323	588	1,335
2017	중랑구	묵1동	1,513	5,749	29	88	198	732	361	1,617	503	2,170	422	1,142
2017	중랑구	묵2동	1,780	4,949	36	99	183	586	399	1,231	679	2,194	483	839
2017	중랑구	망우3동	1,115	3,914	25	115	95	355	274	1,014	423	1,474	298	956
2017	중랑구	신내1동	1,998	10,597	44	191	223	764	483	1,959	690	5,696	558	1,987
2017	중랑구	신내2동	1,115	5,966	15	108	127	479	302	1,441	375	1,629	296	2,309
2017	중랑구	면목본동	2,511	7,756	51	159	279	821	638	2,271	955	2,959	588	1,546
2017	중랑구	면목3.8동	2,100	7,089	55	169	254	788	509	1,712	742	2,022	540	2,398
2017	중랑구	망우본동	3,856	12,335	67	201	270	916	745	2,767	1,340	5,285	1,434	3,166
2017	성북구	소계	24,039	108,991	541	1,563	2,852	9,214	5,920	21,042	7,725	37,551	7,001	39,621
2017	성북구	돈암1동	389	1,802	6	10	42	124	95	344	114	700	132	624
2017	성북구	돈암2동	433	2,294	9	20	46	85	123	379	133	715	122	1,095
2017	성북구	안암동	1,456	12,813	47	169	283	967	445	1,803	411	2,228	270	7,646
2017	성북구	보문동	1,330	5,229	30	64	132	486	333	1,296	435	1,875	400	1,508
2017	성북구	정릉1동	753	2,064	18	44	68	216	188	653	238	724	241	427
2017	성북구	정릉2동	887	2,819	14	36	86	285	200	760	282	942	305	796
2017	성북구	정릉3동	677	4,302	19	55	57	116	123	325	226	1,231	252	2,575
2017	성북구	정릉4동	921	4,242	14	32	102	272	207	546	289	1,660	309	1,732
2017	성북구	길음1동	1,092	3,950	13	36	150	831	288	907	296	1,342	345	834
2017	성북구	길음2동	935	4,269	22	75	140	444	236	1,129	283	1,538	254	1,083
2017	성북구	월곡1동	1,351	5,039	15	29	129	396	278	987	459	2,201	470	1,426
2017	성북구	월곡2동	1,589	7,619	34	79	175	544	439	1,513	531	2,507	410	2,976
2017	성북구	장위1동	928	2,339	16	62	69	172	199	483	354	1,114	290	508
2017	성북구	장위2동	1,478	4,599	23	74	104	314	336	1,027	527	1,626	488	1,558
2017	성북구	장위3동	628	2,722	5	23	46	142	156	571	217	1,146	204	840
2017	성북구	성북동	1,132	5,170	44	121	148	415	297	1,279	333	1,761	310	1,594
2017	성북구	삼선동	1,906	10,312	58	125	259	744	484	1,524	606	3,859	499	4,060
2017	성북구	동선동	1,995	9,940	99	323	422	1,478	533	2,058	513	2,876	428	3,205
2017	성북구	종암동	2,022	7,350	17	47	177	561	491	1,707	714	3,286	623	1,749
2017	성북구	석관동	2,137	10,117	38	139	217	622	469	1,751	764	4,220	649	3,385
2017	강북구	소계	18,928	71,752	434	1,318	2,314	8,278	4,424	17,956	6,506	29,819	5,250	14,381
2017	강북구	번1동	1,836	9,166	48	133	250	1,314	495	2,767	616	3,481	427	1,471
2017	강북구	번2동	678	3,442	11	42	57	128	126	513	261	1,723	223	1,036
2017	강북구	번3동	912	2,959	18	36	60	160	182	720	282	1,271	370	772
2017	강북구	수유1동	1,432	5,090	27	71	139	373	305	1,249	512	2,249	449	1,148
2017	강북구	수유2동	1,339	4,179	22	57	146	384	327	1,128	476	1,766	368	844
2017	강북구	수유3동	2,446	9,009	91	362	400	1,402	593	2,222	823	3,854	539	1,169
2017	강북구	삼양동	1,186	3,743	13	42	133	375	285	821	395	1,442	360	1,063
2017	강북구	미아동	1,670	6,501	41	110	214	724	418	1,967	592	2,721	405	979
2017	강북구	송중동	1,962	8,026	61	212	300	1,293	457	2,231	653	2,993	491	1,297
2017	강북구	송천동	2,106	7,440	37	99	231	1,116	494	1,931	759	2,947	585	1,347
2017	강북구	삼각산동	775	2,337	19	43	118	340	240	666	241	1,044	157	244
2017	강북구	우이동	1,029	4,271	23	50	106	296	209	631	354	2,038	337	1,256
2017	강북구	인수동	1,557	5,589	23	61	160	373	293	1,110	542	2,290	539	1,755
2017	도봉구	소계	18,351	70,503	307	891	1,784	5,285	4,463	16,856	6,426	28,730	5,371	18,741
2017	도봉구	쌍문1동	890	3,852	17	45	71	153	221	896	300	1,373	281	1,385
2017	도봉구	쌍문2동	1,242	5,053	31	89	142	494	313	1,618	427	1,778	329	1,074
2017	도봉구	쌍문3동	971	4,015	19	54	125	337	255	893	333	1,439	239	1,292
2017	도봉구	쌍문4동	616	2,003	15	43	60	135	142	312	227	849	172	664
2017	도봉구	방학1동	2,266	10,787	51	144	273	813	601	2,238	820	5,054	521	2,538
2017	도봉구	방학2동	1,207	3,264	20	56	113	326	302	795	424	1,281	348	806
2017	도봉구	방학3동	872	3,242	16	44	54	192	203	807	334	1,265	265	934
