기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	매장면적	건물연면적	개소	매장면적	건물연면적	개소	매장면적	건물연면적	개소	매장면적	건물연면적	개소	매장면적	건물연면적	개소	매장면적	건물연면적	개소	매장면적	건물연면적
2017	합계	합계	467	5,393,420	27,016,613	61	857,904	6,237,959	31	972,185	4,043,627	22	346,180	2,829,420	36	784,804	3,761,856	10	278,711	1,534,046	307	2,153,637	8,609,705
2017	종로구	소계	12	133,876	444,978	-	-	-	-	-	-	2	16,256	168,311	-	-	-	-	-	-	10	117,620	276,667
2017	종로구	종로1.2.3.4가동	6	54,063	333,469	-	-	-	-	-	-	2	16,256	168,311	-	-	-	-	-	-	4	37,807	165,158
2017	종로구	종로5·6가동	3	71,445	83,436	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	71,445	83,436
2017	종로구	창신1동	1	3,660	9,625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,660	9,625
2017	종로구	창신3동	1	3,394	16,755	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,394	16,755
2017	종로구	숭인2동	1	1,314	1,693	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,314	1,693
2017	중구	소계	53	830,925	4,311,058	2	31,231	408,605	3	130,194	257,042	2	21,856	520,932	8	141,414	402,147	-	-	-	38	506,229	2,722,332
2017	중구	소공동	3	91,251	409,292	-	-	-	2	73,857	125,379	-	-	-	-	-	-	-	-	-	1	17,394	283,913
2017	중구	회현동	9	181,313	385,405	1	11,087	26,069	1	56,337	131,663	-	-	-	2	24,161	71,920	-	-	-	5	89,728	155,754
2017	중구	명동	6	58,072	125,261	-	-	-	-	-	-	-	-	-	1	5,836	27,421	-	-	-	5	52,237	97,840
2017	중구	광희동	12	245,103	647,640	-	-	-	-	-	-	-	-	-	4	106,019	285,634	-	-	-	8	139,084	362,006
2017	중구	을지로동	2	28,542	47,900	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	28,542	47,900
2017	중구	황학동	3	62,128	789,595	1	20,144	382,536	-	-	-	-	-	-	-	-	-	-	-	-	2	41,984	407,059
2017	중구	신당동	16	152,290	784,213	-	-	-	-	-	-	2	21,856	520,932	1	5,399	17,173	-	-	-	13	125,035	246,109
2017	중구	약수동	2	12,225	1,121,752	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	12,225	1,121,752
2017	용산구	소계	15	243,055	1,214,923	2	14,165	293,331	1	19,377	276,688	5	139,371	230,512	3	58,795	298,680	-	-	-	4	11,347	115,712
2017	용산구	원효로2동	1	8,382	16,442	-	-	-	-	-	-	1	8,382	16,442	-	-	-	-	-	-	-	-	-
2017	용산구	이태원1동	2	4,323	9,874	-	-	-	-	-	-	-	-	-	1	3,749	5,390	-	-	-	1	574	4,484
2017	용산구	서빙고동	1	2,948	16,602	-	-	-	-	-	-	-	-	-	1	2,948	16,602	-	-	-	-	-	-
2017	용산구	보광동	1	2,688	3,352	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,688	3,352
2017	용산구	청파동	1	1,209	2,460	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,209	2,460
2017	용산구	한강로동	9	223,505	1,166,193	2	14,165	293,331	1	19,377	276,688	4	130,989	214,070	1	52,098	276,688	-	-	-	1	6,876	105,416
2017	성동구	소계	13	110,740	598,745	2	28,891	198,358	-	-	-	1	27,129	31,845	-	-	-	1	13,997	142,038	9	40,723	226,504
2017	성동구	마장동	1	5,608	11,166	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,608	11,166
2017	성동구	행당1동	3	33,529	339,951	1	11,572	98,956	-	-	-	-	-	-	-	-	-	1	13,997	142,038	1	7,960	98,957
2017	성동구	행당2동	2	9,923	40,607	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	9,923	40,607
2017	성동구	성수2가1동	2	20,890	104,543	1	17,319	99,402	-	-	-	-	-	-	-	-	-	-	-	-	1	3,571	5,141
2017	성동구	성수2가3동	1	3,225	3,334	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,225	3,334
2017	성동구	용답동	1	27,129	31,845	-	-	-	-	-	-	1	27,129	31,845	-	-	-	-	-	-	-	-	-
2017	성동구	왕십리도선동	1	7,717	63,861	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,717	63,861
2017	성동구	금호2.3가동	1	1,157	1,284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,157	1,284
2017	성동구	옥수동	1	1,562	2,155	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,562	2,155
2017	광진구	소계	19	99,408	822,946	2	14,314	313,848	1	27,017	88,630	-	-	-	-	-	-	-	-	-	16	58,077	420,468
2017	광진구	화양동	1	2,457	12,162	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,457	12,162
2017	광진구	군자동	1	1,946	36,295	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,946	36,295
2017	광진구	중곡1동	2	3,314	4,300	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,314	4,300
2017	광진구	중곡4동	1	1,047	1,607	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,047	1,607
2017	광진구	구의2동	1	674	2,293	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	674	2,293
2017	광진구	구의3동	5	39,579	577,878	1	3,710	259,731	-	-	-	-	-	-	-	-	-	-	-	-	4	35,870	318,147
2017	광진구	광장동	1	1,829	5,440	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,829	5,440
2017	광진구	자양2동	2	1,577	27,069	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1,577	27,069
2017	광진구	자양3동	2	37,621	142,747	1	10,604	54,117	1	27,017	88,630	-	-	-	-	-	-	-	-	-	-	-	-
2017	광진구	자양4동	3	9,364	13,155	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	9,364	13,155
2017	동대문구	소계	22	159,472	771,692	2	22,921	220,971	1	40,346	177,793	3	28,501	75,102	-	-	-	-	-	-	16	67,704	297,826
2017	동대문구	회기동	1	3,825	22,485	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,825	22,485
2017	동대문구	휘경1동	1	-	2,820	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	2,820
2017	동대문구	청량리동	1	19,780	65,161	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	19,780	65,161
2017	동대문구	용신동	5	21,866	94,882	1	12,010	43,178	-	-	-	1	6,986	37,290	-	-	-	-	-	-	3	2,870	14,414
