,기간,자치구,행정동,합계,남자,여자
0,2019.2/4,합계,합계,42.3,41.5,43.1
1,2019.2/4,종로구,소계,43.7,43.2,44.2
2,2019.2/4,종로구,사직동,44.6,43.8,45.3
3,2019.2/4,종로구,삼청동,46.3,44.8,47.8
4,2019.2/4,종로구,부암동,43.8,42.5,44.9
5,2019.2/4,종로구,평창동,43.9,42.6,45.1
6,2019.2/4,종로구,무악동,42.3,42.0,42.5
7,2019.2/4,종로구,교남동,41.7,40.9,42.4
8,2019.2/4,종로구,가회동,46.2,44.8,47.5
9,2019.2/4,종로구,종로1.2.3.4가동,49.1,49.9,48.0
10,2019.2/4,종로구,종로5·6가동,46.0,45.3,47.0
11,2019.2/4,종로구,이화동,42.4,42.0,42.7
12,2019.2/4,종로구,창신1동,47.9,47.6,48.2
13,2019.2/4,종로구,창신2동,46.2,45.0,47.4
14,2019.2/4,종로구,창신3동,43.9,43.0,44.7
15,2019.2/4,종로구,숭인1동,45.2,44.2,46.2
16,2019.2/4,종로구,숭인2동,44.9,45.6,44.3
17,2019.2/4,종로구,청운효자동,42.9,41.5,44.1
18,2019.2/4,종로구,혜화동,38.2,38.1,38.3
19,2019.2/4,중구,소계,44.1,43.5,44.8
20,2019.2/4,중구,소공동,40.5,41.2,39.7
21,2019.2/4,중구,회현동,50.6,51.1,50.0
22,2019.2/4,중구,명동,47.9,46.1,49.4
23,2019.2/4,중구,필동,42.0,41.7,42.4
24,2019.2/4,중구,장충동,40.1,39.4,40.9
25,2019.2/4,중구,광희동,45.9,45.6,46.3
26,2019.2/4,중구,을지로동,49.8,50.6,48.6
27,2019.2/4,중구,신당5동,43.9,43.2,44.7
28,2019.2/4,중구,황학동,42.3,42.2,42.5
29,2019.2/4,중구,중림동,42.8,42.3,43.2
30,2019.2/4,중구,신당동,44.2,44.3,44.1
31,2019.2/4,중구,다산동,44.1,43.0,45.1
32,2019.2/4,중구,약수동,45.6,44.3,46.7
33,2019.2/4,중구,청구동,44.3,43.0,45.6
34,2019.2/4,중구,동화동,43.2,42.1,44.1
35,2019.2/4,용산구,소계,43.2,42.2,44.2
36,2019.2/4,용산구,후암동,43.5,41.9,45.1
37,2019.2/4,용산구,용산2가동,44.3,42.7,45.7
38,2019.2/4,용산구,남영동,48.1,49.6,45.8
39,2019.2/4,용산구,원효로2동,42.8,42.4,43.2
40,2019.2/4,용산구,효창동,41.5,40.5,42.4
41,2019.2/4,용산구,용문동,43.0,41.9,44.0
42,2019.2/4,용산구,이촌1동,41.5,40.4,42.5
43,2019.2/4,용산구,이촌2동,45.4,43.4,47.2
44,2019.2/4,용산구,이태원1동,44.0,41.5,46.8
45,2019.2/4,용산구,이태원2동,44.0,42.7,45.2
46,2019.2/4,용산구,서빙고동,42.3,41.2,43.3
47,2019.2/4,용산구,보광동,45.0,42.7,47.3
48,2019.2/4,용산구,청파동,43.3,42.7,43.7
49,2019.2/4,용산구,원효로1동,40.4,40.1,40.7
50,2019.2/4,용산구,한강로동,43.9,43.5,44.3
51,2019.2/4,용산구,한남동,43.4,42.1,44.6
52,2019.2/4,성동구,소계,42.0,41.4,42.7
53,2019.2/4,성동구,왕십리2동,41.9,41.1,42.7
54,2019.2/4,성동구,마장동,42.4,41.7,43.0
55,2019.2/4,성동구,사근동,36.3,35.9,36.7
56,2019.2/4,성동구,행당1동,42.1,41.4,42.7
57,2019.2/4,성동구,행당2동,41.7,41.2,42.1
58,2019.2/4,성동구,응봉동,41.7,40.8,42.6
59,2019.2/4,성동구,금호1가동,42.4,41.2,43.4
60,2019.2/4,성동구,금호4가동,41.8,40.5,43.0
61,2019.2/4,성동구,성수1가1동,41.8,41.2,42.4
62,2019.2/4,성동구,성수1가2동,41.9,41.4,42.5
63,2019.2/4,성동구,성수2가1동,44.6,44.0,45.2
64,2019.2/4,성동구,성수2가3동,43.2,43.2,43.2
65,2019.2/4,성동구,송정동,43.8,43.2,44.5
66,2019.2/4,성동구,용답동,44.8,44.8,44.9
67,2019.2/4,성동구,왕십리도선동,40.8,40.2,41.3
68,2019.2/4,성동구,금호2.3가동,42.8,41.7,43.9
69,2019.2/4,성동구,옥수동,41.5,40.6,42.3
70,2019.2/4,광진구,소계,41.4,40.9,41.9
71,2019.2/4,광진구,화양동,36.4,37.4,35.5
72,2019.2/4,광진구,군자동,40.7,40.2,41.2
73,2019.2/4,광진구,중곡1동,43.1,42.6,43.6
74,2019.2/4,광진구,중곡2동,42.0,41.3,42.7
75,2019.2/4,광진구,중곡3동,43.7,42.8,44.6
76,2019.2/4,광진구,중곡4동,43.5,42.4,44.5
77,2019.2/4,광진구,능동,41.0,40.7,41.3
78,2019.2/4,광진구,구의1동,41.7,41.1,42.3
79,2019.2/4,광진구,구의2동,42.2,41.2,43.1
80,2019.2/4,광진구,구의3동,41.1,40.6,41.5
81,2019.2/4,광진구,광장동,38.2,37.5,38.8
82,2019.2/4,광진구,자양1동,42.2,41.5,42.9
83,2019.2/4,광진구,자양2동,42.1,41.2,43.0
84,2019.2/4,광진구,자양3동,40.9,40.3,41.4
85,2019.2/4,광진구,자양4동,44.9,44.6,45.3
86,2019.2/4,동대문구,소계,42.8,42.2,43.5
87,2019.2/4,동대문구,회기동,36.8,36.9,36.7
88,2019.2/4,동대문구,휘경1동,41.4,41.3,41.5
89,2019.2/4,동대문구,휘경2동,41.1,40.3,42.0
90,2019.2/4,동대문구,청량리동,48.2,46.9,49.5
91,2019.2/4,동대문구,용신동,44.2,43.7,44.6
92,2019.2/4,동대문구,제기동,44.5,43.7,45.3
93,2019.2/4,동대문구,전농1동,43.9,43.2,44.7
94,2019.2/4,동대문구,전농2동,43.4,42.7,44.2
95,2019.2/4,동대문구,답십리1동,40.7,40.1,41.2
96,2019.2/4,동대문구,답십리2동,44.0,43.0,45.0
97,2019.2/4,동대문구,장안1동,42.9,42.3,43.4
98,2019.2/4,동대문구,장안2동,41.8,40.9,42.8
99,2019.2/4,동대문구,이문1동,40.3,40.2,40.4
100,2019.2/4,동대문구,이문2동,43.3,42.4,44.1
101,2019.2/4,중랑구,소계,43.8,42.9,44.6
102,2019.2/4,중랑구,면목2동,44.3,43.5,45.1
103,2019.2/4,중랑구,면목4동,44.3,43.1,45.4
104,2019.2/4,중랑구,면목5동,44.4,43.7,45.1
105,2019.2/4,중랑구,면목7동,45.1,44.1,46.1
106,2019.2/4,중랑구,상봉1동,41.9,40.8,42.8
107,2019.2/4,중랑구,상봉2동,43.0,42.8,43.2
108,2019.2/4,중랑구,중화1동,43.1,42.1,43.9
109,2019.2/4,중랑구,중화2동,45.9,45.2,46.6
110,2019.2/4,중랑구,묵1동,42.2,41.4,43.0
111,2019.2/4,중랑구,묵2동,43.6,42.8,44.3
112,2019.2/4,중랑구,망우3동,44.9,44.3,45.5
113,2019.2/4,중랑구,신내1동,41.9,40.8,42.9
114,2019.2/4,중랑구,신내2동,43.4,42.0,44.7
115,2019.2/4,중랑구,면목본동,44.0,43.1,44.8
116,2019.2/4,중랑구,면목3.8동,44.9,44.1,45.8
117,2019.2/4,중랑구,망우본동,45.3,44.5,46.0
118,2019.2/4,성북구,소계,42.3,41.5,43.2
119,2019.2/4,성북구,돈암1동,43.9,43.2,44.5
120,2019.2/4,성북구,돈암2동,40.6,39.6,41.5
121,2019.2/4,성북구,안암동,39.0,38.3,39.6
122,2019.2/4,성북구,보문동,42.1,41.1,43.0
123,2019.2/4,성북구,정릉1동,41.5,40.6,42.3
124,2019.2/4,성북구,정릉2동,43.5,42.2,44.8
125,2019.2/4,성북구,정릉3동,43.1,41.3,45.0
126,2019.2/4,성북구,정릉4동,43.3,42.2,44.4
127,2019.2/4,성북구,길음1동,38.6,37.6,39.5
128,2019.2/4,성북구,길음2동,42.0,40.9,43.1
129,2019.2/4,성북구,월곡1동,42.5,41.8,43.1
130,2019.2/4,성북구,월곡2동,42.8,42.2,43.4
131,2019.2/4,성북구,장위1동,44.7,43.5,45.8
132,2019.2/4,성북구,장위2동,47.0,45.9,48.1
133,2019.2/4,성북구,장위3동,43.6,43.0,44.1
134,2019.2/4,성북구,성북동,43.7,43.0,44.4
135,2019.2/4,성북구,삼선동,42.5,41.6,43.3
136,2019.2/4,성북구,동선동,39.9,41.1,39.1
137,2019.2/4,성북구,종암동,41.6,40.5,42.7
138,2019.2/4,성북구,석관동,44.4,43.6,45.3
139,2019.2/4,강북구,소계,45.0,43.9,46.1
140,2019.2/4,강북구,번1동,44.5,43.8,45.2
141,2019.2/4,강북구,번2동,46.7,44.8,48.4
142,2019.2/4,강북구,번3동,46.7,44.9,48.4
143,2019.2/4,강북구,수유1동,45.3,44.4,46.3
144,2019.2/4,강북구,수유2동,45.7,44.4,47.0
145,2019.2/4,강북구,수유3동,45.0,44.1,45.8
146,2019.2/4,강북구,삼양동,44.8,43.7,45.8
147,2019.2/4,강북구,미아동,45.1,44.3,45.8
148,2019.2/4,강북구,송중동,45.3,44.5,46.1
149,2019.2/4,강북구,송천동,46.5,45.4,47.6
150,2019.2/4,강북구,삼각산동,39.9,38.7,41.0
151,2019.2/4,강북구,우이동,46.1,45.0,47.3
152,2019.2/4,강북구,인수동,45.7,44.5,46.8
153,2019.2/4,도봉구,소계,44.2,43.1,45.3
154,2019.2/4,도봉구,쌍문1동,44.7,43.9,45.5
155,2019.2/4,도봉구,쌍문2동,44.5,42.9,46.1
156,2019.2/4,도봉구,쌍문3동,44.9,44.1,45.6
157,2019.2/4,도봉구,쌍문4동,42.5,41.4,43.5
158,2019.2/4,도봉구,방학1동,44.7,44.0,45.4
159,2019.2/4,도봉구,방학2동,45.6,44.3,46.9
160,2019.2/4,도봉구,방학3동,43.0,41.3,44.5
161,2019.2/4,도봉구,창1동,43.2,42.0,44.3
162,2019.2/4,도봉구,창2동,42.9,42.0,43.8
163,2019.2/4,도봉구,창3동,44.9,43.7,46.1
164,2019.2/4,도봉구,창4동,42.2,41.2,43.2
165,2019.2/4,도봉구,창5동,43.2,42.2,44.1
166,2019.2/4,도봉구,도봉1동,48.1,47.0,49.2
167,2019.2/4,도봉구,도봉2동,46.1,45.1,47.0
168,2019.2/4,노원구,소계,42.2,40.8,43.5
169,2019.2/4,노원구,월계1동,43.1,41.8,44.5
170,2019.2/4,노원구,월계2동,45.1,43.3,46.7
171,2019.2/4,노원구,월계3동,43.5,42.0,44.9
172,2019.2/4,노원구,공릉2동,39.6,38.8,40.3
173,2019.2/4,노원구,하계1동,41.3,39.0,43.5
174,2019.2/4,노원구,하계2동,40.8,39.5,42.0
175,2019.2/4,노원구,중계본동,39.5,38.7,40.3
176,2019.2/4,노원구,중계1동,37.6,36.4,38.8
177,2019.2/4,노원구,중계4동,43.6,41.7,45.4
178,2019.2/4,노원구,상계1동,43.6,42.5,44.6
179,2019.2/4,노원구,상계2동,43.1,42.4,43.8
180,2019.2/4,노원구,상계5동,45.2,43.7,46.5
181,2019.2/4,노원구,상계8동,38.3,37.1,39.4
182,2019.2/4,노원구,상계9동,42.0,40.3,43.5
183,2019.2/4,노원구,상계10동,41.8,40.5,42.8
184,2019.2/4,노원구,상계3.4동,46.9,45.3,48.4
185,2019.2/4,노원구,상계6.7동,41.1,39.7,42.4
186,2019.2/4,노원구,중계2.3동,44.1,42.1,45.9
187,2019.2/4,노원구,공릉1동,42.2,41.2,43.2
188,2019.2/4,은평구,소계,43.3,42.3,44.3
189,2019.2/4,은평구,녹번동,43.7,42.6,44.7
190,2019.2/4,은평구,불광1동,44.2,43.0,45.4
191,2019.2/4,은평구,갈현1동,44.3,43.1,45.4
192,2019.2/4,은평구,갈현2동,42.7,41.8,43.6
193,2019.2/4,은평구,구산동,43.8,43.6,44.0
194,2019.2/4,은평구,대조동,44.0,43.3,44.6
195,2019.2/4,은평구,응암1동,42.4,41.2,43.5
196,2019.2/4,은평구,응암2동,40.4,39.2,41.6
197,2019.2/4,은평구,신사1동,43.3,42.1,44.5
