주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,Unnamed: 33
115-2-000001,화곡본-2,공영,노외,서울특별시 강서구 초록마을로5길 43,서울특별시 강서구 화곡본동 46-127번지,100,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-1570,37.5441208,126.84855309999999,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000002,화곡2-1,공영,노외,서울특별시 강서구 강서로 18아길 26-15,서울특별시 강서구 화곡2동 167-10번지,60,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-1419,37.5359807,126.85023840000001,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000003,화곡3-1,공영,노외,서울특별시 강서구 화곡로 15길 40,서울특별시 강서구 화곡3동 1045번지,99,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2603-1573,37.5417019,126.83254550000001,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000004,화곡4-1,공영,노외,서울특별시 강서구 곰달래로 54가길 20,서울특별시 강서구 화곡4동809-26번지,138,5,미시행,평일,07:00,23:00,09:00,15:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2645-1574,37.5417015,126.8259794,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000005,화곡5-1,공영,노외,서울특별시 강서구 강서로 36길 21,서울특별시 강서구 화곡동 1030-33번지,27,5,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2604-8688,37.543870299999995,126.8375116,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000006,화곡5-2,공영,노외,서울특별시 강서구 강서로 34길 41-21,서울특별시 강서구 화곡동 1056-2번지,25,5,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2604-8688,37.5441769,126.83854790000001,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000007,화곡5-3,공영,노외,서울특별시 강서구 화곡로 27가길 38,서울특별시 강서구 화곡동 1060-18번지,17,5,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2604-8688,37.5433295,126.83354409999998,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000008,화곡7-1,공영,노외,서울특별시 강서구 월정로 32길 68,서울특별시 강서구 화곡1동 370-63번지,86,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2699-8671,37.5446015,126.834701,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000009,등촌2-1,공영,노외,서울특별시 강서구 등촌로 55길 33-16,서울특별시 강서구 등촌2동 531-5번지,91,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2645-1578,37.549757,126.859126,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000010,화곡6-1,공영,노외,서울특별시 강서구 우장산로 114,서울특별시 강서구 화곡6동 1103-6번지,300,4,미시행,평일+토요일,07:00,23:00,07:00,23:00,00:00,00:00,유료,5,100,5.0,100.0,8.0,5000.0,70000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.5529786,126.84626609999998,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000011,볏골공원,공영,노외,서울특별시 강서구 까치산로4길 22,서울특별시 강서구 화곡본동 98-99번지,233,4,미시행,평일+토요일,07:00,23:00,09:00,15:00,00:00,00:00,유료,5,100,5.0,100.0,8.0,5000.0,60000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2065-1575,37.541535499999995,126.8420446,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000012,곰달래문화복지센터,공영,노외,서울특별시 강서구 강서로5길 50,서울특별시 강서구 화곡동890번지,245,4,미시행,평일+토요일,07:00,23:00,09:00,15:00,00:00,00:00,유료,5,100,5.0,100.0,8.0,5000.0,80000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2690-2818,37.528900799999995,126.84662469999999,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000013,가로공원로지하,공영,노외,서울특별시 강서구 가로공원로 189,서울특별시 강서구 화곡1동 662-15번지,501,4,미시행,평일+토요일,07:00,23:00,09:00,15:00,00:00,00:00,유료,5,100,5.0,100.0,8.0,5000.0,60000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2699-0802,37.537532299999995,126.83713459999998,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000014,화곡본-1,공영,노외,서울특별시 강서구 초록마을로 26길 48,서울특별시 강서구 화곡본동56-127번지,99,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2065-8751,37.5397032,126.847571,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000015,화곡1-1,공영,노외,서울특별시 강서구 곰달래로 15길 28,서울특별시 강서구 화곡1동424-94번지,98,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2699-3993,37.542160100000004,126.83539520000001,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000016,화곡8-1,공영,노외,서울특별시 강서구 초록마을로 22길 57-11,서울특별시 강서구 화곡8동 410-60번지,53,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2608-1572,37.5384651,126.8466395,2019-03-28,3150000,서울특별시 강서구,-1.0
115-2-000017,화곡8-2,공영,노외,서울특별시 강서구 초록마을로 126,서울특별시 강서구 화곡8동 410-4번지,110,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-1571,37.5376472,126.8481274,2019-03-28,3150000,서울특별시 강서구,-1.0
115-1-000018,화곡1동 배다리서길,공영,노상,서울특별시 강서구 강서로5나길 6,서울특별시 강서구 화곡1동 949-7번지,298,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,200,5.0,200.0,8.0,10000.0,120000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.528504999999996,126.846659,2019-03-28,3150000,서울특별시 강서구,-1.0
115-1-000019,화곡1동 달구지길,공영,노상,서울특별시 강서구 월정로28길 14,서울특별시 강서구 화곡1동 359-121번지,29,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,250,5.0,250.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.532585,126.83675600000001,2019-03-28,3150000,서울특별시 강서구,-1.0
115-1-000020,"화곡2,4,8동 배다리동길",공영,노상,서울특별시 강서구 국회대로 7길 196,서울특별시 강서구 화곡동 949-5번지,345,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,200,5.0,200.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.528776,126.849703,2019-03-28,3150000,서울특별시 강서구,-1.0
115-1-000021,화곡6동 방죽길,공영,노상,서울특별시 강서구 공항대로46길 35,서울특별시 강서구 화곡6동 1109-1번지,64,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5.0,250.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.554508,126.85330800000001,2019-03-28,3150000,서울특별시 강서구,-1.0
