충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
여산휴게소(순천방향),여산휴게소,전라북도,연중무휴,00:00,23:00,N,Y,,0,1,N,전라북도 익산시 여산면 호남고속도로 191,전라북도 익산시 호산리 산 32-6,한국자동차환경협회,1661-9408,36.048553,127.102336,2018-08-14,4680000,전라북도 익산시,
한국전력공사익산지사,한전 본관 옆 주차장,전라북도,연중무휴,06:00,23:00,N,Y,,0,2,N,전라북도 익산시 석암로15길 156,전라북도 익산시 팔봉동 850,한국전력,1899-2100,35.961737,127.004473,2018-08-14,4680000,전라북도 익산시,
함열올림픽 스포츠센터,함열올림픽 스포츠센터 주차장,전라북도,연중무휴,00:00,23:00,N,Y,,0,1,N,전라북도 익산시 함열읍 함낭로 511,전라북도 익산시 함열읍 와리 173-7,한국자동차환경협회,1661-9408,36.074967,126.963986,2018-08-14,4680000,전라북도 익산시,
익산시청,익산시청 제2청사 주차장,전라북도,연중무휴,00:00,23:00,Y,N,,1,0,N,전라북도 익산시 인북로38길 1,전라북도 익산시 남중동 86-8,전라북도 익산시청,063-859-5538,35.948357,126.957688,2018-08-14,4680000,전라북도 익산시,
익산시청,익산시청 본청 뒷편,전라북도,연중무휴,00:00,23:00,Y,N,,1,0,N,전라북도 익산시 인북로32길 1,전라북도 익산시 남중동 60,전라북도 익산시청,063-859-5664,35.948357,126.957688,2018-08-14,4680000,전라북도 익산시,
익산시청,익산시청 본청 뒷편,전라북도,연중무휴,00:00,23:00,Y,N,,1,0,N,전라북도 익산시 인북로32길 1,전라북도 익산시 남중동 60,전라북도 익산시청,063-859-5436,35.948357,126.957688,2018-08-14,4680000,전라북도 익산시,
장성군민회관,장성군 장성읍 청운7길 10,전라남도,무,00:00,00:00,N,Y,"DC콤보, DC차데모, AC3상",0,1,N,전라남도 장성군 장성읍 청운7길 10,전라남도 장성군 장성읍 영천리 1485-5,한국자동차환경협회,1661-9408,35.181617,126.471087,2018-05-18,4980000,전라남도 장성군,
거창군청,거창군청 뒤편 주차장,경상남도,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모,0,1,N,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,한국환경공단(환경부),032-590-3678,35.411288,127.543817,2018-08-20,5470000,경상남도 거창군,
한전 거창지사,한전 1층 주차장,경상남도,연중무휴,06:00,23:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경상남도 거창군 거창읍 강남로 246,경상남도 거창군 거창읍 대평리 1005-40,한국전력,1899-2100,35.687135,127.923655,2018-08-20,5470000,경상남도 거창군,
거창휴게소(고서방향),휴게소,경상남도,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경상남도 거창군 가조면 가조가야로 1523,경상남도 거창군 가조면 도리 산181,한국자동차환경협회,1661-9408,35.708847,128.057955,2018-08-20,5470000,경상남도 거창군,
