,행정동,충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,Unnamed: 21,0
0,종로1·2·3·4가동,종묘공영주차장,"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역",서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상,0.0,1.0,Y,서울특별시 종로구 종로 157,서울특별시 종로구 훈정동 1-2,환경부(한국자동차환경협회),1661-9408,37.571208,126.99548500000002,2018-08-16,3000000,서울특별시 종로구,,
1,종로1·2·3·4가동,광화문열린마당주차장,서울특별시 종로구 세종로 76-2,서울특별시,연중무휴,00:00,23:59,Y,Y,DC차데모+AC3상+DC콤보,3.0,1.0,N,서울특별시 종로구 종로1길 55,서울특별시 종로구 세종로 76-2,한국전기차충전서비스,1522-1782,37.575125,126.97833500000002,2018-08-16,3000000,서울특별시 종로구,,
2,사직동,세종로공영주차장,"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞",서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 종로구 세종대로 189,서울특별시 종로구 세종로 80-1,환경부(한국자동차환경협회),1661-9408,37.573363,126.975841,2018-08-16,3000000,서울특별시 종로구,,
3,종로1·2·3·4가동,석탄회관 지하주차장,서울특별시 종로구 종로5길 58,서울특별시,공휴일,08:00,22:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 종로구 종로5길 58,서울특별시 종로구 수송동 80-6,한국전력,02-758-3274,37.57296,126.980329,2018-08-16,3000000,서울특별시 종로구,,
4,삼청동,국립현대미술관 서울관 주차장,서울특별시 종로구 삼청로 30,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0.0,2.0,Y,서울특별시 종로구 삼청로 30,서울특별시 종로구 소격동 165,한국전력,02-758-3274,37.579519,126.980379,2018-08-16,3000000,서울특별시 종로구,,
5,종로5·6가동,서울시 서울디자인센터,서울특별시 종로구 율곡로 283 1층 현관 근처,서울특별시,연중무휴,00:00,23:59,Y,N,DC차데모+AC3상+DC콤보,1.0,0.0,Y,서울특별시 종로구 율곡로 283,서울특별시 종로구 종로6가 70-6,포스코ICT,1600-4047,37.572465,127.008872,2018-08-16,3000000,서울특별시 종로구,,
6,종로1·2·3·4가동,성균관대학교 인문사회과학캠퍼스,서울특별시 종로구 성균관로 25-2 주차장,서울특별시,연중무휴,00:00,23:59,Y,N,DC차데모+AC3상+DC콤보,5.0,0.0,Y,서울특별시 종로구 성균관로25-2,서울특별시 종로구 명륜3가 53-21,포스코ICT,1600-4047,37.587247,126.99308899999998,2018-08-16,3000000,서울특별시 종로구,,
7,사직동,서울시청 차량지원실,서울특별시 종로구 송월길 52,서울특별시,평일운영,13:00,18:00,Y,N,DC차데모+AC3상+DC콤보,7.0,0.0,Y,서울특별시 종로구 송월길 52,서울특별시 종로구 신문로2가 1-43,한국전기차충전서비스,1522-1782,37.570666,126.966382,2018-08-16,3000000,서울특별시 종로구,,
8,혜화동,한국예술종합학교(종로),서울특별시 종로구 창경궁로 215 우측,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 종로구 창경궁로 215,서울특별시 종로구 와룡동 2-70,환경부(한국자동차환경협회),1661-9408,37.582287,126.996984,2018-08-16,3000000,서울특별시 종로구,,
9,종로1·2·3·4가동,태화빌딩,서울특별시 종로구 인사동5길 29 지상주차장,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 종로구 인사동5길 29,서울특별시 종로구 인사동 194-27,환경부(한국자동차환경협회),1661-9408,37.57197100000001,126.984827,2018-08-16,3000000,서울특별시 종로구,,
10,종로1·2·3·4가동,종로구청,서울특별시 종로구 삼봉로 43,서울특별시,연중무휴,00:00,23:59,Y,N,AC3상,1.0,0.0,Y,서울특별시 종로구 삼봉로 43,서울특별시 종로구 수송동146-2,한국전기차충전서비스,1522-1782,37.572855,126.979127,2018-08-16,3000000,서울특별시 종로구,,
11,청운효자동,종로구보건소,서울특별시 종로구 자하문로19길 36,서울특별시,연중무휴,00:00,23:59,Y,N,AC3상,1.0,0.0,Y,서울특별시 종로구 자하문로19길 36,서울특별시 종로구 옥인동 45-30,에버온,1661-7766,37.581806,126.969227,2018-08-16,3000000,서울특별시 종로구,,
12,홍은제1동,홍은1동주민센터 전기차충전소,홍은1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 홍은중앙로 85,서울특별시 서대문구 홍은동 11-853,한국전기차충전서비스(KEVCS),1522-1782,37.599694,126.9496939,2018-08-13,3120000,서울특별시 서대문구,,
13,홍은제2동,홍은2동주민센터 전기차충전소,홍은2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 모래내로 334,서울특별시 서대문구 홍은동 273-10,한국전기차충전서비스(KEVCS),1522-1782,37.5800601,126.9319514,2018-08-13,3120000,서울특별시 서대문구,,
14,홍제제1동,홍제견인차량보관소 주차장 전기차충전소,홍제견인차량보관소,서울특별시,X,00:00,00:00,Y,Y,"AC3상, DC차데모, DC콤보",1.0,1.0,N,서울특별시 서대문구 홍제내길 227,서울특별시 서대문구 홍제동 294-84,시그넷이브이주식회사,070-4618-6057,37.5907812,126.9388115,2018-08-13,3120000,서울특별시 서대문구,,
15,홍제제2동,홍제2동주민센터 전기차충전소,홍제2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 통일로34길 27,서울특별시 서대문구 홍제동 459-4,한국전기차충전서비스(KEVCS),1522-1782,37.5860597,126.947172,2018-08-13,3120000,서울특별시 서대문구,,
16,홍제제3동,홍제3동주민센터 전기차충전소,홍제3동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 세검정로4길 32,서울특별시 서대문구 홍제동 7-13,한국전기차충전서비스(KEVCS),1522-1782,37.5937254,126.9475606,2018-08-13,3120000,서울특별시 서대문구,,
17,북가좌제1동,북가좌1동주민센터 전기차충전소,북가좌1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 수색로100-55,서울특별시 서대문구 북가좌동 477,한국전기차충전서비스(KEVCS),1522-1782,37.5742842,126.9079675,2018-08-13,3120000,서울특별시 서대문구,,
18,북가좌제2동,북가좌2동주민센터 전기차충전소,북가좌2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 응암로1길10,서울특별시 서대문구 북가좌동 324-13,한국전기차충전서비스(KEVCS),1522-1782,37.5814484,126.9089814,2018-08-13,3120000,서울특별시 서대문구,,
19,남가좌제1동,남가좌1동주민센터 전기차충전소,남가좌1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,한국전기차충전서비스(KEVCS),1522-1782,37.5732691,126.9174743,2018-08-13,3120000,서울특별시 서대문구,,
