,0,1,2,4,5,동
0,광호주유소,서울특별시 서대문구 홍은동 431번지 ,서울특별시 서대문구 연희로 266 (홍은동),37.5807121,126.9343882,홍은동
1,(주)안국에너지 삼보주유소,서울특별시 서대문구 연희동 194-32번지 ,서울특별시 서대문구 연희로 78 (연희동),37.5649687,126.9277413,연희동
2,(주)중앙에너비스동교지점,서울특별시 서대문구 창천동 512-3번지 ,서울특별시 서대문구 연희로 12 (창천동),37.5614034,126.9304364,창천동
3,연희주유소,서울특별시 서대문구 연희동 89-7번지 ,서울특별시 서대문구 연희로 129 (연희동),37.5692438,126.9303007,연희동
4,삼미상사(주) 서부주유소,서울특별시 서대문구 연희동 446-4번지 ,서울특별시 서대문구 성산로 255 (연희동),37.5677169,126.9167661,연희동
5,홍제동주유소,서울특별시 서대문구 홍제동 22-3번지 ,서울특별시 서대문구 통일로 372 (홍제동),37.5799933,126.9475982,홍제동
6,행촌 제2주유소,서울특별시 서대문구 대신동 16-7번지 ,서울특별시 서대문구 성산로 490 (대신동),37.5649855,126.9376761,대신동
7,(주)마봉 신우주유소,서울특별시 서대문구 홍은동 379-6번지 ,서울특별시 서대문구 가좌로 106 (홍은동),37.5822173,126.92439,홍은동
8,남정주유소,서울특별시 서대문구 남가좌동 329-34번지 ,서울특별시 서대문구 모래내로 243 (남가좌동),37.5705934,126.9166136,남가좌동
9,(주)창원현대주유소,서울특별시 서대문구 홍은동 171-5번지 ,서울특별시 서대문구 통일로 537 (홍은동),37.5953947,126.9373274,홍은동
10,(주)창원현대에너지 홍제지점 현대주유소,서울특별시 서대문구 홍제동 330-61번지 ,서울특별시 서대문구 통일로 455 (홍제동),37.5796131,126.9464884,홍제동
11,KH에너지(주) 직영 독립문주유소,서울특별시 서대문구 홍제동 103-9번지 ,서울특별시 서대문구 통일로 384 (홍제동),37.5805417,126.9474603,홍제동
12,문화촌주유소,서울특별시 서대문구 홍제동 279-43번지 ,서울특별시 서대문구 세검정로 87 (홍제동),37.595423,126.9462286,홍제동
13,구도일주유소 두꺼비,서울특별시 서대문구 연희동 220-55번지 ,서울특별시 서대문구 성산로 312 (연희동),37.5659928,126.9226443,연희동
14,연세주유소,서울특별시 서대문구 연희동 76-11번지 ,서울특별시 서대문구 연희로 184 (연희동),37.573442,126.933723,연희동
15,㈜가재울뉴타운주유소,서울특별시 서대문구 남가좌동 80-26번지 ,서울특별시 서대문구 모래내로 205 (남가좌동),37.5709403,126.9168135,남가좌동
16,수색뉴타운 주유소,서울특별시 은평구 수색동 314-1번지 ,서울특별시 은평구 수색로 350 (수색동),37.5871071,126.8853532,수색동
17,녹번주유소,서울특별시 은평구 녹번동 59-1번지 ,서울특별시 은평구 통일로 600 (녹번동),37.6044316,126.9309466,녹번동
18,대성주유소,서울특별시 은평구 녹번동 19-38번지 ,서울특별시 은평구 통일로 642 (녹번동),37.6039651,126.9331026,녹번동
19,은평뉴타운주유소,서울특별시 은평구 불광동 493번지 ,서울특별시 은평구 통일로 924 (불광동),37.6253959,126.9255355,불광동
20,박석고개주유소,서울특별시 은평구 갈현동 1-6번지 ,서울특별시 은평구 통일로 945 (갈현동),37.6255969,126.9142959,갈현동
21,서부주유소,서울특별시 은평구 응암동 576-39번지 ,서울특별시 은평구 응암로 210 (응암동),37.5906926,126.9155336,응암동
22,성원E&S은평지점,서울특별시 은평구 진관동 240-27번지 ,서울특별시 은평구 통일로 968 (진관동),37.6292375,126.9174866,진관동
23,SK네트웍스(주) 은평드림주유소,서울특별시 은평구 진관동 73-22번지 ,서울특별시 은평구 통일로 1151 (진관동),37.6438385,126.9102271,진관동
24,(주)에스지,서울특별시 은평구 신사동 338-4번지 ,서울특별시 은평구 증산로 371 (신사동),37.5893734,126.9106228,신사동
