기간	자치구	동	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수
기간	자치구	동	합계	주택	주택	주택	주택	아파트	연립주택	다세대주택	비거주용건물내주택
기간	자치구	동	합계	계	단독주택	다가구주택	영업겸용	아파트	연립주택	다세대주택	비거주용건물내주택
2015	합계	합계	2,793,244	355,039	88,163	217,616	49,260	1,636,896	117,235	654,372	29,702
2015	종로구	소계	43,550	13,103	7,498	4,191	1,414	12,552	5,395	11,664	836
2015	종로구	사직동	2,771	729	533	128	68	1,532	78	386	46
2015	종로구	삼청동	799	714	514	131	69	X	19	41	25
2015	종로구	부암동	2,957	1,092	807	222	63	121	902	806	36
2015	종로구	평창동	5,754	1,533	1,065	335	133	936	2,180	1,044	61
2015	종로구	무악동	2,870	160	106	20	34	2,590	55	50	15
2015	종로구	교남동	1,527	251	116	114	21	112	88	1,072	X
2015	종로구	가회동	1,646	750	577	114	59	X	137	741	18
2015	종로구	종로1.2.3.4가동	1,613	563	359	98	106	932	28	26	64
2015	종로구	종로5·6가동	1,116	769	363	282	124	102	X	90	151
2015	종로구	이화동	2,725	808	398	299	111	189	266	1,393	69
2015	종로구	창신1동	1,528	525	208	191	126	832	16	116	39
2015	종로구	창신2동	2,445	908	283	503	122	328	91	1,082	36
2015	종로구	창신3동	2,152	315	107	178	30	1,735	35	58	9
2015	종로구	숭인1동	1,554	687	348	286	53	654	15	170	28
2015	종로구	숭인2동	3,081	446	204	180	62	1,394	241	936	64
2015	종로구	청운효자동	4,149	1,349	912	331	106	261	783	1,701	55
2015	종로구	혜화동	4,863	1,504	598	779	127	834	457	1,952	116
2015	중구	소계	37,478	6,436	2,722	2,600	1,114	22,186	1,975	6,148	733
2015	중구	소공동	380	15	14	X	X	355	X	X	10
2015	중구	회현동	1,782	285	158	88	39	1,345	43	77	32
2015	중구	명동	519	217	91	73	53	250	X	23	29
2015	중구	필동	956	399	191	121	87	279	90	140	48
2015	중구	장충동	2,431	408	219	132	57	201	278	1,494	50
2015	중구	광희동	1,445	502	297	134	71	822	X	80	38
2015	중구	을지로동	436	117	78	X	35	264	X	X	55
2015	중구	신당5동	2,457	681	204	361	116	1,336	107	278	55
2015	중구	황학동	3,610	714	231	242	241	2,589	16	170	121
2015	중구	중림동	2,764	313	156	122	35	1,890	55	482	24
2015	중구	신당동	1,996	980	453	398	129	586	51	309	70
2015	중구	다산동	4,267	896	335	468	93	472	711	2,119	69
2015	중구	약수동	6,508	191	55	108	28	5,344	395	560	18
2015	중구	청구동	4,842	487	188	233	66	3,844	115	347	49
2015	중구	동화동	3,085	231	52	115	64	2,609	111	69	65
2015	용산구	소계	70,723	15,503	5,691	8,038	1,774	35,343	4,029	15,206	642
2015	용산구	후암동	5,195	1,617	684	821	112	618	582	2,320	58
2015	용산구	용산2가동	3,326	1,185	202	824	159	375	126	1,615	25
2015	용산구	남영동	1,721	690	326	264	100	440	89	472	30
2015	용산구	원효로2동	4,489	589	192	318	79	3,223	118	532	27
2015	용산구	효창동	2,967	684	303	326	55	963	304	982	34
2015	용산구	용문동	3,806	524	159	237	128	2,282	97	880	23
2015	용산구	이촌1동	9,531	X	X	X	X	9,500	19	11	X
2015	용산구	이촌2동	3,391	59	13	14	32	2,773	177	374	8
2015	용산구	이태원1동	2,211	874	314	451	109	712	246	329	50
2015	용산구	이태원2동	3,111	1,217	320	806	91	705	228	921	40
2015	용산구	서빙고동	4,201	645	277	304	64	2,611	250	688	7
2015	용산구	보광동	3,614	2,050	585	1,295	170	550	81	895	38
2015	용산구	청파동	5,235	2,028	710	1,059	259	74	472	2,587	74
2015	용산구	원효로1동	4,663	671	271	284	116	3,384	43	496	69
2015	용산구	한강로동	5,212	958	631	228	99	3,719	104	344	87
2015	용산구	한남동	8,050	1,712	704	807	201	3,414	1,093	1,760	71
2015	성동구	소계	82,331	11,250	2,414	7,134	1,702	59,331	2,076	8,610	1,064
2015	성동구	왕십리2동	4,039	645	86	474	85	3,195	9	157	33
2015	성동구	마장동	6,282	1,262	548	482	232	4,111	230	526	153
2015	성동구	사근동	2,813	814	174	545	95	974	55	906	64
2015	성동구	행당1동	3,608	636	190	368	78	2,346	X	572	54
2015	성동구	행당2동	8,445	137	12	107	18	8,134	16	153	5
2015	성동구	응봉동	5,318	150	38	96	16	3,868	42	1,251	7
2015	성동구	금호1가동	5,643	97	38	30	29	4,672	X	847	27
2015	성동구	금호4가동	5,712	448	148	244	56	4,849	101	275	39
2015	성동구	성수1가1동	4,244	651	148	417	86	2,625	325	545	98
2015	성동구	성수1가2동	3,817	858	143	570	145	2,345	200	312	102
2015	성동구	성수2가1동	4,248	1,092	122	773	197	1,912	593	533	118
2015	성동구	성수2가3동	2,698	353	69	185	99	1,912	57	292	84
2015	성동구	송정동	2,096	968	122	769	77	765	86	254	23
2015	성동구	용답동	2,320	1,496	115	1,183	198	456	39	268	61
2015	성동구	왕십리도선동	7,085	573	144	269	160	6,050	75	295	92
2015	성동구	금호2.3가동	6,023	929	296	545	88	3,610	129	1,286	69
2015	성동구	옥수동	7,940	141	21	77	43	7,507	119	138	35
2015	광진구	소계	79,393	17,034	809	13,455	2,770	29,880	4,434	26,561	1,484
2015	광진구	화양동	4,384	1,471	38	1,198	235	756	133	1,856	168
2015	광진구	군자동	4,038	1,520	68	1,253	199	779	277	1,364	98
2015	광진구	중곡1동	2,823	1,213	46	907	260	106	101	1,295	108
2015	광진구	중곡2동	4,177	1,341	63	1,029	249	300	119	2,280	137
2015	광진구	중곡3동	3,269	1,295	71	1,025	199	444	48	1,363	119
2015	광진구	중곡4동	6,545	1,671	103	1,346	222	314	680	3,750	130
2015	광진구	능동	1,954	859	67	718	74	22	72	973	28
2015	광진구	구의1동	4,389	1,195	34	939	222	264	205	2,595	130
2015	광진구	구의2동	5,815	1,094	69	879	146	450	713	3,471	87
2015	광진구	구의3동	8,219	473	19	352	102	5,649	412	1,639	46
2015	광진구	광장동	10,213	219	46	126	47	9,003	481	460	50
2015	광진구	자양1동	4,282	1,329	46	1,034	249	527	202	2,119	105
2015	광진구	자양2동	6,331	944	16	704	224	2,773	283	2,245	86
2015	광진구	자양3동	8,268	471	32	370	69	7,088	271	371	67
2015	광진구	자양4동	4,686	1,939	91	1,575	273	1,405	437	780	125
2015	동대문구	소계	98,203	20,799	6,518	11,569	2,712	59,534	3,740	12,529	1,601
2015	동대문구	회기동	2,882	773	131	511	131	1,406	52	566	85
2015	동대문구	휘경1동	3,598	1,301	270	931	100	1,434	94	699	70
2015	동대문구	휘경2동	6,701	1,020	177	750	93	4,151	414	1,075	41
2015	동대문구	청량리동	6,181	1,526	418	929	179	3,691	65	809	90
2015	동대문구	용신동	7,622	2,581	983	1,226	372	3,532	342	914	253
2015	동대문구	제기동	7,453	2,395	1,127	841	427	3,078	156	1,629	195
2015	동대문구	전농1동	7,226	2,391	827	1,324	240	3,431	180	1,115	109
2015	동대문구	전농2동	6,328	524	219	256	49	5,505	X	272	25
2015	동대문구	답십리1동	9,736	1,097	260	685	152	8,355	44	169	71
2015	동대문구	답십리2동	8,546	1,067	284	574	209	6,937	66	361	115
2015	동대문구	장안1동	9,891	966	59	627	280	6,149	1,002	1,549	225
2015	동대문구	장안2동	8,373	952	86	663	203	5,179	1,034	1,048	160
2015	동대문구	이문1동	7,421	3,131	1,250	1,669	212	1,878	289	2,010	113
2015	동대문구	이문2동	6,245	1,075	427	583	65	4,808	X	313	49
2015	중랑구	소계	99,265	21,155	2,548	15,634	2,973	50,078	4,943	21,543	1,546
2015	중랑구	면목2동	6,074	1,618	130	1,209	279	2,444	234	1,595	183
2015	중랑구	면목4동	5,385	1,148	111	881	156	2,867	219	1,084	67
2015	중랑구	면목5동	2,697	1,087	160	771	156	216	380	933	81
2015	중랑구	면목7동	5,607	1,459	286	993	180	2,626	397	1,021	104
2015	중랑구	상봉1동	7,493	727	159	475	93	5,492	296	929	49
2015	중랑구	상봉2동	3,878	1,219	122	900	197	914	164	1,452	129
