,DONG_ID,자치구,동,행정구역코드,2020_rate,2022_rate,2024_rate,2026_rate,2028_rate
0,1,강남구,신사동,1121068.0,7,7,6,10,10
1,2,강남구,논현1동,1123052.0,10,10,10,10,10
2,3,강남구,논현2동,1123053.0,10,10,10,10,10
3,4,강남구,삼성1동,1123058.0,10,10,10,10,10
4,5,강남구,삼성2동,1123059.0,10,10,10,10,10
5,6,강남구,대치1동,1123060.0,10,10,10,10,10
6,7,강남구,대치4동,1123063.0,10,10,10,10,10
7,8,강남구,역삼1동,1123064.0,10,10,10,10,10
8,9,강남구,역삼2동,1123065.0,10,10,10,10,10
9,10,강남구,도곡1동,1123066.0,10,10,10,10,10
10,11,강남구,도곡2동,1123067.0,10,10,10,10,10
11,12,강남구,개포1동,1123068.0,10,10,10,10,10
12,13,강남구,개포4동,1123071.0,10,10,10,10,10
13,14,강남구,일원본동,1123072.0,10,10,10,10,10
14,15,강남구,일원1동,1123073.0,10,10,10,10,10
15,16,강남구,일원2동,1123074.0,10,10,10,10,10
16,17,강남구,수서동,1123075.0,10,10,10,10,10
17,18,강남구,세곡동,1123076.0,10,10,10,10,10
18,19,강남구,압구정동,1123077.0,10,10,10,10,10
19,20,강남구,청담동,1123078.0,10,10,10,10,10
20,21,강남구,대치2동,1123079.0,10,10,10,10,10
21,22,강남구,개포2동,1123080.0,10,10,10,10,10
22,23,강동구,강일동,1125051.0,7,7,7,8,10
23,24,강동구,상일동,1125052.0,3,3,3,10,10
24,25,강동구,명일1동,1125053.0,6,6,6,7,10
25,26,강동구,명일2동,1125054.0,5,5,5,5,10
26,27,강동구,고덕1동,1125055.0,7,7,7,7,9
27,28,강동구,고덕2동,1125056.0,4,4,3,10,10
28,29,강동구,암사2동,1125058.0,4,4,4,10,10
29,30,강동구,암사3동,1125059.0,5,5,4,4,10
30,31,강동구,천호1동,1125061.0,6,6,6,10,10
31,32,강동구,천호3동,1125063.0,6,6,6,10,10
32,33,강동구,성내1동,1125065.0,6,6,5,6,10
33,34,강동구,성내2동,1125066.0,6,6,6,10,10
34,35,강동구,성내3동,1125067.0,6,6,6,10,10
35,36,강동구,둔촌1동,1125070.0,10,10,10,10,10
36,37,강동구,둔촌2동,1125071.0,8,8,8,9,10
37,38,강동구,암사1동,1125072.0,8,8,8,10,10
38,39,강동구,천호2동,1125073.0,8,8,8,10,10
39,40,강동구,길동,1125074.0,9,9,9,10,10
40,41,강북구,번1동,1109060.0,1,1,1,10,10
41,42,강북구,번2동,1109061.0,1,1,1,10,10
