,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
0,1,신내LPG충전소,37.6127083,127.0986253,남부초공영주차장,126.9221169,37.48504129999999,1.0,2.957020017448969
1,1,신내LPG충전소,37.6127083,127.0986253,신사동제1공영주차장,126.915444,37.4843973,2.0,2.957020017448969
2,1,신내LPG충전소,37.6127083,127.0986253,압구정428,127.0270562016,37.5268421056,3.0,2.957020017448969
3,1,신내LPG충전소,37.6127083,127.0986253,신구초교,127.02399152299999,37.5233612951,4.0,2.957020017448969
4,2,(주)풍림에너지,37.5796396,127.07705020000002,논현초교,127.0262216669,37.508490656599996,5.0,3.4143811875819288
5,2,(주)풍림에너지,37.5796396,127.07705020000002,삼성로별관 부설,127.0521408548,37.5159099376,6.0,3.0602457661072195
6,2,(주)풍림에너지,37.5796396,127.07705020000002,강남치매지원센터,127.04637764540001,37.5103116999,7.0,3.8842123820060896
7,2,(주)풍림에너지,37.5796396,127.07705020000002,도곡로421,127.0564525891,37.4976788229,8.0,3.3838095301452946
8,3,동일석유(주)황금충전소,37.5941469,127.0736578,도곡로21길7,127.0388718483,37.4925934254,9.0,4.9995099466958735
9,3,동일석유(주)황금충전소,37.5941469,127.0736578,역삼1동문화센터,127.0332824836,37.4953738379,10.0,4.9995099466958735
10,3,동일석유(주)황금충전소,37.5941469,127.0736578,역삼문화공원,127.03039046159999,37.5025141908,11.0,4.9995099466958735
11,3,동일석유(주)황금충전소,37.5941469,127.0736578,도곡로327,127.0516657363,37.4961565104,12.0,4.165142987063743
12,4,오금가스충전소,37.5061584,127.12940829999998,논현로32길15,127.04343991020001,37.4842521056,13.0,3.9362597193806734
13,4,오금가스충전소,37.5061584,127.12940829999998,구룡산제1호,127.0672849458,37.4760669787,14.0,2.6068168962577905
14,4,오금가스충전소,37.5061584,127.12940829999998,개포로24길33,127.0497487923,37.4771388546,15.0,3.529451789124256
15,4,오금가스충전소,37.5061584,127.12940829999998,일원역,127.084056,37.484669,16.0,3.3456668066053585
